ISU World Figure Skating Championships 2016,,,,,
ICE DANCE SHORT DANCEJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Gabriella PAPADAKIS / Guillaume CIZERON FRA  30,76.29  38.46,,37.83,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 STw4  6.60  1.63 2 3 3,3 3 2 2,,3 3,8.23,
2 1RW4+kpYYY  5.00  1.46 2 2 3,3 3 2 2,,2 3,6.46,
3 2RW4+kpYYY  5.00  1.20 2 2 2,2 2 2 2,,2 3,6.20,
4 PSt4  8.60  2.67 1 3 3,3 2 2 2,,3 2,11.27,
Info,,,Info,,Info
5 RoLi4  4.50  1.80 2 3 3,3 3 3 3,,3 3,6.30,
29.70,,,,38.46,
Program Components Factor,,,,,
Skating Skills  0.80 8.75 9.75 9.25,9.50 9.75 9.25 9.00,,9.50 9.75,9.43,
Linking Footwork / Movement  0.80 8.50 9.00 9.50,9.50 9.75 9.25 9.00,,9.50 9.50,9.32,
Performance  0.80 9.25 9.75 9.75,9.75 9.75 9.50 9.25,,9.25 9.75,9.57,
Choreography  0.80 9.50 9.25 9.50,9.50 9.50 9.50 9.00,,9.75 9.75,9.50,
Interpretation / Timing  0.80 9.00 9.25 9.75,9.75 9.75 9.25 8.75,,9.50 9.75,9.46,
Judges Total Program Component Score (factored),,,,37.83,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Maia SHIBUTANI / Alex SHIBUTANI USA  26,74.70  37.78,,36.92,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 1RW4+kpYYY  5.00  1.20 2 2 2,2 2 2 3,,2 2,6.20,
2 2RW4+kpYYY  5.00  1.03 2 2 1,2 2 1 3,,2 1,6.03,
3 STw4  6.60  1.80 3 3 2,3 3 3 3,,3 3,8.40,
4 PSt4  8.60  2.51 3 2 2,2 3 2 2,,3 2,11.11,
5 RoLi4  4.50  1.54 3 3 2,2 3 3 3,,2 2,6.04,
29.70,,,,37.78,
Program Components Factor,,,,,
Skating Skills  0.80 8.75 9.00 9.25,9.25 9.00 8.75 9.75,,9.75 8.50,9.11,
Linking Footwork / Movement  0.80 9.00 8.75 9.00,9.00 9.25 8.75 9.75,,9.50 8.75,9.04,
Performance  0.80 9.25 9.25 9.00,9.00 9.50 9.25 9.75,,9.75 9.00,9.29,
Choreography  0.80 9.25 9.25 9.25,9.50 9.50 9.00 10.00,,9.50 9.00,9.32,
Interpretation / Timing  0.80 9.50 9.00 9.25,9.25 9.75 9.25 10.00,,9.75 9.00,9.39,
Judges Total Program Component Score (factored),,,,36.92,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Madison CHOCK / Evan BATES USA  27,72.46  35.62,,36.84,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 PSt4  8.60  2.20 2 2 2,2 3 2 2,,2 2,10.80,
2 STw3  5.60  1.20 2 2 2,2 2 2 2,,2 1,6.80,
3 1RW4+kpYYY  5.00  1.29 2 2 3,2 3 2 2,,2 1,6.29,
4 2RW3+kpYNY  4.40  1.20 2 2 2,2 3 2 2,,1 2,5.60,
5 CuLi4  4.50  1.63 2 3 3,2 3 3 3,,2 3,6.13,
28.10,,,,35.62,
Program Components Factor,,,,,
