Skate America,,,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Tanith BELBIN / Benjamin AGOSTO,USA  59.24  31.50,,,27.74,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 CoSp4  4.70,0.50 1 1 2 1 1 1 1 1,,1,1 - -,5.20
2 CuLi4  4.00,0.60 1 0 1 2 1 1 1 1,,2,1 - -,4.60
3 CiSt4  8.00,0.60 2 0 2 1 0 1 0 1,,1,1 - -,8.60
4 NtMiTw4  3.30,0.40 1 0 2 1 1 1 1 2,,0,1 - -,3.70
5 NtMiSt4  4.30,0.40 1 1 2 1 0 0 0 1,,1,1 - -,4.70
6 RoLi4  4.00,0.70 2 1 1 2 2 2 1 1,,1,1 - -,4.70
28.30,,,,,31.50
Program Components,Factor,,,,
Skating Skills,0.80 7.50 7.00 8.00 7.50 6.75 8.00 7.25 7.50,,7.00,7.50 - -,7.25
Linking Footwork / Movement,0.80 7.25 7.00 8.25 7.00 6.50 7.75 7.00 7.25,,6.25,7.25 - -,6.95
Performance,0.60 7.50 7.25 8.25 7.75 7.00 8.00 7.25 7.50,,7.50,7.50 - -,7.40
Choreography,0.60 7.50 7.00 7.75 7.75 6.75 8.00 7.25 7.50,,8.00,7.75 - -,7.40
Interpretation / Timing,1.00 7.75 7.25 8.50 8.00 7.25 8.25 7.25 7.25,,8.00,7.75 - -,7.50
Judges Total Program Component Score (factored),,,,,27.74
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Nathalie PECHALAT / Fabian BOURZAT,FRA  56.95  29.90,,,27.05,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 StaLi4  4.00,1.00 2 1 2 2 2 0 2 2,,2,2 - -,5.00
2 NtMiTw4  3.30,0.40 1 0 1 0 1 1 1 1,,1,1 - -,3.70
3 NtMiSt4  4.30,0.40 1 1 1 0 0 1 1 1,,2,1 - -,4.70
4 SlLi3  3.50,0.50 1 1 2 1 1 0 1 0,,1,1 - -,4.00
5 Sp4  4.70,0.00 0 0 -1 0 0 0 0 -1,,0,0 - -,4.70
6 CiSt3  7.20,0.60 1 1 1 0 0 1 0 1,,1,1 - -,7.80
27.00,,,,,29.90
Program Components,Factor,,,,
Skating Skills,0.80 7.00 7.00 7.25 6.75 6.75 6.25 7.00 7.00,,7.25,7.25 - -,6.95
Linking Footwork / Movement,0.80 7.00 7.00 7.00 6.75 6.50 6.50 7.25 7.00,,6.75,7.00 - -,6.90
Performance,0.60 7.25 7.25 7.50 7.00 7.00 6.50 7.25 7.25,,7.75,7.75 - -,7.20
Choreography,0.60 7.50 7.25 7.00 7.00 7.00 6.00 7.50 7.00,,8.00,7.75 - -,7.25
Interpretation / Timing,1.00 7.25 7.50 7.25 7.00 7.25 6.00 7.50 7.00,,7.75,7.75 - -,7.30
Judges Total Program Component Score (factored),,,,,27.05
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
3 Federica FAIELLA / Massimo SCALI,ITA  54.56  29.90,,,24.66,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 RoLi4  4.00,0.50 1 0 2 2 1 1 1 0,,2,0 - -,4.50
2 NtMiTw4  3.30,0.50 1 0 1 1 1 2 1 1,,1,0 - -,3.80
3 NtMiSt4  4.30,0.30 1 0 1 2 0 1 0 0,,2,1 - -,4.60
4 Sp4  4.70,0.00 0 0 0 0 0 0 0 -1,,1,0 - -,4.70
5 CuLi4  4.00,0.50 1 1 1 2 1 1 0 0,,2,1 - -,4.50
6 CiSt3  7.20,0.60 1 0 0 1 0 0 0 1,,1,0 - -,7.80
27.50,,,,,29.90
Program Components,Factor,,,,
Skating Skills,0.80 6.50 6.25 6.50 6.75 6.50 6.75 6.50 5.75,,7.00,6.75 - -,6.50
Linking Footwork / Movement,0.80 6.50 6.00 6.75 7.00 6.25 6.25 6.00 6.00,,6.75,6.50 - -,6.30
Performance,0.60 6.50 6.25 7.25 7.00 6.25 7.00 6.25 6.25,,7.00,6.50 - -,6.45
Choreography,0.60 6.75 6.25 6.00 7.00 6.25 6.50 6.25 6.00,,7.50,6.75 - -,6.50
