Skate America,,,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Tanith BELBIN / Benjamin AGOSTO,USA  36.03  17.86,,,18.17,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  1.60  0.80,1 1 1 2 2 2 1 1,,2,2 - -,2.40
2 1S2  2.50  0.50,0 0 1 1 1 1 0 2,,1,1 - -,3.00
3 1S3  2.50  0.30,1 0 1 1 1 1 0 0,,1,0 - -,2.80
4 2S1  2.00  0.70,1 0 1 1 1 0 1 1,,1,2 - -,2.70
5 2S2  3.20  0.42,1 0 1 0 0 0 0 1,,1,1 - -,3.62
6 2S3  3.20  0.14,1 0 0 0 1 1 0 0,,1,0 - -,3.34
15.00,,,,,17.86
Program Components Factor,,,,,
Skating Skills  0.75,7.25 7.50 7.25 8.00 7.50 7.00 7.00 7.25,,8.00,7.25 - -,7.35
Timing  0.75,7.00 7.25 7.00 8.00 7.25 6.75 7.00 6.75,,7.75,7.00 - -,7.10
Performance / Execution  0.50,7.00 7.50 7.25 8.00 7.50 6.75 7.00 7.00,,8.00,7.50 - -,7.35
Interpretation  0.50,7.25 7.25 7.00 8.25 7.50 6.75 7.25 6.75,,8.25,7.25 - -,7.30
Judges Total Program Component Score (factored),,,,,18.17
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Nathalie PECHALAT / Fabian BOURZAT,FRA  34.56  17.36,,,17.20,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  1.60  0.50,1 0 1 0 1 2 1 1,,1,1 - -,2.10
2 1S2  2.50  0.30,0 0 0 0 0 1 1 2,,0,1 - -,2.80
3 1S3  2.50  0.30,1 0 1 0 0 1 0 1,,0,1 - -,2.80
4 2S1  2.00  0.70,0 0 1 1 1 1 1 1,,1,1 - -,2.70
5 2S2  3.20  0.14,0 0 0 0 0 0 0 1,,0,1 - -,3.34
6 2S3  3.20  0.42,1 0 0 1 0 1 0 1,,0,1 - -,3.62
15.00,,,,,17.36
Program Components Factor,,,,,
Skating Skills  0.75,6.50 6.75 6.75 6.50 6.25 7.00 7.00 7.00,,7.50,6.75 - -,6.90
Timing  0.75,6.25 7.00 6.75 6.00 6.00 6.75 7.00 6.75,,7.00,6.00 - -,6.65
Performance / Execution  0.50,6.25 6.75 7.00 6.50 6.25 6.75 7.25 7.00,,7.25,7.00 - -,7.00
