Skate America,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Tanith BELBIN / Benjamin AGOSTO,USA  97.68,50.40,,,47.28,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SeLi4  6.40,1.00 2 2 2 2 2,2 2 2,,2,2 - -,7.40
2 STw4  4.70,0.50 1 1 1 1 2,1 2 1,,1,1 - -,5.20
3 CiSt4  8.00,1.00 1 1 1 0 1,1 1 2,,0,2 - -,9.00
4 Sp4  4.70,0.50 1 1 0 1 0,1 2 1,,1,1 - -,5.20
5 CuLi4+RoLi4  6.40,1.00 2 1 1 2 2,2 2 2,,2,2 - -,7.40
6 SlLi3  3.50,0.70 2 2 1 1 1,2 1 3,,2,1 - -,4.20
7 MiStNt3  6.20,1.00 2 1 1 0 0,1 2 1,,0,1 - -,7.20
8 RoLi4  4.00,0.80 2 1 1 1 1,1 1 2,,2,2 - -,4.80
43.90,,,,,,50.40
Program Components,Factor,,,,,
Skating Skills,1.25 8.00 7.50 7.50 7.50 7.50,7.50 8.25 7.25,,8.25,8.25 - -,7.90
Linking Footwork / Movement,1.75 7.00 7.50 6.75 7.25 7.25,7.25 8.00 6.75,,8.00,8.00 - -,7.40
Performance,1.00 8.25 8.00 7.00 7.75 7.75,7.75 8.50 8.00,,8.50,8.25 - -,8.15
Choreography,1.00 8.50 8.00 7.25 7.50 7.50,7.75 8.25 7.75,,8.25,8.50 - -,8.05
Interpretation / Timing,1.00 8.50 7.75 7.25 7.75 7.50,8.00 8.50 8.00,,8.50,8.50 - -,8.25
Judges Total Program Component Score (factored),,,,,,47.28
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Nathalie PECHALAT / Fabian BOURZAT,FRA  90.33,46.50,,,43.83,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70,0.50 1 1 1 1 2,1 3 1,,0,1 - -,5.20
2 CiSt3  7.20,0.80 1 1 1 0 1,0 1 2,,0,1 - -,8.00
3 CuLi4+RoLi4  6.40,0.70 2 1 2 1 0,1 1 1,,2,1 - -,7.10
4 SeLi4  6.40,0.80 2 1 1 1 1,2 2 1,,2,2 - -,7.20
5 Sp3  4.00,0.00 0 -1 0 0 -1,0 0 0,,0,0 - -,4.00
6 DiSt2  5.40,1.00 2 1 1 0 1,1 1 1,,1,1 - -,6.40
7 SlLi3  3.50,0.60 1 2 2 2 1,2 0 1,,1,1 - -,4.10
8 RoLi4  4.00,0.50 2 1 1 1 0,1 1 1,,1,1 - -,4.50
41.60,,,,,,46.50
Program Components,Factor,,,,,
Skating Skills,1.25 7.25 6.75 7.25 6.75 7.00,7.25 7.00 7.00,,7.50,7.75 - -,7.20
Linking Footwork / Movement,1.75 7.00 7.50 7.00 6.50 7.25,7.25 7.00 7.00,,7.75,7.50 - -,7.10
Performance,1.00 7.50 7.00 7.25 6.75 7.25,7.50 7.00 7.75,,7.75,7.50 - -,7.40
Choreography,1.00 7.75 7.25 7.50 7.00 7.00,7.75 6.75 7.50,,7.50,7.75 - -,7.45
Interpretation / Timing,1.00 7.75 6.75 7.50 7.25 7.25,7.50 6.75 7.75,,7.75,7.50 - -,7.55
Judges Total Program Component Score (factored),,,,,,43.83
Deductions:,,,,,,0.00
Skate America,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Federica FAIELLA / Massimo SCALI,ITA  86.29,47.20,,,40.09,1.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 RoLi4  4.00,0.20 1 1 -3 1 0,2 0 2,,0,0 - -,4.20
2 Sp4  4.70,0.10 0 -1 0 0 0,0 1 1,,0,0 - -,4.80
