LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Kimmie MEISSNER,USA,,120.26  61.10,,,59.16,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00  0.83,0 1 0 1,,1 1 1 0,,1,1 1 -,10.83
2 2A  3.30  1.00,1 1 2 1,,1 1 1 1,,1,2 1 -,4.30
3 1F  0.50  0.00,0 0 0 0,,0 0 0 0,,-1,-1 -2 -,0.50
4 SlSt3  3.10  0.58,1 1 1 1,,1 2 2 2,,1,2 1 -,3.68
5 CCoSp4  3.50  0.50,1 1 1 1,,2 1 1 2,,1,2 2 -,4.00
6 3S  4.95 x  0.50,0 0 2 1,,0 1 0 1,,1,1 0 -,5.45
7 SpSq4  3.40  0.83,1 0 1 1,,0 1 1 0,,1,2 1 -,4.23
8 3Lo  5.50 x  0.50,0 0 2 0,,0 1 1 1,,1,1 0 -,6.00
9 SSp3  1.80 -0.05,0 -1 0 0,,0 0 -1 0,,1,-1 -1 -,1.75
10 FCSp3  2.30  0.17,0 0 0 0,,1 0 1 0,,1,1 0 -,2.47
11 3Lz  6.60 x  0.33,0 0 0 0,,1 1 0 1,,1,1 1 -,6.93
12 2A+2T+2Lo  6.71 x  0.33,0 0 1 0,,0 0 1 1,,1,1 0 -,7.04
13 CCoSp4  3.50  0.42,1 1 1 0,,1 1 0 1,,1,1 0 -,3.92
55.16,,,,,,,61.10
Program Components Factor,,,,,,,
Skating Skills  1.60,7.00 7.75 7.50 7.50,,7.25 8.00 7.50 7.50,,7.25,8.00 7.50 -,7.46
Transition / Linking Footwork  1.60,6.75 7.25 7.25 7.25,,7.00 7.50 7.25 7.25,,7.00,7.50 7.00 -,7.17
Performance / Execution  1.60,6.75 7.50 7.50 7.50,,7.25 7.75 7.75 7.25,,7.25,7.50 7.50 -,7.46
Choreography / Composition  1.60,7.00 7.50 7.50 7.50,,7.25 7.75 7.50 7.00,,7.00,7.75 7.25 -,7.38
Interpretation  1.60,7.00 7.75 7.50 7.50,,7.50 8.00 7.75 7.25,,7.00,8.00 7.00 -,7.50
Judges Total Program Component Score (factored),,,,,,,59.16
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Emily HUGHES,USA,,111.26  54.73,,,56.53,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.30  1.00,1 1 1 1,,1 1 1 0,,1,2 1 -,4.30
2 3F  5.50 -0.83,0 -2 -1 0,,-2 0 -1 -1,,-1,-1 -1 -,4.67
3 3Lz  6.00  0.00,0 0 0 0,,-1 0 0 0,,0,0 0 -,6.00
4 SlSt3  3.10  0.00,0 0 0 0,,0 0 0 0,,0,1 0 -,3.10
5 FSSp3  2.30 -0.05,0 0 0 0,,0 -1 -1 0,,0,0 -1 -,2.25
6 FSSp3  2.30  0.00,-1 0 0 0,,0 0 0 0,,1,1 0 -,2.30
7 3T+2T  5.83 x  0.17,0 0 1 0,,0 0 0 0,,1,1 0 -,6.00
8 3F+SEQ  4.84 x  0.17,0 -1 1 0,,-1 1 1 0,,0,2 1 -,5.01
9 SpSq3  3.10  0.50,1 1 1 1,,0 1 1 0,,1,1 2 -,3.60
10 3Lz+SEQ  5.28 x  0.50,0 -1 2 0,,1 1 1 0,,0,1 1 -,5.78
11 3S  4.95 x  0.17,0 0 1 0,,0 0 0 0,,1,1 0 -,5.12
12 LSp4  2.60  0.50,1 1 1 1,,1 1 1 1,,1,2 0 -,3.10
13 CCoSp3  3.00  0.50,1 1 1 1,,1 0 1 1,,1,2 0 -,3.50
52.10,,,,,,,54.73
Program Components Factor,,,,,,,
Skating Skills  1.60,6.75 7.25 7.50 7.50,,6.75 7.50 7.25 7.25,,7.25,7.25 7.00 -,7.25
