PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,,133.76  67.85,,,66.91,1.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3T+2T  5.30  0.86,1 1 0,1,1 1 1 1,,1,0 1 1,6.16
2 2A  3.30  0.71,1 0 0,1,1 1 2 0,,1,2 1 1,4.01
3 3LzTw2  5.00  1.30,2 2 1,2,2 2 2 2,,2,1 2 2,6.30
4 5ALi4  6.50  1.43,2 1 1,1,1 1 1 1,,1,2 2 2,7.93
5 FoDs4  4.50  0.30,1 1 0,1,0 0 1 0,,0,0 1 1,4.80
6 FCCoSp4  3.50 -0.21,-1 -1 0,0,0 0 -1 -2,,0,-1 -1 -1,3.29
7 3Li4  4.00  0.30,0 1 1,1,1 1 1 1,,1,1 1 1,4.30
8 SlSt3  3.10  0.43,0 1 0,1,1 1 1 1,,0,2 1 2,3.53
9 3LoTh  5.50 x  1.40,2 2 2,1,2 2 2 2,,2,2 2 3,6.90
10 3STh  4.95 x  1.30,1 2 2,2,2 1 2 2,,2,1 2 2,6.25
11 SpSq4  3.40  0.71,1 0 1,1,1 0 1 0,,0,1 1 1,4.11
12 PCoSp4  4.50  0.14,0 0 0,1,0 0 0 1,,1,1 0 0,4.64
13 5TLi3  5.50  0.13,0 0 0,1,1 0 1 0,,0,1 1 1,5.63
59.05,,,,,,,67.85
Program Components Factor,,,,,,,
Skating Skills  1.60,8.50 8.25 8.50,8.25,8.50 8.50 8.50 8.25,,8.00,8.50 8.75 8.75,8.46
Transition / Linking Footwork  1.60,8.25 8.00 8.00,8.50,8.25 8.00 8.25 9.00,,8.00,8.00 8.50 8.50,8.21
Performance / Execution  1.60,8.25 8.25 8.25,8.00,8.25 8.25 8.50 8.00,,8.00,8.25 8.50 8.75,8.25
Choreography / Composition  1.60,8.50 8.50 8.25,8.25,8.50 8.25 8.50 8.50,,8.00,8.50 8.75 8.50,8.46
Interpretation  1.60,8.25 8.25 8.50,8.50,8.50 8.50 8.75 8.75,,8.25,8.25 8.75 8.50,8.43
Judges Total Program Component Score (factored),,,,,,,66.91
Deductions: Time violation:,-1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Qing PANG / Jian TONG,CHN,,119.53  61.26,,,58.27,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A+2A+SEQ  5.28  0.86,0 1 1,1,1 0 1 2,,1,1 0 1,6.14
2 3T  4.00  0.00,0 0 0,-1,0 0 -1 -1,,0,0 0 0,4.00
3 3LzTw1  4.50 -1.30,-2 -1 -2,-3,-2 -1 -2 -2,,-2,-2 -1 -2,3.20
4 3STh  4.50  0.60,1 1 0,1,1 0 0 1,,0,1 1 1,5.10
5 BoDs4  4.50  0.00,0 0 0,0,0 0 0 -1,,0,0 1 0,4.50
6 FCCoSp4  3.50 -0.13,0 0 0,0,0 0 0 -1,,-1,-1 -1 0,3.37
7 5ALi4  6.50  1.00,1 1 1,1,1 0 1 1,,0,1 1 1,7.50
8 3LoTh  5.50 x  0.80,0 1 1,0,1 1 2 1,,1,1 2 2,6.30
9 5TLi4  6.00  0.04,0 0 0,0,1 0 0 0,,0,0 1 0,6.04
10 SlSt3  3.10  0.00,0 0 0,0,0 1 1 0,,0,0 0 0,3.10
11 SpSq4  3.40  0.43,0 0 1,1,1 1 0 0,,0,1 1 0,3.83
12 PCoSp4  4.50  0.14,0 0 1,0,1 0 0 0,,0,-1 1 0,4.64
13 3Li3  3.50  0.04,0 0 0,0,1 0 0 0,,0,0 1 0,3.54
58.78,,,,,,,61.26
Program Components Factor,,,,,,,
Skating Skills  1.60,7.50 7.50 7.50,7.50,7.50 7.75 6.75 7.25,,7.25,7.75 7.75 7.50,7.50
