ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Marie-France DUBREUIL / Patrice LAUZON,CAN  100.73,51.11,,,49.62,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SlLi4  4.00  1.17,3 2 2 3 2,2 2 3,,2,2 2 -,5.17
2 RRoLi4  6.40  1.00,2 2 1 2 2,2 2 3,,2,2 1 -,7.40
3 Sp4  4.70  0.67,1 1 1 2 1,1 0 2,,1,2 0 -,5.37
4 CiSt3  7.20  1.33,1 0 1 2 1,1 1 2,,1,2 0 -,8.53
5 STw4  4.70  0.17,0 0 1 0 0,1 0 1,,1,0 0 -,4.87
6 MiSt3  6.20  1.17,2 0 1 1 1,1 0 2,,1,1 0 -,7.37
7 RoLi4  4.00  1.00,2 2 2 2 2,2 2 2,,2,2 1 -,5.00
8 SlLi4+CuLi4  6.40  1.00,2 2 2 2 2,2 2 3,,2,2 0 -,7.40
43.60,,,,,,51.11
Program Components Factor,,,,,,
Skating Skills  1.25,8.25 7.50 7.75 8.50 8.00,8.50 7.50 8.50,,8.00,8.00 7.50 -,8.21
Linking Footwork / Movement  1.75,8.25 7.25 7.50 8.50 8.00,8.75 7.50 8.50,,7.75,7.75 7.00 -,8.13
Performance  1.00,8.75 8.00 7.75 8.75 8.25,8.75 7.75 8.75,,8.25,8.00 7.50 -,8.46
Choreography  1.00,8.50 7.75 7.75 9.00 8.00,8.50 7.75 8.50,,8.25,8.00 7.25 -,8.29
Interpretation / Timing  1.00,8.25 8.25 8.00 9.00 8.00,8.75 7.75 8.50,,8.50,8.25 7.50 -,8.38
Judges Total Program Component Score (factored),,,,,,49.62
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Tanith BELBIN / Benjamin AGOSTO,USA  98.81,50.68,,,48.13,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70  0.17,-1 1 1 0 0,0 1 1,,0,1 1 -,4.87
2 CuLi4  4.00  0.75,2 2 1 1 1,1 2 2,,1,2 0 -,4.75
3 CiSt3  7.20  1.33,2 2 1 1 1,1 2 1,,1,2 1 -,8.53
4 CuLi4+RoLi4  6.40  0.83,1 2 2 1 2,1 2 2,,2,2 1 -,7.23
5 SeLi4  6.40  0.83,2 2 2 1 2,1 2 2,,1,2 1 -,7.23
6 Sp4  4.70  0.67,1 2 2 1 2,1 1 2,,2,1 1 -,5.37
7 DiSt3  6.20  1.50,2 1 1 2 1,1 1 2,,0,2 1 -,7.70
8 RoLi4  4.00  1.00,1 2 2 2 2,2 2 2,,2,2 2 -,5.00
43.60,,,,,,50.68
Program Components Factor,,,,,,
Skating Skills  1.25,7.75 8.50 7.75 8.25 8.00,8.00 8.50 8.25,,7.75,8.00 7.75 -,8.04
Linking Footwork / Movement  1.75,7.50 8.25 7.75 7.50 8.00,8.00 8.50 7.75,,7.75,8.00 7.50 -,7.83
Performance  1.00,8.25 8.50 8.00 8.50 8.00,8.25 9.00 8.25,,8.00,8.00 7.75 -,8.21
Choreography  1.00,8.00 8.50 8.00 8.00 7.75,7.75 9.00 8.00,,8.25,8.25 8.25 -,8.04
Interpretation / Timing  1.00,8.00 8.75 8.00 8.00 8.00,8.25 9.00 8.00,,8.25,8.25 8.75 -,8.13
Judges Total Program Component Score (factored),,,,,,48.13
Deductions:,,,,,,0.00
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Tessa VIRTUE / Scott MOIR,CAN  93.99,50.40,,,43.59,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SlLi4  4.00,0.92 2 2 1 2 2,2 2 2,,1,1 1 -,4.92
