MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Jeffrey BUTTLE,CAN,,77.72  41.58,,,36.14,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50,0.57 2 1 1 1,,-1 2 0 2,,1,0 -1 1,10.07
2 3A  7.50,-2.29 -2 -3 -2 -2,,-3 -3 -3 -2,,-2,-2 -2 -2,5.21
3 FSSp4  3.00,0.50 1 1 1 1,,1 1 1 1,,0,1 1 1,3.50
4 3Lz  6.00,0.14 1 0 0 0,,0 1 0 -1,,0,0 0 0,6.14
5 CSSp4  3.00,0.36 1 1 1 0,,0 1 1 1,,1,1 1 0,3.36
6 CiSt4  3.40,1.29 1 1 1 1,,1 2 1 2,,1,1 2 2,4.69
7 SlSt4  3.40,1.14 2 1 0 2,,1 1 1 2,,0,1 1 1,4.54
8 CCoSp4  3.50,0.57 1 2 1 2,,1 0 2 2,,1,1 1 1,4.07
39.30,,,,,,,41.58
Program Components,Factor,,,,,,
Skating Skills,1.00 7.50 7.25 7.25 7.50,,7.25 7.50 7.50 7.50,,7.00,7.25 7.25 7.00,7.32
Transition / Linking Footwork,1.00 7.25 7.00 6.75 7.50,,7.00 7.25 7.25 7.00,,6.75,7.00 6.50 6.75,7.04
Performance / Execution,1.00 7.75 7.25 7.00 7.75,,7.00 7.00 7.25 7.50,,7.00,7.25 7.00 7.25,7.21
Choreography / Composition,1.00 7.25 7.00 7.00 7.50,,6.75 7.50 7.50 7.75,,7.00,7.25 6.75 7.50,7.25
Interpretation,1.00 7.50 7.25 7.25 7.50,,7.00 7.50 7.50 8.00,,7.00,7.00 7.25 7.75,7.32
Judges Total Program Component Score (factored),,,,,,,36.14
Deductions:,,,,,,,0.00
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Jeremy ABBOTT,USA,,74.34  41.91,,,32.43,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00,0.71 2 0 2 1,,1 1 1 1,,0,0 0 1,10.71
2 3A  7.50,0.43 1 0 0 0,,0 1 0 0,,1,0 0 1,7.93
3 FSSp4  3.00,0.50 1 0 2 1,,1 1 1 1,,0,1 1 1,3.50
4 3Lo  5.00,0.14 0 0 1 1,,0 0 0 -1,,0,0 1 0,5.14
5 CCoSp4  3.50,0.57 1 1 2 2,,1 1 1 2,,0,1 2 1,4.07
6 CiSt3  3.10,0.29 0 1 1 2,,1 1 0 1,,0,0 1 1,3.39
7 CSSp4  3.00,0.57 1 1 1 2,,1 1 1 2,,1,1 1 2,3.57
8 SlSt3  3.10,0.50 1 1 2 2,,1 1 1 2,,0,1 1 1,3.60
38.20,,,,,,,41.91
Program Components,Factor,,,,,,
Skating Skills,1.00 6.75 6.75 6.75 7.75,,6.75 6.50 6.50 7.00,,6.75,6.50 6.25 6.00,6.57
Transition / Linking Footwork,1.00 6.50 6.25 6.25 7.00,,6.25 6.00 6.00 6.50,,6.25,6.25 5.75 5.75,6.14
Performance / Execution,1.00 7.00 6.75 6.75 7.50,,6.75 6.50 6.25 7.25,,6.50,6.50 6.75 6.25,6.61
Choreography / Composition,1.00 6.75 6.75 6.50 7.50,,6.75 6.75 6.25 7.00,,6.50,6.50 6.25 6.00,6.54
Interpretation,1.00 6.75 7.00 6.75 7.50,,6.75 6.50 6.50 7.00,,6.50,6.50 6.50 6.25,6.57
Judges Total Program Component Score (factored),,,,,,,32.43
Deductions:,,,,,,,0.00
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Ryan BRADLEY,USA,,68.83  37.19,,,31.64,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
