8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Charlene GUIGNARD / Marco FABBRI,ITA,2,52.03,25.92,28.11,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,STw4,,6.0,False,0.08,-1,0,1,0,0,0,0,1,,6.08
2,1FS4+kpYYY,,7.0,False,0.08,0,-1,0,1,0,1,1,-1,,7.08
3,2FS2+kpNNY,,5.0,False,-0.08,1,-1,0,0,0,-1,0,0,,4.92
4,SlLi1,,1.5,False,0.67,1,1,2,2,1,1,1,2,,2.17
5,NtDiSt2,,5.0,False,0.67,1,0,1,1,0,0,1,1,,5.67
,,,24.5,,,,,,,,,,,,25.92
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.0,6.75,7.25,7.25,6.75,7.0,7.0,6.75,,6.96
,Linking Footwork / Movement  ,,,,0.7,6.5,6.5,7.0,7.25,7.0,7.0,6.75,7.0,,6.88
,Performance  ,,,,0.7,6.75,7.0,7.5,7.25,7.5,7.0,7.0,7.25,,7.17
,Choreography  ,,,,0.8,7.25,7.25,7.5,7.25,7.25,7.0,7.0,7.0,,7.17
,Interpretation / Timing  ,,,,1.0,6.25,7.0,7.25,7.5,7.0,7.0,6.75,6.75,,6.96
,,,,,,,,,,,,,,,28.11
Deduction,Illegal element/movement,-2.0
