9,,,,,,,,,,,,,,,,
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions,,,,,,,,,
13,Pilar MAEKAWA / Leonardo MAEKAWA,MEX,2,33.37,16.35,17.02,0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw2,,4,FALSE,-0.36,0,-1,0,-1,-1,-1,-1,-1,0,,3.64
2,SlLi4,,4,FALSE,0.07,0,0,1,0,0,0,0,1,0,,4.07
3,1YP1+kpNNN,,3,FALSE,-0.36,0,0,-1,-1,0,-1,-2,-1,-1,,2.64
4,2YP1+kpNNN,,3,FALSE,-0.14,0,0,0,-1,0,-1,-1,0,0,,2.86
5,NtMiSt1,,3.5,FALSE,-0.36,0,-1,0,-1,0,-1,-1,-2,-1,,3.14
,,,17.5,,,,,,,,,,,,,16.35
,Program Components,,,,Factor,,,,,,,,,,,
,Skating Skills  ,,,,0.8,5,3.5,4,3.75,4.25,4.75,4.25,5,4.75,,4.39
,Linking Footwork / Movement  ,,,,0.7,4.75,3.75,3.75,3,4,4.5,4,4.5,4,,4.07
,Performance  ,,,,0.7,5,4,4.5,3.25,4.25,4.5,4,5,4.5,,4.39
,Choreography  ,,,,0.8,4.75,3.75,5,2.75,4.25,3.5,3.75,4.25,3.75,,4
,Interpretation / Timing  ,,,,1,5,4,4.5,3.25,4.25,4.5,4.25,5.25,4.25,,4.39
,,,,,,,,,,,,,,,,17.02
