SmartOnes Skate America,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Dan ZHANG / Hao ZHANG CHN 119.24 65.08,,54.16,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3STh 4.5 1.40 2 2 2 1 2 2 2 2,,2 1 - -,5.90
2 2A+3T 7.3 -0.40 -1 -1 0 -1 -1 0 0 0,,0 -1 - -,6.90
3 3Tw3 5.0 1.40 2 2 2 2 2 2 2 2,,2 2 - -,6.40
4 5TLi3 5.5 0.50 1 1 1 1 1 1 1 1,,1 1 - -,6.00
5 PCoSp3 4.0 0.40 1 0 1 1 0 1 0 1,,1 1 - -,4.40
6 BoDs3 4.0 0.14 0 0 1 0 0 1 1 0,,0 0 - -,4.14
7 3LoTh 5.5x -0.98 -2 -1 -1 -2 -1 -2 -2 -1,,-2 -2 - -,4.52
8 3S 5.0x -0.80 -1 -1 -1 0 -1 -1 -1 -1,,0 -1 - -,4.20
9 SpSt4 3.4 0.40 0 0 0 0 1 0 0 1,,1 1 - -,3.80
10 FiDs3 3.2 0.42 0 0 1 0 1 1 0 1,,0 1 - -,3.62
11 5ALi3 6.0 0.60 0 0 1 0 1 1 1 1,,0 1 - -,6.60
12 CiSt2 2.3 0.00 0 0 0 0 -1 0 0 0,,0 1 - -,2.30
13 CCoSp2 2.5 0.00 -1 0 0 0 0 0 0 0,,1 0 - -,2.50
14 3Li3 3.5 0.30 0 0 1 0 1 1 1 1,,0 1 - -,3.80
61.7,,,65.08
Program Components Factor,,,
Skating Skills 1.60 7.25 7.00 8.00 6.75 7.00 7.25 7.00 7.50,,7.00 7.25 -,- 7.15
Transition / Linking Footwork 1.60 7.00 6.25 7.50 6.25 6.75 6.50 6.25 7.00,,6.75 7.00 -,- 6.65
Performance / Execution 1.60 7.00 6.50 7.75 6.50 6.50 6.75 6.75 7.50,,6.75 7.25 -,- 6.80
Choreography / Composition 1.60 7.00 6.50 7.50 6.50 6.50 6.25 6.50 7.00,,6.75 7.00 -,- 6.65
Interpretation 1.60 7.00 6.50 7.50 6.50 6.25 6.25 7.00 7.25,,6.50 7.00 -,- 6.60
Judges Total Program Component Score (factored),,,54.16
Deductions:,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
"2 Rena INOUE / John BALDWIN, jr. USA 109.60 58.04",,52.56,1.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 2Lz 1.9 -0.48 -3 -2 -2 -1 -2 -1 1 -2,,0 -1 - -,1.42
2 3Tw2 4.5 -1.12 -2 -2 -1 -2 -2 -2 -2 -1,,-1 -1 - -,3.38
3 2A+2A+SEQ 5.3 -0.14 0 0 0 -1 -1 0 1 0,,1 0 - -,5.16
4 3LoTh 5.0 -0.56 0 -1 -1 0 -1 -1 -1 0,,-1 -1 - -,4.44
5 BiDs2 3.0 0.14 0 0 1 0 0 0 1 0,,1 0 - -,3.14
6 3Li3 3.5 0.00 0 0 0 0 0 0 1 0,,0 1 - -,3.50
7 PCoSp3 4.0 0.40 0 0 1 1 0 1 0 1,,1 1 - -,4.40
8 3ATh 8.3x -2.00 -3 -3 -3 -3 -3 -3 -3 -3,,-3 -3 - -,6.30
9 5TLi2 5.0 0.40 1 1 1 1 1 1 1 0,,0 1 - -,5.40
10 BoDs3 4.0 0.70 1 1 1 1 1 1 1 1,,1 1 - -,4.70
11 SlSt1 1.8 0.50 2 1 1 1 2 1 0 1,,0 1 - -,2.30
12 FCCoSp4 3.5 0.00 1 0 0 0 0 0 0 1,,0 1 - -,3.50
13 SpSt4 3.4 0.00 1 0 0 0 0 1 0 0,,0 0 - -,3.40
14 5ALi3 6.0 1.00 1 1 0 1 1 1 1 1,,1 1 - -,7.00
59.2,,,58.04
Program Components Factor,,,
Skating Skills 1.60 6.75 6.75 7.25 6.50 6.50 7.00 7.50 6.75,,6.75 6.50 -,- 6.75
Transition / Linking Footwork 1.60 6.50 6.50 6.75 6.00 6.25 6.75 7.00 6.50,,6.25 6.25 -,- 6.45
Performance / Execution 1.60 6.50 6.75 7.00 6.50 6.50 6.75 7.25 7.00,,6.50 6.50 -,- 6.70
Choreography / Composition 1.60 6.50 6.50 7.00 6.25 6.25 6.50 7.25 6.75,,6.75 6.50 -,- 6.55
Interpretation 1.60 6.50 6.50 7.00 6.25 6.25 6.50 7.25 6.50,,6.25 6.50 -,- 6.40
Judges Total Program Component Score (factored),,,52.56
Deductions: Falls: -1.00,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,
SmartOnes Skate America,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
3 Elizabeth PUTNAM / Sean WIRTZ CAN 107.22 58.82,,48.40,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 2Tw3 4.0 0.40 1 1 1 0 1 1 0 1,,0 1 - -,4.40
2 5ALi2 5.5 0.70 1 1 1 1 1 1 1 1,,1 1 - -,6.20
3 2Lz+2A+SEQ 4.2 0.00 -1 0 0 0 0 0 0 0,,0 0 - -,4.20
4 FCCoSp4 3.5 0.10 0 0 1 0 1 0 0 0,,0 0 - -,3.60
5 BoDs1 3.0 0.00 -1 0 0 0 0 -1 0 0,,0 -1 - -,3.00
