SmartOnes Skate America,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Elena SOKOLOVA RUS 57.94 31.70,,26.24,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz+2T 7.3 0.40 1 1 0 -1 1 1 0 0,,0 1 - -,7.70
2 3Lo 5.0 0.00 0 0 0 -2 0 0 0 0,,1 0 - -,5.00
3 FCSp3 2.3 0.00 0 0 0 1 0 0 0 0,,0 1 - -,2.30
4 SpSt3 3.1 0.10 0 0 0 1 1 0 0 0,,0 1 - -,3.20
5 2A 3.3 1.00 1 1 1 1 1 1 0 1,,1 1 - -,4.30
6 LSp3 1.8 0.20 0 0 1 0 1 0 0 0,,0 1 - -,2.00
7 CiSt3 3.1 0.30 0 1 1 1 0 1 0 1,,1 0 - -,3.40
8 CCoSp4 3.5 0.30 1 1 1 1 1 0 0 0,,0 1 - -,3.80
29.4,,,31.70
Program Components Factor,,,
Skating Skills 0.80 6.75 7.25 6.75 6.75 6.25 6.50 6.50 6.75,,6.75 7.00 -,- 6.75
Transition / Linking Footwork 0.80 6.00 6.75 6.25 6.50 5.75 6.50 6.00 6.50,,6.25 5.75 -,- 6.15
Performance / Execution 0.80 6.50 7.00 6.50 7.00 6.25 6.50 6.50 7.00,,6.75 6.75 -,- 6.70
Choreography / Composition 0.80 6.50 7.00 6.50 6.50 6.00 6.25 6.25 7.00,,6.50 6.50 -,- 6.55
Interpretation 0.80 6.75 7.00 6.50 6.75 6.00 6.50 6.50 6.75,,6.75 6.75 -,- 6.65
Judges Total Program Component Score (factored),,,26.24
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
2 Yoshie ONDA JPN 53.90 30.50,,23.40,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz+2T 7.3 0.40 0 1 1 1 0 0 0 0,,1 0 - -,7.70
2 3F 5.5 0.20 1 1 0 1 -2 0 -1 1,,0 1 - -,5.70
3 LSp3 1.8 0.30 0 0 1 0 0 1 0 1,,1 1 - -,2.10
4 SpSt3 3.1 0.00 0 0 0 1 0 0 -1 0,,0 0 - -,3.10
5 2A 3.3 0.00 0 0 0 1 0 0 1 0,,0 0 - -,3.30
6 FSSp4 3.0 0.00 0 0 0 0 0 1 0 0,,0 0 - -,3.00
7 CiSt2 2.3 0.00 0 0 0 0 0 1 0 0,,0 0 - -,2.30
8 CCoSp3 3.0 0.30 1 1 1 0 0 1 0 0,,1 1 - -,3.30
29.3,,,30.50
Program Components Factor,,,
Skating Skills 0.80 6.75 6.25 6.75 6.00 5.75 5.75 4.75 6.25,,6.25 6.00 -,- 6.10
Transition / Linking Footwork 0.80 5.75 6.00 6.00 5.50 5.00 5.75 4.00 5.75,,6.00 4.75 -,- 5.50
Performance / Execution 0.80 6.00 6.00 6.25 5.25 5.50 5.50 4.25 6.25,,6.25 5.50 -,- 5.90
Choreography / Composition 0.80 5.75 6.00 6.00 5.50 5.25 5.50 4.50 6.25,,6.25 5.75 -,- 5.85
Interpretation 0.80 5.75 6.00 6.25 5.50 5.75 5.75 4.50 6.50,,6.00 5.50 -,- 5.90
Judges Total Program Component Score (factored),,,23.40
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
3 Alissa CZISNY USA 52.82 29.30,,23.52,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 FSSp4 3.0 0.60 1 1 2 2 1 1 1 1,,2 1 - -,3.60
2 3Lz+2T 7.3 -0.60 0 -2 0 -1 0 0 -1 0,,-1 -1 - -,6.70
3 2A 3.3 0.00 0 0 0 0 0 0 0 0,,0 0 - -,3.30
4 SpSt4 3.4 0.40 1 0 0 1 1 1 1 1,,0 0 - -,3.80
5 3F 5.5 -2.60 -3 -3 -3 -2 -3 -3 -2 -2,,-3 -2 - -,2.90
6 CCoSp3 3.0 0.90 1 2 2 2 2 2 1 1,,2 2 - -,3.90
7 SlSt1 1.8 0.00 0 0 0 0 0 0 0 0,,0 0 - -,1.80
8 LSp4 2.4 0.90 2 2 2 2 2 2 1 2,,2 1 - -,3.30
29.7,,,29.30
Program Components Factor,,,
Skating Skills 0.80 5.75 5.25 5.75 6.00 6.25 6.50 5.75 6.25,,6.00 6.75 -,- 6.00
Transition / Linking Footwork 0.80 5.00 5.25 5.50 5.75 6.00 6.25 5.25 6.25,,5.75 5.50 -,- 5.60
Performance / Execution 0.80 6.25 5.25 5.75 6.25 6.00 6.25 5.75 6.50,,5.75 6.50 -,- 5.95
Choreography / Composition 0.80 6.00 5.50 6.00 6.00 5.75 6.50 5.75 6.00,,6.00 6.50 -,- 5.90
Interpretation 0.80 6.00 5.25 5.75 6.25 6.00 6.75 5.75 6.25,,6.00 6.25 -,- 5.95
Judges Total Program Component Score (factored),,,23.52
Deductions:,,,0.00
SmartOnes Skate America,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
4 Beatrisa LIANG USA 47.54 26.10,,22.44,1.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 FSSp3 2.3 0.10 0 1 0 1 -1 0 0 0,,0 1 - -,2.40
