SmartOnes Skate America,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
1 Tanith BELBIN / Benjamin AGOSTO,USA 58.37 29.30,29.07,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 DiSt3 5.5 1.60,1 1 2 2 2 1 2 2,- - - -,7.10
2 CuLi4 4.0 0.50,1 1 1 1 0 1 2 1,- - - -,4.50
3 CoSp3 4.0 0.20,0 1 0 1 0 0 1 1,- - - -,4.20
4 NtMiSt4+STw4 8.2 0.60,1 1 0 -1 2 0 1 0,- - - -,8.80
5 RoLi4 4.0 0.70,2 1 1 2 1 1 2 1,- - - -,4.70
25.7,,,29.30
Program Components Factor,,,
Skating Skills 0.80,7.50 7.50 7.75 7.50 8.00 7.25 8.25 7.75,- - -,- 7.65
Linking Footwork / Movement 0.80,7.25 7.25 7.75 7.50 7.50 7.00 8.25 7.50,- - -,- 7.45
Performance 0.60,7.50 7.75 7.75 8.00 8.00 7.25 8.25 8.00,- - -,- 7.80
Choreography 0.60,7.50 7.50 7.50 7.75 7.75 7.50 8.50 7.50,- - -,- 7.60
Interpretation / Timing 1.00,7.75 7.50 8.00 7.75 7.75 7.50 8.50 7.75,- - -,- 7.75
Judges Total Program Component Score (factored),,,29.07
Deductions:,,,0.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA 55.77 27.50,28.27,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt3+STw4 7.6 0.80,1 0 1 1 1 1 0 0,- - - -,8.40
2 CuLi4 4.0 0.60,0 1 2 1 1 2 1 0,- - - -,4.60
3 DiSt3 5.5 1.00,1 1 1 1 1 2 1 1,- - - -,6.50
4 CoSp1 3.0 0.30,0 0 1 1 1 2 0 0,- - - -,3.30
5 RoLi4 4.0 0.70,1 1 2 2 2 1 1 1,- - - -,4.70
24.1,,,27.50
Program Components Factor,,,
Skating Skills 0.80,7.75 7.25 7.75 7.75 7.25 7.50 7.50 7.25,- - -,- 7.55
Linking Footwork / Movement 0.80,7.25 7.00 7.75 7.75 7.00 7.25 7.25 7.25,- - -,- 7.30
Performance 0.60,7.50 7.25 7.75 7.50 7.25 7.50 7.50 7.00,- - -,- 7.45
Choreography 0.60,7.25 7.25 7.75 7.50 7.25 7.75 7.50 7.00,- - -,- 7.45
Interpretation / Timing 1.00,7.75 7.00 7.50 7.50 7.00 7.75 7.50 7.25,- - -,- 7.45
Judges Total Program Component Score (factored),,,28.27
Deductions:,,,0.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
3 Oksana DOMNINA / Maxim SHABALIN,RUS 51.50 26.60,24.90,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt3+STw4 7.6 1.00,1 0 0 1 2 2 1 1,- - - -,8.60
2 SlLi4 4.0 0.30,0 0 1 1 1 1 0 0,- - - -,4.30
3 CoSp2 3.5 0.00,0 0 0 0 0 0 0 0,- - - -,3.50
4 DiSt2 4.8 1.00,1 0 1 1 1 1 1 1,- - - -,5.80
5 RoLi4 4.0 0.40,0 1 1 1 1 1 0 0,- - - -,4.40
23.9,,,26.60
Program Components Factor,,,
Skating Skills 0.80,6.75 6.50 6.50 6.75 6.75 6.50 6.50 6.75,- - -,- 6.60
Linking Footwork / Movement 0.80,6.25 6.25 6.25 7.00 6.50 6.50 6.50 6.50,- - -,- 6.40
Performance 0.60,6.50 6.50 6.50 6.75 6.75 6.75 6.75 6.75,- - -,- 6.65
Choreography 0.60,6.50 6.50 6.25 6.50 6.75 6.75 6.75 6.25,- - -,- 6.60
Interpretation / Timing 1.00,6.50 6.25 6.00 6.75 6.75 6.75 6.50 6.25,- - -,- 6.55
Judges Total Program Component Score (factored),,,24.90
Deductions:,,,0.00
SmartOnes Skate America,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
4 Jamie SILVERSTEIN / Ryan O'MEARA,USA 48.28 26.50,21.78,0.00
"# Executed Base",GOE The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 DiSt3 5.5,1.00 1 0 1 1 1 1 1 1,- - - -,6.50
2 CuLi4 4.0,0.40 0 1 1 1 0 2 1 0,- - - -,4.40
3 CoSp3 4.0,0.10 1 0 0 0 0 1 0 0,- - - -,4.10
4 NtMiSt3+STw4 7.6,0.00 0 0 0 -1 0 1 0 -1,- - - -,7.60
5 RoLi3 3.5,0.40 0 1 1 1 1 1 0 0,- - - -,3.90
24.6,,,26.50
Program Components,Factor,,
Skating Skills,0.80 6.25 5.75 5.50 6.00 5.75 5.50 6.00 5.50,- - -,- 5.80
Linking Footwork / Movement,0.80 5.50 5.50 5.50 6.00 5.50 5.50 5.75 5.25,- - -,- 5.55
Performance,0.60 6.00 5.75 5.50 6.00 5.75 5.75 5.75 5.75,- - -,- 5.80
Choreography,0.60 5.75 5.50 5.25 5.75 5.75 5.75 5.75 5.50,- - -,- 5.70
Interpretation / Timing,1.00 6.00 5.50 5.50 6.00 5.75 6.50 5.75 5.50,- - -,- 5.80
Judges Total Program Component Score (factored),,,21.78
Deductions:,,,0.00
"",Total Total,Total,Total
