SmartOnes Skate America,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Dan ZHANG / Hao ZHANG CHN 59.90 33.06,,26.84,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Li4 4.0 0.70 1 1 1 2 1 1 2 2,,1 2 - -,4.70
2 3LoTh 5.0 0.70 -1 0 1 1 1 1 1 1,,1 1 - -,5.70
3 FiDs3 3.2 0.70 1 1 1 1 1 1 1 1,,1 1 - -,3.90
4 3S 4.5 0.40 0 0 1 1 1 0 1 0,,0 0 - -,4.90
5 CCoSp2 2.5 -0.30 0 -2 -1 -1 0 -1 -1 -1,,-1 -1 - -,2.20
6 CiSt3 3.1 0.00 0 0 0 0 0 0 0 -1,,0 0 - -,3.10
7 2Tw3 4.0 0.80 1 -1 2 2 2 1 2 2,,1 2 - -,4.80
8 PCoSp3 4.0 -0.24 0 -1 0 -1 -1 -1 -2 0,,-1 -1 - -,3.76
30.3,,,33.06
Program Components Factor,,,
Skating Skills 0.80 6.00 6.75 7.00 7.25 6.75 6.75 7.25 6.75,,7.50 6.75 -,- 7.00
Transition / Linking Footwork 0.80 6.00 6.25 6.75 7.00 6.25 6.25 6.75 6.25,,6.75 6.50 -,- 6.55
Performance / Execution 0.80 6.25 6.25 7.00 7.25 6.50 6.50 7.00 6.50,,7.00 6.25 -,- 6.80
Choreography / Composition 0.80 6.25 6.50 6.50 7.00 6.25 6.75 7.00 6.50,,7.00 6.50 -,- 6.75
Interpretation 0.80 6.25 6.25 6.25 7.00 6.25 5.25 7.25 6.25,,6.50 6.75 -,- 6.45
Judges Total Program Component Score (factored),,,26.84
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
2 Marcy HINZMANN / Aaron PARCHEM USA 55.00 30.40,,24.60,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 2Tw3 4.0 0.00 0 0 0 0 0 0 0 0,,0 0 - -,4.00
2 3LoTh 5.0 0.70 0 1 1 1 1 1 1 0,,1 1 - -,5.70
3 3T 4.0 0.00 0 0 0 0 0 0 1 0,,0 0 - -,4.00
4 SlSt3 3.1 0.00 0 0 0 0 0 0 0 0,,0 0 - -,3.10
5 CCoSp2 2.5 0.10 0 0 0 0 1 1 0 1,,0 0 - -,2.60
6 PCoSp3 4.0 0.30 1 0 1 0 1 1 0 1,,1 0 - -,4.30
7 3Li2 3.0 0.00 0 0 0 0 0 0 0 0,,0 0 - -,3.00
8 FiDs2 3.0 0.70 0 1 0 1 2 1 1 1,,1 1 - -,3.70
28.6,,,30.40
Program Components Factor,,,
Skating Skills 0.80 6.00 6.25 6.00 6.00 6.00 6.50 6.00 6.75,,6.00 5.75 -,- 6.15
Transition / Linking Footwork 0.80 5.75 6.00 6.00 5.75 5.75 6.25 5.75 6.50,,5.50 5.50 -,- 5.95
Performance / Execution 0.80 6.00 6.50 6.25 6.25 6.00 6.25 6.00 6.75,,5.75 6.50 -,- 6.25
Choreography / Composition 0.80 6.25 6.25 5.75 6.00 5.75 6.50 6.00 6.50,,6.00 6.00 -,- 6.15
Interpretation 0.80 6.25 6.50 6.00 6.00 6.00 6.25 6.00 6.75,,6.50 6.00 -,- 6.25
Judges Total Program Component Score (factored),,,24.60
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
"3 Rena INOUE / John BALDWIN, jr. USA 54.84 31.40",,24.44,1.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz 6.0 -3.00 -3 -3 -3 -3 -3 -3 -3 -3,,-3 -3 - -,3.00
2 3Li4 4.0 0.00 0 0 0 0 0 0 0 0,,0 0 - -,4.00
3 FiDs2 3.0 0.70 1 0 1 1 1 1 1 1,,1 1 - -,3.70
4 3LoTh 5.0 0.00 0 0 -1 0 0 0 1 0,,0 -1 - -,5.00
5 FCCoSp4 3.5 0.30 1 0 1 0 0 1 1 1,,0 0 - -,3.80
6 2Tw3 4.0 0.00 0 0 0 1 1 0 0 0,,0 1 - -,4.00
7 CiSt3 3.1 0.40 1 1 1 1 1 0 1 1,,0 1 - -,3.50
8 PCoSp3 4.0 0.40 0 0 0 1 1 1 1 1,,1 0 - -,4.40
32.6,,,31.40
Program Components Factor,,,
Skating Skills 0.80 5.75 6.25 6.25 6.25 6.25 6.25 6.25 6.25,,7.00 6.00 -,- 6.25
Transition / Linking Footwork 0.80 5.75 5.75 6.00 5.75 5.50 5.75 6.00 6.00,,6.50 5.25 -,- 5.90
Performance / Execution 0.80 5.75 6.00 5.75 6.25 6.00 6.25 6.00 6.25,,7.25 5.75 -,- 6.15
Choreography / Composition 0.80 5.75 5.75 6.00 6.00 6.00 6.25 6.00 6.50,,6.75 5.50 -,- 6.15
Interpretation 0.80 5.75 6.00 6.00 6.00 6.00 6.00 6.25 6.25,,6.50 5.75 -,- 6.10
Judges Total Program Component Score (factored),,,24.44
Deductions: Falls: -1.00,,,-1.00
SmartOnes Skate America,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
4 Julia OBERTAS / Sergei SLAVNOV RUS 54.04 29.80,,25.24,1.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
