ISU GP Cup of Russia 2010,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Tomas VERNER CZE,10,156.21  78.09,,78.12,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+3T  10.10  0.80 1 1,1,1 2 1 1,,2 1,10.90,
2 3A  8.50 -0.71 -1 -1,-1,-1 0 -1 0,,-1 0,7.79,
3 3Lo  5.10  0.90 2 2,1,1 2 1 1,,1 1,6.00,
4 CiSt3  3.30  0.79 2 1,1,2 2 1 2,,1 2,4.09,
"",,Info,,,,Info
5 FCoSp3  2.50  0.57 1 2,1,1 2 1 1,,1 0,3.07,
6 3A+2T  10.89 x  0.43 1 0,0,1 1 0 0,,1 0,11.32,
7 3Lz  6.60 x  0.40 1 1,0,0 1 0 0,,1 1,7.00,
8 3S  4.62 x  0.90 2 0,1,1 2 1 1,,1 2,5.52,
9 2A  3.63 x -1.00 -2 -2,-2,-2 -2 -2 -2,,-2 -2,2.63,
10 3F+2T+2Lo e  9.35 x -0.80 -1 -1,-1,-2 -1 -2 0,,-1 -1,8.55,
11 CSSp2  2.30  0.71 2 1,1,1 2 2 1,,2 1,3.01,
12 ChSt1  2.00  2.14 3 2,1,2 2 2 3,,2 2,4.14,
13 CCoSp4  3.50  0.57 1 0,2,1 2 1 0,,2 1,4.07,
72.39,,,,,78.09,
Program Components Factor,,,,,,
Skating Skills  2.00 8.50 8.00,8.50,7.75 7.50 6.75 8.25,,7.75 7.50,7.89,
Transition / Linking Footwork  2.00 6.75 7.25,8.25,7.50 7.75 6.00 8.00,,6.75 7.25,7.32,
Performance / Execution  2.00 8.50 7.50,8.50,8.00 7.50 7.00 8.50,,8.00 7.75,7.96,
Choreography / Composition  2.00 8.00 7.25,8.50,8.00 7.50 6.75 8.50,,8.00 7.50,7.82,
Interpretation  2.00 8.25 7.50,8.75,8.25 7.75 6.50 8.50,,8.50 7.75,8.07,
Judges Total Program Component Score (factored),,,,,78.12,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Patrick CHAN CAN,12,145.25  66.95,,81.30,-3.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  7.20 -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,4.20,
2 3A+3T  12.60  1.71 2 0,1,3 2 2 2,,1 2,14.31,
3 3Lz  6.00  1.00 1 1,2,2 1 1 2,,1 2,7.00,
4 SlSt3  3.30  1.14 3 2,2,3 2 2 3,,1 2,4.44,
5 FSSp3  2.60  0.79 2 1,2,2 1 1 1,,2 2,3.39,
6 3A  9.35 x -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,6.35,
7 3Lz+SEQ  5.28 x -2.10 -2 -3,-3,-3 -3 -3 -3,,-3 -3,3.18,
8 CSSp2  2.30  0.36 1 0,1,2 0 1 0,,1 1,2.66,
9 3F  5.83 x  0.00 0 0,0,2 0 0 0,,0 0,5.83,
10 3Lo+2T  7.15 x  0.30 0 0,1,2 0 0 1,,1 0,7.45,
11 2A*+3T* *  0.00  0.00 - -,-,- - - -,,- -,0.00,
12 ChSt1  2.00  2.00 3 1,3,3 1 1 3,,2 1,4.00,
13 CCoSp4  3.50  0.64 2 1,2,2 1 1 1,,1 1,4.14,
67.11,,,,,66.95,
