ISU GP SAMSUNG Anycall Cup of China 2009,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Xue SHEN / Hongbo ZHAO CHN  8,128.69  62.13,,,66.56,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T  4.00 -0.80 -1 0 -1,-1 -1 1 -1,,,-1 -1,3.20,
2 2A+2A+SEQ  5.60 -0.80 -1 -1 -1,-1 -1 -1 -1,,,-1 -2,4.80,
3 FCCoSp4  3.50  0.50 1 -1 1,1 2 1 1,,,1 1,4.00,
4 3Li4  4.00  0.60 1 2 1,1 1 1 2,,,0 2,4.60,
"",,,Info,,,Info
5 FoDs4  4.50  1.40 2 2 2,2 3 2 2,,,1 2,5.90,
6 5ALi3  6.60 x  2.00 2 3 2,1 2 2 2,,,2 2,8.60,
7 3LzTw1  5.50 x  0.98 1 2 1,1 2 1 2,,,1 2,6.48,
8 3LoTh  5.50 x  1.40 2 3 2,2 2 2 3,,,2 2,6.90,
9 3STh  4.95 x  1.40 2 2 3,2 2 2 3,,,2 2,6.35,
10 SpSq4  3.40  0.80 1 0 1,1 1 1 2,,,0 2,4.20,
11 PSp1* *  0.00  0.00 - - -,- - - -,,,- -,0.00,
12 5TLi4  6.60 x  0.50 1 1 1,0 2 1 1,,,1 1,7.10,
54.15,,,,,62.13,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.50 8.00,7.75 7.75 8.50 8.25,,8.00,8.25,7.95,
Transition / Linking Footwork  1.60 8.25 9.00 8.00,8.50 8.00 8.50 7.75,,8.50,8.00,8.30,
Performance / Execution  1.60 8.50 9.00 8.25,8.25 8.25 9.00 8.00,,8.00,8.25,8.40,
Choreography / Composition  1.60 8.75 8.75 8.00,8.50 8.50 9.00 8.25,,8.25,8.50,8.50,
Interpretation  1.60 8.50 8.75 8.25,8.50 8.50 9.00 8.00,,8.00,8.25,8.45,
Judges Total Program Component Score (factored),,,,,66.56,
Deductions:,,,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Dan ZHANG / Hao ZHANG CHN  5,124.57  65.77,,,58.80,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 2A+3T  7.50 -2.00 -1 -1 -1,-2 -2 -2 -2,,,-2 -2,5.50,
2 3S  4.50  0.60 2 0 0,1 0 0 1,,,1 1,5.10,
3 3LzTw1  5.00  1.40 2 2 2,2 2 2 2,,,2 1,6.40,
4 4Li4  4.00  0.60 1 1 2,1 1 1 2,,,2 1,4.60,
5 BiDs4  3.50  0.84 1 1 2,1 2 1 1,,,2 1,4.34,
6 FCCoSp4  3.50  0.40 2 1 1,0 0 1 2,,,1 1,3.90,
7 3STh  4.95 x  1.26 2 2 2,2 2 0 3,,,2 1,6.21,
8 3LoTh  5.50 x  0.42 0 1 2,0 1 0 2,,,1 0,5.92,
9 SpSq4  3.40  1.00 2 1 1,1 1 1 2,,,1 1,4.40,
10 5TLi4  6.60 x  0.50 1 1 2,1 1 0 2,,,2 0,7.10,
11 5ALi3  6.60 x  1.00 1 1 2,0 1 1 2,,,1 1,7.60,
12 PCoSp4  4.50  0.20 2 0 1,0 1 1 1,,,0 0,4.70,
59.55,,,,,65.77,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.50 7.50,7.75 7.50 7.25 7.75,,7.75,7.00,7.55,
