PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,68.66  37.18,,,31.48,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00,1.20 1 2 2 1,1 1 2 1,,1,1 - -,5.20
2 3LoTh  5.00,1.12 2 2 2 1,2 1 2 1,,2,2 - -,6.12
3 SpSq3  3.10,0.50 1 0 1 1,1 1 1 0,,2,1 - -,3.60
4 BoDs4  4.50,0.42 1 1 1 0,0 1 0 1,,0,1 - -,4.92
5 FCCoSp2  2.50,0.20 0 1 1 2,1 0 1 0,,0,0 - -,2.70
6 3LzTw2  5.00,0.42 1 1 0 0,2 1 1 1,,2,0 - -,5.42
7 4Li4  4.00,0.42 1 2 1 2,1 2 2 1,,1,1 - -,4.42
8 PCoSp4  4.50,0.30 0 1 0 0,-1 1 2 1,,0,1 - -,4.80
32.60,,,,,,37.18
Program Components,Factor,,,,,
Skating Skills,0.80 8.00 8.50 8.25 8.00,8.00 8.00 8.00 7.75,,8.25,9.00 - -,8.10
Transition / Linking Footwork,0.80 7.50 8.00 7.50 7.75,7.50 7.75 7.75 7.50,,7.50,8.00 - -,7.65
Performance / Execution,0.80 8.00 8.25 7.50 8.00,7.75 8.00 8.00 7.75,,8.00,8.25 - -,7.95
Choreography / Composition,0.80 7.75 8.25 7.75 8.00,8.00 7.75 7.75 7.75,,7.50,8.50 - -,7.80
Interpretation,0.80 7.75 8.25 7.50 8.00,7.75 8.00 8.00 7.50,,7.75,8.50 - -,7.85
Judges Total Program Component Score (factored),,,,,,31.48
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Dan ZHANG / Hao ZHANG,CHN,64.18  34.66,,,29.52,0.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw3  5.50,1.26 1 2 3 2,2 2 1 2,,2,1 - -,6.76
2 3LoTh  5.00,0.98 1 1 2 1,2 1 2 1,,2,1 - -,5.98
3 3S  4.50,0.00 0 1 0 0,0 0 0 0,,1,0 - -,4.50
4 4Li4  4.00,0.30 1 0 1 1,1 1 2 1,,1,1 - -,4.30
5 BoDs1  3.00,-0.98 0 0 1 -1,-2 -2 -1 -2,,-2,-1 - -,2.02
6 FCCoSp3  3.00,0.10 0 -1 1 0,1 0 1 0,,-1,0 - -,3.10
7 SpSq4  3.40,0.40 0 -1 0 0,0 0 1 1,,1,0 - -,3.80
8 PCoSp3  4.00,0.20 1 0 0 0,1 0 1 0,,1,1 - -,4.20
32.40,,,,,,34.66
Program Components,Factor,,,,,
Skating Skills,0.80 7.75 7.25 8.00 7.50,7.75 7.50 7.75 7.50,,8.00,8.50 - -,7.75
Transition / Linking Footwork,0.80 7.50 7.00 7.00 7.00,7.25 7.00 7.25 7.00,,7.00,7.75 - -,7.05
Performance / Execution,0.80 7.75 7.50 7.50 7.50,7.50 7.25 7.50 7.25,,7.50,8.00 - -,7.45
Choreography / Composition,0.80 7.50 7.00 7.25 7.50,7.50 7.25 7.25 7.25,,7.25,8.25 - -,7.30
Interpretation,0.80 7.50 6.75 7.25 7.50,7.50 7.25 7.50 7.25,,7.25,8.25 - -,7.35
Judges Total Program Component Score (factored),,,,,,29.52
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Rena INOUE / John BALDWIN,USA,59.18  33.70,,,26.48,1.00
"# Executed Base",GOE,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2A  3.30,0.80 1 1 1 1,1 1 0 0,,1,1 - -,4.10
2 3ATh  7.50,-2.00 -3 -3 -3 -2,-3 -3 -3 -3,,-3,-3 - -,5.50
3 SpSq3  3.10,0.20 0 1 0 1,1 0 1 0,,1,0 - -,3.30
