MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Brian JOUBERT,FRA,,80.75  42.50,,,38.25,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T+2T  10.30,-0.60 -1 -1 -1 0,,-1 -1 0 0,,1,0 - -,9.70
2 3A  7.50,1.00 0 1 1 1,,1 1 1 1,,0,1 - -,8.50
3 FSSp4  3.00,0.60 1 1 2 1,,1 0 1 2,,1,1 - -,3.60
4 3F  5.50,0.40 1 1 2 2,,-1 -1 1 0,,1,1 - -,5.90
5 CiSt3  3.10,0.50 1 1 1 1,,1 1 1 2,,2,1 - -,3.60
6 CCoSp4  3.50,0.60 0 1 2 1,,1 1 1 2,,2,1 - -,4.10
7 SlSt3  3.10,0.50 1 1 1 2,,0 1 1 1,,1,1 - -,3.60
8 CSSp4  3.00,0.50 0 1 1 1,,0 1 1 1,,1,1 - -,3.50
39.00,,,,,,,42.50
Program Components,Factor,,,,,,
Skating Skills,1.00 7.50 7.75 8.00 8.50,,8.00 7.75 8.00 7.75,,8.00,7.50 - -,7.85
Transition / Linking Footwork,1.00 7.25 7.50 7.50 7.50,,7.50 7.50 7.50 7.00,,7.50,7.00 - -,7.40
Performance / Execution,1.00 7.50 7.75 8.00 8.00,,7.75 7.50 7.75 7.50,,8.00,7.25 - -,7.65
Choreography / Composition,1.00 7.25 7.75 7.75 8.00,,8.00 7.75 7.75 7.25,,8.00,7.25 - -,7.65
Interpretation,1.00 7.50 7.75 8.00 8.25,,7.75 7.50 7.75 7.75,,7.75,7.25 - -,7.70
Judges Total Program Component Score (factored),,,,,,,38.25
Deductions:,,,,,,,0.00
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Daisuke TAKAHASHI,JPN,,79.99  41.94,,,38.05,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50,1.80 1 1 2 1,,2 2 1 2,,1,2 - -,11.30
2 3A  7.50,1.40 2 1 2 1,,1 1 2 2,,2,1 - -,8.90
3 3Lz  6.00,-0.40 0 -1 -1 -1,,0 0 0 -1,,-1,0 - -,5.60
4 CiSt3  3.10,0.50 1 1 1 0,,1 1 1 1,,1,1 - -,3.60
5 CSSp4  3.00,0.10 1 0 1 -1,,0 0 1 0,,0,0 - -,3.10
6 FSSp3  2.30,-0.06 0 0 0 0,,0 -1 0 -1,,-1,0 - -,2.24
7 SlSt3  3.10,0.80 1 0 2 1,,1 2 2 2,,1,1 - -,3.90
8 CCoSp3  3.00,0.30 0 0 1 -1,,1 0 1 0,,0,1 - -,3.30
37.50,,,,,,,41.94
Program Components,Factor,,,,,,
Skating Skills,1.00 8.00 7.50 8.25 7.50,,8.25 7.75 7.75 7.75,,7.75,7.50 - -,7.80
Transition / Linking Footwork,1.00 7.50 7.00 7.75 6.50,,7.50 7.75 7.50 7.00,,7.00,7.25 - -,7.40
Performance / Execution,1.00 7.75 7.00 8.25 7.00,,8.00 7.50 7.75 7.50,,7.75,7.25 - -,7.60
Choreography / Composition,1.00 7.50 7.00 8.00 6.50,,8.00 7.75 7.75 7.25,,7.50,7.50 - -,7.65
Interpretation,1.00 7.75 7.00 8.25 7.00,,8.25 7.50 7.50 7.50,,7.75,7.25 - -,7.60
Judges Total Program Component Score (factored),,,,,,,38.05
Deductions:,,,,,,,0.00
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Alban PREAUBERT,FRA,,71.63  38.38,,,33.25,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A  7.50,-0.20 0 0 0 0,,0 -1 0 0,,0,-1 - -,7.30
2 3F+3T  9.50,0.40 0 0 0 0,,0 1 1 1,,0,0 - -,9.90
