10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Amanda EVORA / Mark LADWIG,USA,0,47.04,28.56,20.48,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3LzTw1,,5.0,False,0.0,0,0,0,-1,0,0,1,-1,1,1,,5.0
2,SpSq4,,3.4,False,0.4,1,0,0,0,0,1,0,1,1,0,,3.8
3,3S<,<,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
4,3Li4,,4.0,False,0.0,0,0,1,0,0,1,-1,0,0,0,,4.0
5,3LoTh,,5.0,False,0.56,1,0,1,1,1,1,2,1,0,1,,5.56
6,FCCoSp2,,2.5,False,-0.3,-1,-1,0,-2,0,-1,-1,-1,-1,-1,,2.2
7,PCoSp4,,4.5,False,0.0,1,0,0,0,0,0,-1,0,0,0,,4.5
8,FiDs3,,3.2,False,0.0,1,0,1,0,0,1,-1,0,0,0,,3.2
,,,28.9,,,,,,,,,,,,,,28.56
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.75,5.75,5.5,5.5,5.25,5.25,5.5,5.25,5.25,,5.4
,Transition / Linking Footwork  ,,,,0.8,4.75,5.0,5.0,5.5,4.0,4.75,5.0,5.25,5.0,4.75,,4.95
,Performance / Execution  ,,,,0.8,5.0,5.0,5.25,5.25,4.25,5.25,5.25,5.5,4.75,5.25,,5.05
,Choreography / Composition  ,,,,0.8,5.25,5.5,5.5,5.0,4.0,4.75,4.5,5.5,5.25,5.25,,5.25
,Interpretation  ,,,,0.8,5.0,5.0,5.25,4.75,4.25,5.0,4.5,5.25,5.0,5.0,,4.95
,,,,,,,,,,,,,,,,,20.48
Deduction,Time violation,-1.0
Deduction,Falls,-1.0
