ISU GP NHK Trophy 2009,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number Segment,Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Qing PANG / Jian TONG CHN  7,132.35  69.63,,,62.72,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 2A+2A+SEQ  5.60  1.40 1 1 2 2,1 2 1,,,2 1,7.00,
2 3T  4.00  0.00 -1 0 1 0,0 0 0,,,0 0,4.00,
3 5ALi4  6.50  1.20 1 1 2 1,1 1 2,,,2 1,7.70,
4 SpSq4  3.40  1.00 1 0 2 1,1 1 1,,,1 1,4.40,
"",,,Info,,,Info
5 FCCoSp4  3.50  0.20 0 -1 1 1,0 0 1,,,1 0,3.70,
6 3LzTw1  5.50 x  1.26 2 1 1 2,2 2 2,,,2 2,6.76,
7 PCoSp4  4.50  0.40 1 1 1 2,1 0 0,,,1 1,4.90,
8 3STh  4.95 x  1.64 3 2 3 2,3 2 2,,,2 3,6.59,
9 3LoTh  5.50 x  1.38 2 1 3 3,2 0 2,,,2 2,6.88,
10 BoDs4  4.50  0.70 0 0 2 2,1 1 1,,,1 1,5.20,
11 5TLi4  6.60 x  0.70 1 1 1 2,2 2 2,,,1 1,7.30,
12 4Li4  4.40 x  0.80 1 0 2 2,2 1 2,,,1 2,5.20,
58.95,,,,,69.63,
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 7.75 8.00 7.75,8.00 8.00 7.75,,7.75,7.75,7.80,
Transition / Linking Footwork  1.60 7.25 7.25 7.75 7.75,7.50 8.00 7.50,,8.25,7.50,7.55,
Performance / Execution  1.60 8.00 7.50 8.50 8.00,8.25 8.25 8.00,,8.25,7.75,8.00,
Choreography / Composition  1.60 7.50 7.25 8.25 8.25,8.00 8.25 7.75,,8.25,7.75,7.90,
Interpretation  1.60 7.75 7.50 8.50 8.00,8.00 8.25 7.75,,7.75,8.00,7.95,
Judges Total Program Component Score (factored),,,,,62.72,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number Segment,Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Yuko KAVAGUTI / Alexander SMIRNOV RUS  8,124.15  65.39,,,61.76,-3.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 4STh  8.00 -3.00 -3 -3 -3 -3,-3 -3 -3,,,-3 -3,5.00,
2 3T  4.00  1.00 1 1 1 1,1 1 1,,,1 1,5.00,
3 3LzTw1  5.00  0.56 -1 1 2 2,0 1 1,,,0 1,5.56,
4 FCCoSp4  3.50  0.30 1 -1 1 0,1 1 1,,,0 1,3.80,
5 SpSq3  3.10  0.70 2 1 2 1,2 2 1,,,2 1,3.80,
6 2A+2A+SEQ  6.16 x  0.20 0 0 0 0,0 1 0,,,0 1,6.36,
7 3LoTh  5.50 x  0.84 1 1 1 1,1 2 0,,,1 2,6.34,
8 3Li4  4.40 x  0.80 1 2 2 2,1 2 1,,,1 2,5.20,
9 5ALi4  7.15 x  1.00 1 1 1 2,1 1 1,,,1 1,8.15,
10 5SLi4  6.60 x  0.80 2 1 2 2,1 2 2,,,1 2,7.40,
11 FiDs4  3.50  0.28 2 0 1 1,-1 1 1,,,-1 1,3.78,
12 PCoSp4  4.50  0.50 1 1 2 0,1 2 0,,,1 2,5.00,
61.41,,,,,65.39,
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.25 8.00 8.00,7.50 8.00 8.00,,7.75,8.25,7.85,
