ISU GP Skate America,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY GER,,116.69  55.81,,60.88,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+3T+SEQ  6.40  0.60 1 1 1,0,1 0 0 1,1,1 - -,,7.00,
2 3LzTw2  5.50  0.56 0 1 -1,0,1 1 Info 1 1,1,1 - -,,6.06,Info
3 3S  4.50 -1.00 -1 -2 -2,-1,0 -1 -2 -1,-1,-1 - -,,3.50,
4 FCCoSp4  3.50 -0.06 0 -2 -1,0,0 0 -2 -1,0,-1 - -,,3.44,
5 5ALi4  6.50  1.00 1 2 1,2,1 1 0 1,1,1 - -,,7.50,
6 CiSt3  3.30  0.20 0 -1 0,1,1 1 0 0,0,0 - -,,3.50,
7 3FTh  6.05 x  0.14 1 2 1,-1,0 0 1 0,0,0 - -,,6.19,
8 BoDs4  4.50  0.70 1 1 1,0,1 1 1 1,1,1 - -,,5.20,
9 5TLi4  6.60 x  0.60 1 0 1,2,1 1 1 0,1,2 - -,,7.20,
10 1STh  1.32 x  0.00 0 1 0,0,0 -3 0 -1,0,0 - -,,1.32,
11 3Li4  4.40 x  0.50 1 0 1,1,1 1 0 1,1,2 - -,,4.90,
12 PCoSp  0.00  0.00 - - -,-,- - - -,-,- - -,,0.00,
52.57,,,,,,55.81,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.75 7.75 7.75,7.75,7.50 7.50 7.25 7.50,7.75,8.00 - -,,7.65,
Transition / Linking Footwork  1.60 7.25 7.25 7.50,7.75,7.75 7.25 7.00 7.25,7.50,7.75 - -,,7.50,
Performance / Execution  1.60 7.50 7.50 7.50,7.50,7.75 7.25 7.25 7.25,7.75,7.75 - -,,7.55,
Choreography / Composition  1.60 7.75 8.00 7.50,7.75,7.50 7.25 7.50 7.50,8.00,8.00 - -,,7.70,
Interpretation  1.60 7.50 7.50 7.75,7.50,7.50 7.75 7.75 7.50,7.75,7.75 - -,,7.65,
Judges Total Program Component Score (factored),,,,,,60.88,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Keauna McLAUGHLIN / Rockne BRUBAKER USA,,115.67  59.99,,55.68,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw2  5.50  0.98 1 2 0,1,1 2 2 2,1,2 - -,,6.48,
2 3S+2T  5.80  1.00 1 1 1,1,1 1 1 1,1,1 - -,,6.80,
3 3Li4  4.00  0.50 1 2 1,1,1 1 1 2,1,1 - -,,4.50,
4 2T  1.30 -0.68 -2 -3 -2,-2,-3 -2 -1 -3,-3,-2 - -,,0.62,
5 3STh  4.50  0.70 1 1 1,0,2 1 1 2,1,1 - -,,5.20,
6 CCoSp4  3.50 -0.12 -1 -1 0,0,1 0 0 -1,-1,-1 - -,,3.38,
7 BoDs1  3.00 -0.14 -1 -1 0,0,-1 0 0 0,0,0 - -,,2.86,
8 5TLi4  6.60 x  0.50 1 1 1,1,1 1 1 0,2,0 - -,,7.10,
9 PCoSp4  4.50  0.40 1 1 1,0,0 1 1 0,1,1 - -,,4.90,
10 SlSt3  3.30  0.30 1 1 1,0,0 0 1 1,1,1 - -,,3.60,
11 3LoTh  5.50 x  0.70 1 2 1,1,1 1 1 1,1,1 - -,,6.20,
12 5ALi4  7.15 x  1.20 1 2 1,1,1 1 2 1,2,1 - -,,8.35,
54.65,,,,,,59.99,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 7.75 6.50,6.50,6.75 7.25 7.00 7.25,7.25,7.25 - -,,7.10,
Transition / Linking Footwork  1.60 6.50 6.25 6.50,6.50,6.50 7.00 6.75 6.75,6.00,6.75 - -,,6.60,
