ISU GP Skate America,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Maria MUKHORTOVA / Maxim TRANKOV,RUS,66.32  37.40,,,28.92,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw2  5.50  0.70,1 1 1 1,1 1 1 1,,1,1 - -,6.20,
2 3T  4.00  0.00,0 0 0 0,1 0 0 In0fo,,0,0 - -,4.00,Info
3 SpSq4  3.40  1.20,1 0 1 1,1 1 2 2,,0,0 - -,4.60,
4 3LoTh  5.00  0.70,1 1 1 1,1 1 1 1,,1,0 - -,5.70,
5 FiDs4  3.50  0.70,0 1 1 2,1 2 1 1,,0,0 - -,4.20,
6 FCCoSp3  3.00  0.40,1 1 1 1,0 1 1 0,,0,1 - -,3.40,
7 3Li4  4.00  0.50,1 1 1 1,0 1 1 1,,0,0 - -,4.50,
8 PCoSp4  4.50  0.30,1 0 1 0,0 1 1 2,,1,0 - -,4.80,
32.90,,,,,,37.40,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.25 7.75 7.50 7.50,7.25 7.00 7.00 6.50,,6.00,6.50 - -,7.30,
Transition / Linking Footwork  0.80,7.00 7.25 7.25 7.25,7.00 7.00 6.75 5.75,,5.75,5.75 - -,7.05,
Performance / Execution  0.80,7.25 7.50 7.50 7.50,7.25 7.25 7.50 6.75,,6.25,6.25 - -,7.40,
Choreography / Composition  0.80,7.00 7.50 7.50 7.25,7.00 7.25 7.00 6.75,,6.00,6.00 - -,7.15,
Interpretation  0.80,7.25 7.25 7.75 7.50,7.00 7.25 7.25 5.75,,6.25,5.75 - -,7.25,
Judges Total Program Component Score (factored),,,,,,28.92,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Aliona SAVCHENKO / Robin SZOLKOWY,GER,64.08  34.16,,,29.92,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2T  1.30 -0.60,-2 -2 -2 -3,-1 -1 -2 -2,,1,0 - -,0.70,
2 3FTh  5.50  0.70,1 1 1 1,1 1 2 0,,1,0 - -,6.20,
3 3LzTw2  5.50  0.70,1 1 1 1,-1 -1 1 1,,0,1 - -,6.20,
4 FCCoSp4  3.50 -0.18,-1 0 -1 0,-1 0 1 -1,,-1,-1 - -,3.32,
5 3Li4  4.00  0.60,2 1 2 1,1 2 1 0,,1,1 - -,4.60,
6 SpSq4  3.40  1.00,1 1 1 1,0 2 1 2,,1,1 - -,4.40,
7 FiDs4  3.50  0.84,1 1 1 1,2 2 1 2,,0,0 - -,4.34,
8 PCoSp3  4.00  0.40,1 1 1 0,1 1 1 0,,0,1 - -,4.40,
30.70,,,,,,34.16,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.75 7.75 7.50 7.75,7.50 7.75 7.75 7.00,,6.50,7.75 - -,7.65,
Transition / Linking Footwork  0.80,7.25 7.50 7.25 7.50,7.00 7.50 7.25 6.75,,6.25,7.00 - -,7.25,
Performance / Execution  0.80,7.50 7.50 7.25 7.50,7.50 7.75 7.50 7.75,,6.75,7.50 - -,7.50,
Choreography / Composition  0.80,7.50 7.75 7.75 7.50,7.50 7.75 7.25 7.00,,7.00,7.25 - -,7.50,
Interpretation  0.80,7.50 7.75 7.50 7.75,7.25 7.75 7.50 6.25,,6.50,7.75 - -,7.50,
Judges Total Program Component Score (factored),,,,,,29.92,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
ISU GP Skate America,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
