ISU GP Skate America,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
1 Takahiko KOZUKA JPN,,146.08  75.88,71.20,,1.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  4.00 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3 - - -,,1.00,
2 3A+3T  12.20  0.80 0 1 0,1,1 In0fo 1 1,1 - - -,,13.00,Info
3 3F  5.50  1.20 2 0 0,1,1 1 0 2,2 - - -,,6.70,
4 FSSp4  3.00  0.80 2 1 1,1,1 2 1 2,2 - - -,,3.80,
5 SlSt2  2.30  0.30 1 0 1,0,0 1 0 1,1 - - -,,2.60,
6 FCCoSp3  3.00  0.20 0 0 1,1,0 1 1 0,1 - - -,,3.20,
7 3S+2T  6.38 x  1.00 1 1 1,1,1 1 1 1,2 - - -,,7.38,
8 CiSt3  3.30  0.30 1 0 0,1,0 1 0 1,1 - - -,,3.60,
9 3Lz+2T+2Lo  9.68 x -0.40 0 -1 -1,0,0 -1 0 -1,0 - - -,,9.28,
10 3Lo  5.50 x  0.80 1 0 1,1,0 1 1 1,1 - - -,,6.30,
11 3A  9.02 x -1.40 0 -1 -1,-1,-1 -1 -1 -2,-1 - - -,,7.62,
12 3Lz  6.60 x  0.80 1 0 0,0,0 1 1 1,1 - - -,,7.40,
13 CCoSp4  3.50  0.50 2 1 2,2,1 1 1 1,1 - - -,,4.00,
73.98,,,,,75.88,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.25 7.25,7.25,7.25 7.50 7.00 7.75,7.50 - - -,,7.45,
Transition / Linking Footwork  2.00 7.25 6.50 7.00,7.00,6.75 7.75 6.50 6.50,7.25 - - -,,6.85,
Performance / Execution  2.00 7.50 7.00 7.25,7.00,7.25 7.50 6.50 7.25,7.00 - - -,,7.20,
Choreography / Composition  2.00 7.75 7.00 7.25,7.25,7.25 7.50 6.50 6.75,7.25 - - -,,7.15,
Interpretation  2.00 7.00 6.75 7.25,7.25,7.00 7.50 6.25 6.50,7.50 - - -,,6.95,
Judges Total Program Component Score (factored),,,,,71.20,
Deductions: Falls: -1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
2 Johnny WEIR USA,,144.65  69.75,74.90,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  4.00 -2.60 -3 -2 -2,-2,-2 -3 -3 -2,-3 - - -,,1.40,
2 3A+2T  9.50  0.40 1 0 1,0,1 0 0 1,0 - - -,,9.90,
3 3A  8.20  0.00 1 0 0,0,0 0 0 -1,0 - - -,,8.20,
4 3S  4.50  0.40 1 0 1,0,0 1 0 0,1 - - -,,4.90,
5 CiSt2  2.30  0.50 1 1 1,2,1 1 1 1,0 - - -,,2.80,
6 CSSp3  2.60  0.20 -1 0 1,0,1 1 0 1,0 - - -,,2.80,
7 3Lo  5.50 x  0.00 0 0 1,0,0 0 0 0,0 - - -,,5.50,
8 3Lz+3T  11.00 x  1.00 1 1 1,1,1 1 1 2,1 - - -,,12.00,
9 3Lz  6.60 x  0.60 1 0 2,0,0 1 0 1,1 - - -,,7.20,
10 3F !  6.05 x -1.00 0 0 -2,0,-1 -1 -1 -2,-2 - - -,,5.05,
11 FSSp3  2.60  0.50 1 1 1,1,1 1 1 1,1 - - -,,3.10,
12 SlSt3  3.30  0.60 2 1 2,1,2 1 1 1,1 - - -,,3.90,
13 CCoSp3  3.00  0.00 0 0 0,0,1 0 0 0,0 - - -,,3.00,
69.15,,,,,69.75,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.50 8.00,7.25,7.75 7.50 7.25 7.50,7.75 - - -,,7.60,
Transition / Linking Footwork  2.00 7.50 7.25 7.75,7.00,7.50 7.25 6.75 7.00,7.00 - - -,,7.20,
