ISU GP Skate America,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Yu-Na KIM KOR,,123.95  63.95,,60.00,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+3T  9.50  1.00 1 1 1,1,2 1 2 0,0,1 - -,,10.50,
2 1Lo  0.50  0.00 0 0 0,0,0 0 Info 0 0,0,0 - -,,0.50,Info
3 3Lz+2T+2Lo  8.80  0.80 1 1 1,1,1 1 1 0,0,0 - -,,9.60,
4 FSSp3  2.60 -0.06 -1 0 -1,0,0 0 1 0,0,0 - -,,2.54,
5 2A+3T  8.25 x  1.00 1 2 2,1,1 1 1 1,1,1 - -,,9.25,
6 3Lz  6.60 x  1.00 1 1 1,1,1 2 1 0,1,1 - -,,7.60,
7 SpSq4  3.40  1.20 1 1 2,1,2 1 1 1,1,1 - -,,4.60,
8 3S  4.95 x  0.20 0 0 1,0,0 1 1 0,0,0 - -,,5.15,
9 FCoSp3  2.50 -0.24 -2 0 -1,0,0 -1 0 0,-1,-1 - -,,2.26,
10 SlSt3  3.30  0.50 1 1 1,1,1 1 1 2,1,1 - -,,3.80,
11 2A  3.85 x  0.40 0 0 1,0,0 1 1 1,0,1 - -,,4.25,
12 CCoSp4  3.50  0.40 0 0 1,1,1 1 1 1,0,1 - -,,3.90,
57.75,,,,,,63.95,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.50 7.75 7.50,7.50,7.75 8.00 7.75 8.25,7.50,7.75 - -,,7.60,
Transition / Linking Footwork  1.60 7.00 7.50 7.00,7.00,7.25 7.25 7.25 7.50,6.75,7.50 - -,,7.10,
Performance / Execution  1.60 7.50 7.75 7.75,7.75,7.75 7.75 7.25 7.75,7.50,7.75 - -,,7.70,
Choreography / Composition  1.60 7.75 8.00 7.50,7.75,7.25 7.75 7.50 8.00,7.25,7.75 - -,,7.60,
Interpretation  1.60 7.75 8.00 7.25,7.50,7.25 8.25 7.50 8.00,7.00,7.75 - -,,7.50,
Judges Total Program Component Score (factored),,,,,,60.00,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Yukari NAKANO JPN,,115.07  58.43,,56.64,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50  0.20 0 1 1,0,0 0 0 1,0,1 - -,,3.70,
2 3F+2T  6.80  0.00 0 0 -1,0,1 0 0 1,0,0 - -,,6.80,
3 3S+2T  5.80  0.20 1 0 0,0,1 0 0 1,0,0 - -,,6.00,
4 2A  3.50  0.40 1 0 0,0,1 1 0 1,0,0 - -,,3.90,
5 CCoSp3  3.00  0.90 2 2 2,1,1 2 2 2,2,2 - -,,3.90,
6 3Lz  6.00 -0.40 -1 0 -1,-1,0 0 -1 1,0,0 - -,,5.60,
7 SpSq4  3.40  1.00 0 1 1,1,1 1 0 1,1,1 - -,,4.40,
8 3F  6.05 x  0.00 -1 1 -1,0,1 1 1 0,0,0 - -,,6.05,
9 FCoSp3  2.50  0.50 1 1 2,1,1 1 1 1,1,1 - -,,3.00,
10 SlSt2  2.30  0.40 1 1 1,0,1 0 1 2,1,1 - -,,2.70,
11 3T+2T+2Lo  7.48 x  0.80 0 0 1,1,1 1 0 1,0,1 - -,,8.28,
12 FCSp4  3.20  0.90 1 1 2,2,2 1 2 2,2,3 - -,,4.10,
53.53,,,,,,58.43,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.00 7.00 7.50,6.75,7.00 7.50 7.50 7.50,7.50,7.50 - -,,7.30,
Transition / Linking Footwork  1.60 6.00 6.75 7.00,6.25,6.75 6.25 7.00 7.25,6.50,7.50 - -,,6.55,
Performance / Execution  1.60 7.00 7.25 7.25,6.50,7.25 7.25 7.25 8.00,7.50,7.75 - -,,7.25,
Choreography / Composition  1.60 6.75 7.25 7.50,6.75,7.50 7.00 7.50 7.75,7.00,7.75 - -,,7.15,
Interpretation  1.60 7.25 7.00 7.00,6.75,7.25 7.00 7.50 8.00,7.25,8.00 - -,,7.15,
Judges Total Program Component Score (factored),,,,,,56.64,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU GP Skate America,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
3 Miki ANDO JPN,,110.62  58.46,52.16,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3T+3Lo< <  5.50 -1.20 -1 -1 -2,0,-1 -1 -1 -1,-1 -2 - -,,4.30,
2 3S  4.50  0.20 0 0 1,0,1 0 Info 0 0,0 -1 - -,,4.70,Info
3 3F  5.50  0.20 0 0 -1,1,1 0 0 2,0 0 - -,,5.70,
4 CCSp1  2.00 -0.06 0 0 0,0,-1 0 0 0,0 -1 - -,,1.94,
5 SpSq2  2.30 -0.18 -1 -1 -1,-1,0 0 0 0,0 -1 - -,,2.12,
6 3Lz+2Lo  8.25 x  0.40 0 1 0,1,1 1 1 0,0 0 - -,,8.65,
7 3Lz  6.60 x  0.40 0 1 1,0,0 1 0 2,1 0 - -,,7.00,
8 3Lo  5.50 x  0.60 1 0 2,1,1 0 1 1,0 0 - -,,6.10,
9 2A+2Lo+2Lo  7.15 x  0.40 1 0 1,1,0 0 0 1,0 0 - -,,7.55,
10 CCoSp3  3.00  0.20 1 0 1,1,0 0 1 1,0 0 - -,,3.20,
11 SlSt3  3.30  0.40 0 1 1,1,1 1 1 1,1 0 - -,,3.70,
12 FCCoSp3  3.00  0.50 1 1 2,1,1 1 1 1,1 1 - -,,3.50,
56.60,,,,,58.46,
Program Components Factor,,,,,,
Skating Skills  1.60 6.25 7.50 6.50,7.00,7.00 7.75 7.50 7.50,7.50 6.75 - -,,6.95,
Transition / Linking Footwork  1.60 5.50 7.00 4.00,6.75,5.75 6.00 6.25 7.00,6.00 5.00 - -,,5.65,
Performance / Execution  1.60 6.00 7.25 6.75,7.00,7.25 7.50 7.25 7.25,6.75 6.50 - -,,6.85,
Choreography / Composition  1.60 6.00 7.75 6.25,7.25,6.50 7.00 7.00 7.75,7.00 6.25 - -,,6.60,
Interpretation  1.60 5.50 7.50 6.00,7.00,6.75 7.00 6.75 7.50,6.50 6.50 - -,,6.55,
Judges Total Program Component Score (factored),,,,,52.16,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
4 Rachael FLATT USA,,100.81  50.65,50.16,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 2A  3.50  0.20 0 0 0,0,1 1 0 1,0 0 - -,,3.70,
2 3F+2Lo  7.00  0.20 0 1 0,1,0 0 0 0,1 0 - -,,7.20,
3 3Lz !  6.00 -1.00 -1 0 0,-1,-1 -1 -1 -2,-1 -2 - -,,5.00,
4 FCSp4  3.20  0.00 0 1 0,0,0 0 0 0,0 0 - -,,3.20,
5 SpSq4  3.40  1.00 0 0 2,1,1 1 0 1,1 1 - -,,4.40,
6 3F+2T  7.48 x  0.00 0 0 0,0,0 0 0 1,0 0 - -,,7.48,
7 CCSp4  3.20 -0.12 -2 0 0,0,0 -1 0 0,0 -1 - -,,3.08,
8 2S  1.43 x -0.60 -2 -2 -2,-2,-2 -2 -3 -2,-2 -2 - -,,0.83,
9 1A  0.88 x  0.00 0 0 0,0,-1 0 0 0,0 0 - -,,0.88,
10 3Lz+2T+2Lo !  9.68 x -1.20 -2 0 0,-1,-1 -1 0 -1,-1 -2 - -,,8.48,
11 SlSt2  2.30  0.30 0 0 1,0,1 1 0 1,1 0 - -,,2.60,
12 CCoSp4  3.50  0.30 -1 1 1,1,0 0 -1 -1,1 1 - -,,3.80,
51.57,,,,,50.65,
Program Components Factor,,,,,,
Skating Skills  1.60 5.75 6.25 6.25,6.25,6.25 6.75 6.75 7.00,7.00 6.50 - -,,6.40,
Transition / Linking Footwork  1.60 5.25 6.00 6.00,6.00,6.00 5.75 6.75 6.75,6.75 6.25 - -,,6.00,
Performance / Execution  1.60 5.25 6.00 6.25,6.25,6.25 6.00 6.50 7.25,6.75 6.25 - -,,6.20,
Choreography / Composition  1.60 5.50 6.25 7.00,6.50,5.75 6.50 6.50 6.75,7.25 6.50 - -,,6.45,
Interpretation  1.60 5.00 5.75 6.50,6.50,5.50 6.25 6.00 7.00,6.75 6.75 - -,,6.30,
Judges Total Program Component Score (factored),,,,,50.16,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU GP Skate America,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
