ISU GP Skate America,,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Tanith BELBIN / Benjamin AGOSTO,USA,91.43  46.00,,,45.43,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 CiSt2  6.40  0.80,1 1 1 1,0 0 2 1,,1,- - -,7.20,
2 STw4  4.70  0.60,1 2 2 1,1 1 1 Info 1,,2,- - -,5.30,Info
3 RoLi4  4.00  0.70,2 2 1 1,1 1 1 2,,2,- - -,4.70,
4 SeLi4  6.40  0.90,1 1 2 2,3 2 2 2,,1,- - -,7.30,
5 CoSp4  4.70  0.50,1 2 1 1,1 0 1 1,,1,- - -,5.20,
6 SlLi4  4.00  0.50,1 1 2 1,1 1 1 1,,1,- - -,4.50,
7 CuLi4  4.00  0.60,1 1 2 1,2 1 1 1,,1,- - -,4.60,
8 DiSt3  6.20  1.00,1 2 1 1,0 1 1 1,,1,- - -,7.20,
9 Li+TRANS  0.00  0.00,- - - -,- - - -,,-,- - -,0.00,
40.40,,,,,,46.00,
Program Components Factor,,,,,,,
Skating Skills  1.25,7.25 7.50 7.50 7.75,7.75 7.50 7.50 8.00,,8.00,- - -,7.70,
Linking Footwork / Movement  1.75,7.25 7.50 7.00 7.25,7.50 7.50 7.25 7.50,,7.75,- - -,7.40,
Performance  1.00,7.50 7.50 7.50 7.50,7.50 7.75 7.50 7.75,,8.00,- - -,7.60,
Choreography  1.00,7.00 7.75 7.25 7.75,7.75 7.50 7.25 8.00,,8.25,- - -,7.65,
Interpretation / Timing  1.00,7.50 7.75 7.50 7.75,7.75 7.50 7.25 7.50,,8.00,- - -,7.60,
Judges Total Program Component Score (factored),,,,,,45.43,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,90.89  44.90,,,46.99,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 CoSp4  4.70  0.60,1 1 2 1,1 1 2 2,,1,- - -,5.30,
2 SlLi4  4.00  1.00,2 2 3 2,2 2 2 1,,2,- - -,5.00,
3 CiSt2  6.40  1.20,2 1 2 1,0 1 2 1,,1,- - -,7.60,
4 RoLi4  4.00  0.90,2 2 2 2,2 2 2 1,,1,- - -,4.90,
5 STw3  4.00  0.00,0 1 2 0,0 0 2 0,,-1,- - -,4.00,
6 CuLi4  4.00  0.70,2 2 2 1,2 1 2 1,,1,- - -,4.70,
7 CuLi4+RoLi2  5.60  0.80,1 2 2 2,2 1 2 2,,1,- - -,6.40,
8 MiSt3  6.20  0.80,1 1 2 1,0 1 1 1,,0,- - -,7.00,
9 Li+TRANS  0.00  0.00,- - - -,- - - -,,-,- - -,0.00,
38.90,,,,,,44.90,
Program Components Factor,,,,,,,
Skating Skills  1.25,7.50 8.00 8.50 8.00,7.75 8.00 8.25 8.00,,8.00,- - -,7.95,
Linking Footwork / Movement  1.75,7.75 8.00 7.75 7.50,7.50 7.75 8.00 7.50,,7.00,- - -,7.60,
Performance  1.00,8.00 7.75 8.25 7.75,7.50 8.00 8.50 7.75,,8.00,- - -,7.90,
Choreography  1.00,8.00 7.75 8.00 8.00,7.50 8.00 8.50 7.75,,7.75,- - -,7.90,
Interpretation / Timing  1.00,8.00 8.00 8.25 8.00,7.75 8.00 8.50 8.00,,7.75,- - -,7.95,
Judges Total Program Component Score (factored),,,,,,46.99,
Deductions: Extended lifts:,-1.00,,,,,-1.00,
"*  Invalid element",,,,,,,
ISU GP Skate America,,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Emily SAMUELSON / Evan BATES,USA,88.84  47.40,,,41.44,0.00,
