ISU GP Skate America,,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Yu-Na KIM,KOR,69.50  39.06,,,30.44,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+3T  9.50  1.20,2 2 0 2,2 1 1 1,,1,1 - -,10.70,
2 3Lz  6.00  1.60,2 3 0 2,1 2 2 In2fo,,1,1 - -,7.60,Info
3 SpSq4  3.40  1.80,2 2 2 2,1 1 2 2,,2,1 - -,5.20,
4 2A  3.50 -1.44,-2 -2 -2 -1,-2 -1 0 -2,,-1,-2 - -,2.06,
5 LSp3  2.40  0.60,1 2 2 1,1 1 1 1,,1,0 - -,3.00,
6 FSSp3  2.60  0.20,1 1 0 0,0 1 0 0,,0,0 - -,2.80,
7 SlSt3  3.30  0.80,2 2 2 1,1 1 2 2,,1,1 - -,4.10,
8 CCoSp3  3.00  0.60,2 1 1 1,1 1 1 2,,0,1 - -,3.60,
33.70,,,,,,39.06,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.75 7.75 7.75 7.25,7.25 8.25 8.00 7.75,,7.50,7.50 - -,7.70,
Transition / Linking Footwork  0.80,6.75 7.50 7.00 6.75,7.00 7.75 7.50 7.50,,7.00,7.00 - -,7.20,
Performance / Execution  0.80,7.75 7.75 7.75 7.25,7.25 7.75 7.25 8.00,,7.50,7.50 - -,7.70,
Choreography / Composition  0.80,8.00 7.75 7.50 7.25,7.25 8.00 7.75 7.75,,7.50,7.75 - -,7.75,
Interpretation  0.80,7.75 7.50 7.50 7.50,7.50 8.25 7.50 8.00,,7.00,7.75 - -,7.70,
Judges Total Program Component Score (factored),,,,,,30.44,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Miki ANDO,JPN,57.80  30.28,,,28.52,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+3Lo< <  7.50 -1.00,-2 -1 -1 -1,-1 -1 -1 -1,,-1,-1 - -,6.50,
2 3F  5.50 -1.00,-1 -1 -1 1,0 0 1 -2,,0,-2 - -,4.50,
3 2A  3.50  1.00,1 1 0 1,1 1 1 1,,1,1 - -,4.50,
4 SpSq4  3.40  1.00,1 1 1 1,0 1 0 1,,1,1 - -,4.40,
5 FSSp3  2.60  0.40,1 0 1 1,1 0 1 1,,1,1 - -,3.00,
6 SlSt3  3.30 -1.82,-2 -3 -3 -2,-3 -3 -2 -3,,-2,-2 - -,1.48,
7 CCoSp4  3.50  0.90,2 2 2 2,1 2 1 1,,1,2 - -,4.40,
8 LSp1  1.50  0.00,0 0 0 0,0 0 0 0,,0,0 - -,1.50,
30.80,,,,,,30.28,
Program Components Factor,,,,,,,
Skating Skills  0.80,6.25 7.50 6.75 7.25,6.75 8.00 7.50 7.50,,7.50,7.25 - -,7.30,
Transition / Linking Footwork  0.80,3.75 7.00 6.50 6.50,6.75 7.25 6.75 7.00,,7.00,6.75 - -,6.85,
Performance / Execution  0.80,6.75 7.00 7.00 7.00,7.00 7.00 7.00 7.25,,6.50,7.00 - -,6.95,
Choreography / Composition  0.80,6.00 7.25 7.25 6.75,7.50 7.75 6.75 7.25,,7.25,7.50 - -,7.30,
Interpretation  0.80,6.00 7.25 7.00 7.00,7.25 8.00 6.50 7.50,,7.00,7.50 - -,7.25,
Judges Total Program Component Score (factored),,,,,,28.52,
Deductions: Falls:,-1.00,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
ISU GP Skate America,,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
