ISU GP Skate America 2010,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Nobunari ODA JPN  12,79.28  39.60,,,39.68,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3A  8.50  1.86 2 2 2,1 2 2 2,,,2 1,10.36,
2 3F+3T  9.40  1.20 2 1 3,1 2 2 2,,,2 1,10.60,
3 FCSp4  3.20  0.43 1 1 2,0 1 1 1,,,1 0,3.63,
4 3Lz e  6.00 -1.00 -2 -2 -2,-2 0 -1 -1,,,-1 -1,5.00,
"",Info,,,,,Info
5 CCoSp3  3.00  0.50 1 1 1,1 1 1 1,,,1 0,3.50,
6 SlSt2  2.30  0.57 1 1 2,0 1 2 2,,,1 0,2.87,
7 CSSp4  3.00  0.64 1 2 2,0 2 1 2,,,1 0,3.64,
35.40,,,,,39.60,
Program Components Factor,,,,,,
Skating Skills  1.00 8.50 8.00 8.50,7.75 8.75 8.25 8.75,,,8.50 7.25,8.32,
Transition / Linking Footwork  1.00 7.25 7.00 7.75,6.75 8.25 7.50 8.00,,,7.75 7.50,7.54,
Performance / Execution  1.00 7.75 8.00 8.25,7.25 8.50 8.00 8.25,,,8.00 7.75,8.00,
Choreography / Composition  1.00 7.75 8.00 8.00,7.25 8.25 8.00 8.00,,,8.50 7.50,7.93,
Interpretation  1.00 7.75 7.50 7.75,7.50 8.50 8.25 8.00,,,8.25 7.75,7.89,
Judges Total Program Component Score (factored),,,,,39.68,
Deductions:,,,,,0.00,
e  Jump take off with wrong edge,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Daisuke TAKAHASHI JPN  11,78.12  35.69,,,42.43,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3F+3T  9.40  1.30 2 2 1,2 2 3 1,,,2 2,10.70,
2 3A< <  6.00 -1.57 -2 -2 -2,-1 -1 -2 -2,,,0 -1,4.43,
3 FUSp1  1.70  0.21 1 0 0,1 0 2 0,,,0 1,1.91,
4 3Lz  6.00 -1.20 -1 -2 -2,-2 -2 -1 -2,,,-1 -2,4.80,
5 CSSp3  2.60  0.50 1 0 1,2 0 2 1,,,1 1,3.10,
6 SlSt4  3.90  2.71 3 3 2,3 3 3 2,,,2 3,6.61,
7 CCoSp4  3.50  0.64 1 1 1,1 2 2 1,,,1 2,4.14,
33.10,,,,,35.69,
Program Components Factor,,,,,,
Skating Skills  1.00 8.50 8.25 7.75,8.75 9.00 8.50 8.25,,,8.75 8.00,8.43,
Transition / Linking Footwork  1.00 8.25 8.00 7.75,8.50 8.75 8.25 8.25,,,8.00 7.75,8.14,
Performance / Execution  1.00 8.75 8.50 8.50,8.75 9.00 9.00 8.50,,,8.25 7.50,8.61,
Choreography / Composition  1.00 9.00 8.75 8.00,8.75 8.75 8.50 8.50,,,8.75 7.75,8.57,
Interpretation  1.00 9.00 9.00 8.50,8.50 9.25 8.75 8.50,,,8.50 8.00,8.68,
Judges Total Program Component Score (factored),,,,,42.43,
Deductions:,,,,,0.00,
"<  Under-rotated jump",,,,,,
ISU GP Skate America 2010,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
3 Adam RIPPON USA  9,73.94  36.83,,,37.11,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
