ISU GP Skate America 2010,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,Total,Total,,Total,Total,
Rank Name Nation Number,Segment,Element,,Program  Component,Deductions,
"",Score,Score,,Score (factored),,
1 Daisuke TAKAHASHI JPN  11,148.95,64.95,,85.00,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3T  4.10 -1.40 -2 -2 -2,-1,-2 -2 -2,,-2 -2,2.70,
2 3A  8.50 -0.43 0 -1 0,0,0 -1 -1,,0 -1,8.07,
3 3Lo  5.10  0.70 1 2 0,1,1 1 1,,1 1,5.80,
4 FCCoSp2  2.50  0.43 1 2 0,1,1 1 0,,1 1,2.93,
"",,Info,,,,Info
5 CiSt4  3.90  2.43 3 3 2,3,2 3 2,,2 2,6.33,
6 3F+2T  7.37 x -0.30 -1 0 0,0,0 -1 -1,,0 -1,7.07,
7 3A<<+SEQ <<  2.90 x -1.50 -3 -3 -3,-3,-3 -3 -3,,-3 -3,1.40,
8 FUSp2  2.00  0.43 0 1 0,1,1 1 1,,1 1,2.43,
9 3Lz e  6.60 x  0.10 -1 0 0,1,-1 1 1,,0 0,6.70,
10 3S  4.62 x  0.30 1 0 0,1,1 0 0,,0 1,4.92,
11 3Lz+2T e  8.14 x -0.40 -1 -1 0,0,-1 -1 0,,0 -1,7.74,
12 ChSt1  2.00  2.43 3 3 2,3,2 2 3,,2 2,4.43,
13 CCoSp4  3.50  0.93 1 2 2,2,2 2 2,,1 2,4.43,
61.23,,,,,64.95,
Program Components Factor,,,,,,
Skating Skills  2.00 8.00 8.50 8.50,8.50 8.75,8.50 8.50,,8.75 8.00,8.46,
Transition / Linking Footwork  2.00 8.25 8.25 7.75,8.50 8.50,8.25 8.50,,8.50 7.50,8.29,
Performance / Execution  2.00 8.50 8.75 8.50,8.50 8.75,8.00 8.25,,8.75 8.00,8.46,
Choreography / Composition  2.00 9.00 9.00 8.25,8.50 9.00,8.25 8.50,,8.75 7.75,8.61,
Interpretation  2.00 9.00 9.00 8.25,8.25 8.75,8.50 9.00,,9.00 8.00,8.68,
Judges Total Program Component Score (factored),,,,,85.00,
Deductions: Falls: -1.00,,,,,-1.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
Starting,Total,Total,,Total,Total,
Rank Name Nation Number,Segment,Element,,Program  Component,Deductions,
"",Score,Score,,Score (factored),,
2 Nobunari ODA JPN  12,146.81,68.17,,79.64,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 4T  10.30 -3.00 -3 -3 -3,-3,-3 -3 -3,,-3 -3,7.30,
2 3A  8.50  0.43 1 0 1,1,0 1 0,,0 0,8.93,
3 3F+3T  9.40  0.20 2 0 0,-1,0 1 0,,0 1,9.60,
4 CiSt2  2.30  0.57 1 2 1,1,0 1 1,,2 1,2.87,
5 CCoSp1  2.00  0.29 1 1 0,0,0 1 0,,1 1,2.29,
6 3A+SEQ  7.48 x  0.86 1 1 0,1,1 2 1,,1 0,8.34,
7 3Lz+3T< e  9.79 x -0.90 -1 -2 -1,-1,-3 -1 0,,-2 -1,8.89,
8 3Lo  5.61 x  0.90 2 2 1,1,1 1 1,,2 1,6.51,
9 3S*+2T*+2Lo* *  0.00  0.00 - - -,-,- - -,,- -,0.00,
10 2A  3.63 x  0.43 1 0 2,1,1 1 1,,1 0,4.06,
11 ChSt1  2.00  0.71 0 1 1,0,0 1 1,,1 1,2.71,
12 FCCoSp3  3.00  0.57 1 1 1,1,1 2 1,,2 1,3.57,
