12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
20,Joanna BUDNER / Jan MOSCICKI,POL,0,22.47,12.69,9.78,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,1S1,,2.3,False,-0.29,-1,0,-3,-1,-1,0,0,0,-1,-1,0,0,,2.01
2,1S2,,2.8,False,-0.21,0,-1,-1,-1,0,-1,0,1,-1,0,0,-1,,2.59
3,1S3,,1.6,False,-0.21,-1,0,-1,0,0,-1,1,0,-1,-1,0,0,,1.39
4,2S1,,2.8,False,-0.4,0,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,,2.4
5,2S2,,3.5,False,-0.7,-1,-2,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,,2.8
6,2S3,,2.0,False,-0.5,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,-1,,1.5
,,,15.0,,,,,,,,,,,,,,,,12.69
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,3.75,4.25,4.25,4.0,4.0,3.75,4.25,3.5,4.5,4.25,4.75,4.5,,4.04
,Timing  ,,,,0.75,3.0,3.75,3.75,3.25,4.25,3.5,4.0,3.25,4.0,3.75,4.0,4.0,,3.64
,Performance / Execution  ,,,,0.5,4.0,4.0,3.75,4.0,4.25,3.75,4.25,3.75,4.25,4.0,4.75,4.25,,4.0
,Interpretation  ,,,,0.5,3.75,4.25,3.75,4.25,4.25,3.75,4.25,3.5,4.25,4.25,4.5,4.5,,4.04
,,,,,,,,,,,,,,,,,,,9.78
