2006 HomeSense Skate Canada International,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Dan ZHANG / Hao ZHANG CHN,,121.43  62.75,,,59.68,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3STh  4.50  1.40 2 1 2,2,2 2 2 2,,2,2 - -,5.90
2 1A+2T  2.10 -1.00 -3 -3 -2,-3,-3 -3 -3 -3,,-3,-2 - -,1.10
3 3LzTw3  5.50  1.12 1 1 2,1,2 2 2 2,,2,1 - -,6.62
4 5TLi4  6.00  0.30 1 0 1,1,2 1 1 2,,1,1 - -,6.30
5 PCoSp4  4.50  0.40 -3 0 0,1,1 1 1 2,,1,1 - -,4.90
6 BoDs3  4.00  0.56 0 0 1,0,1 1 1 1,,1,1 - -,4.56
7 3LoTh  5.50 x  1.26 2 2 1,2,2 1 2 2,,1,2 - -,6.76
8 3S  4.95 x  0.00 0 0 0,0,0 0 0 1,,1,-1 - -,4.95
9 SpSq4  3.40  0.80 0 0 1,1,1 1 1 2,,1,1 - -,4.20
10 5ALi3  6.00  1.00 2 0 0,1,1 1 1 1,,1,1 - -,7.00
11 CiSt3  3.10  0.00 0 0 0,0,0 0 0 0,,0,-1 - -,3.10
12 FCCoSp3  3.00  0.30 1 0 1,1,1 1 1 1,,0,-1 - -,3.30
13 3Li4  4.00  0.06 0 0 0,0,1 0 1 1,,0,0 - -,4.06
56.55,,,,,,62.75
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.50 7.50,7.50,7.75 7.75 7.50 8.00,,7.75,7.75 - -,7.65
Transition / Linking Footwork  1.60 7.25 7.25 7.00,7.00,7.50 7.25 6.50 8.00,,7.50,7.25 - -,7.30
Performance / Execution  1.60 7.50 7.00 7.25,7.00,8.00 7.50 7.25 8.00,,7.75,7.00 - -,7.40
Choreography / Composition  1.60 7.50 7.25 7.50,7.00,7.75 7.75 7.00 8.00,,7.75,7.50 - -,7.55
Interpretation  1.60 7.50 7.00 7.25,7.25,7.75 7.50 7.25 7.00,,7.75,7.00 - -,7.40
Judges Total Program Component Score (factored),,,,,,59.68
Deductions: Falls: -1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Rena INOUE / John BALDWIN USA,,111.12  59.88,,,52.24,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00 -3.00 -3 -3 -3,-3,-3 -3 -3 -2,,-3,-3 - -,1.00
2 2LzTw4  4.50  0.00 0 0 0,0,1 0 0 0,,0,0 - -,4.50
3 BoDs2  3.50  0.00 -1 0 1,0,0 0 0 0,,0,0 - -,3.50
4 3Li4  4.00  0.18 1 1 0,0,1 0 0 1,,0,1 - -,4.18
5 CCoSp4  3.50  0.40 0 -1 0,1,1 1 1 0,,1,1 - -,3.90
6 5SLi4  6.00  0.24 1 1 0,1,1 1 1 0,,0,0 - -,6.24
7 PCoSp4  4.50  0.10 1 1 0,0,0 0 0 0,,0,-1 - -,4.60
8 3ATh  8.25 x  0.80 0 1 1,1,2 0 1 1,,1,1 - -,9.05
9 SpSq4  3.40  0.80 1 0 1,1,1 1 1 1,,1,0 - -,4.20
10 3LoTh  5.50 x -0.70 -1 0 -1,0,-1 -1 -1 -1,,-1,-1 - -,4.80
11 2A+2A+SEQ  5.81 x -1.40 -2 -2 -2,-2,-3 -2 -2 -2,,-2,-2 - -,4.41
12 SlSt2  2.30  0.10 0 0 0,0,0 0 1 0,,1,0 - -,2.40
13 5ALi4  6.50  0.60 0 1 0,1,1 0 1 1,,1,0 - -,7.10
61.76,,,,,,59.88
Program Components Factor,,,,,,
Skating Skills  1.60 6.75 6.75 6.50,7.00,6.50 7.00 6.50 6.50,,6.75,6.75 - -,6.70
Transition / Linking Footwork  1.60 6.50 6.50 6.00,6.50,6.00 6.50 5.75 6.00,,6.50,6.00 - -,6.30
