2006 HomeSense Skate Canada International,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Stephane LAMBIEL SUI,,146.25  72.05,,,75.20,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2A  3.30  1.60 1 1 1,2,2 2 1 1,,2,2 - -,4.90
2 4T+3T+SEQ  10.40 -2.00 -2 -1 -2,-2,-2 -2 -2 -2,,-2,-3 - -,8.40
3 3Lo  5.00  1.40 1 1 1,2,2 2 1 1,,1,2 - -,6.40
4 2A  3.30  0.80 1 0 0,1,1 1 1 1,,1,1 - -,4.10
5 CiSt3  3.10  0.60 1 2 1,2,1 1 1 1,,1,1 - -,3.70
6 CCoSp4  3.50  0.50 1 1 1,1,2 0 1 1,,1,1 - -,4.00
7 4T  9.90 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3,-3 - -,6.90
8 2F+3T  6.27 x  0.00 0 0 -1,1,0 0 0 0,,0,0 - -,6.27
9 3Lz+2T  8.03 x  0.80 0 1 0,1,1 0 0 0,,1,1 - -,8.83
10 3S  4.95 x  0.80 0 0 1,1,1 1 0 0,,1,1 - -,5.75
11 FCoSp3  2.50  0.50 1 1 1,1,2 1 1 1,,1,1 - -,3.00
12 FSSp3  2.30  0.40 1 0 1,1,1 1 1 1,,1,0 - -,2.70
13 SlSt3  3.10  0.50 1 1 1,2,1 1 1 1,,1,0 - -,3.60
14 CCoSp3  3.00  0.50 1 1 1,1,3 1 1 1,,1,1 - -,3.50
68.65,,,,,,72.05
Program Components Factor,,,,,,
Skating Skills  2.00 6.75 7.50 7.75,8.00,7.50 7.75 8.00 8.25,,8.25,7.75 - -,7.85
Transition / Linking Footwork  2.00 6.75 7.25 7.25,7.00,7.25 7.25 7.25 7.50,,6.50,6.75 - -,7.10
Performance / Execution  2.00 7.25 7.50 7.50,7.75,7.25 7.50 7.75 8.25,,7.75,6.75 - -,7.55
Choreography / Composition  2.00 7.00 7.50 7.50,8.50,7.50 7.75 7.50 7.75,,7.25,7.25 - -,7.50
Interpretation  2.00 7.00 7.75 7.75,7.50,7.25 7.50 7.75 7.50,,7.50,8.00 - -,7.60
Judges Total Program Component Score (factored),,,,,,75.20
Deductions: Falls: -1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Daisuke TAKAHASHI JPN,,129.41  59.91,,,71.50,2.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 1T  0.40 -0.04 -1 0 -1,0,0 0 0 -3,,-1,0 - -,0.36
2 3A  7.50 -2.00 -2 -2 -2,-2,-2 -2 -2 -2,,-2,-2 - -,5.50
3 3A+2T  8.80  0.80 1 1 0,1,1 1 1 1,,1,0 - -,9.60
4 LSp2  1.80  0.10 1 0 0,0,1 0 1 0,,1,0 - -,1.90
5 CiSt3  3.10  0.80 2 2 1,2,2 1 2 1,,2,1 - -,3.90
6 CoSp3  2.50  0.50 1 1 1,1,1 1 1 1,,1,1 - -,3.00
7 3F+3T  10.45 x -0.60 0 0 -1,-1,-1 -1 0 0,,-1,0 - -,9.85
8 3Lz+2T+2Lo  9.68 x -0.20 1 0 0,0,0 0 1 -1,,0,-1 - -,9.48
9 Lo  0.00 x  0.00 - - -,-,- - - -,,-,- - -,0.00
10 3S  4.95 x  0.40 1 -1 0,1,0 1 1 1,,1,0 - -,5.35
11 2F  1.87 x -1.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3,-3 - -,0.87
12 FSSp4  3.00  0.00 0 0 0,0,0 0 0 0,,-1,0 - -,3.00
13 SlSt3  3.10  1.00 2 2 2,2,2 2 2 2,,2,2 - -,4.10
14 CCoSp2  2.50  0.50 2 0 2,1,2 0 2 1,,0,1 - -,3.00
59.65,,,,,,59.91
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.75 7.75,8.00,7.75 7.75 8.00 8.50,,8.00,8.25 - -,7.95
