2006 HomeSense Skate Canada International,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
1 Marie-France DUBREUIL / Patrice LAUZON CAN  98.81,50.00,,,48.81,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 SlLi4  4.00  1.10 2 2 3 3 2,2 3 2,,2,- - -,5.10
2 RRoLi4  6.40  1.00 2 2 2 2 2,1 2 2,,2,- - -,7.40
3 Sp4  4.70  0.50 1 1 1 1 1,1 1 1,,0,- - -,5.20
4 CiSt3  7.20  1.00 1 1 1 1 1,1 1 2,,1,- - -,8.20
5 STw4  4.70  0.50 1 1 1 1 1,1 1 1,,1,- - -,5.20
6 MiSt4  7.00  1.00 1 0 1 1 1,1 1 1,,1,- - -,8.00
7 RoLi4  4.00  1.00 2 1 2 2 2,2 2 2,,2,- - -,5.00
8 SlLi3+CuLi2  5.20  0.70 2 0 1 2 0,1 2 2,,2,- - -,5.90
43.20,,,,,50.00
Program Components Factor,,,,,
Skating Skills  1.25 8.00 8.25 8.25 8.50 8.00,7.75 8.50 8.50,,8.00,- - -,8.20
Linking Footwork / Movement  1.75 7.75 8.00 7.50 8.00 6.50,7.50 8.25 8.25,,7.50,- - -,7.75
Performance  1.00 8.50 9.00 8.50 8.50 8.25,7.75 9.00 8.50,,7.75,- - -,8.45
Choreography  1.00 8.00 8.50 8.00 8.25 8.25,7.50 8.50 8.50,,7.75,- - -,8.20
Interpretation / Timing  1.00 8.25 9.00 8.25 8.25 8.25,7.75 9.00 8.75,,8.00,- - -,8.35
Judges Total Program Component Score (factored),,,,,48.81
Deductions:,,,,,0.00
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
2 Federica FAIELLA / Massimo SCALI ITA  88.39,45.20,,,43.19,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 RoLi4  4.00  0.50 1 1 1 1 1,2 0 0,,1,- - -,4.50
2 MiSt3  6.20  0.80 0 1 0 1 1,1 1 1,,1,- - -,7.00
3 CoSp3  4.00  0.10 0 0 0 1 1,0 0 0,,0,- - -,4.10
4 SlLi4  4.00  0.80 1 2 2 2 1,1 2 1,,2,- - -,4.80
5 STw4  4.70  0.10 -1 0 0 1 0,1 0 0,,1,- - -,4.80
6 SlLi4+CuLi4  6.40  0.50 1 1 1 2 1,1 1 1,,1,- - -,6.90
7 SeLi2  4.80  0.50 1 1 1 2 1,2 0 1,,1,- - -,5.30
8 CiSt3  7.20  0.60 0 0 0 1 1,0 1 1,,1,- - -,7.80
41.30,,,,,45.20
Program Components Factor,,,,,
Skating Skills  1.25 6.75 7.25 7.25 7.50 7.00,7.25 6.75 7.00,,7.50,- - -,7.20
Linking Footwork / Movement  1.75 6.50 7.00 6.50 7.25 6.50,7.00 6.75 7.25,,7.00,- - -,6.85
Performance  1.00 7.25 8.00 7.25 7.50 7.50,7.50 7.00 7.00,,7.50,- - -,7.40
Choreography  1.00 7.00 7.75 7.25 7.50 8.25,7.25 6.75 7.25,,7.50,- - -,7.45
Interpretation / Timing  1.00 7.00 7.75 7.00 7.50 7.25,7.50 7.25 7.25,,7.75,- - -,7.35
Judges Total Program Component Score (factored),,,,,43.19
Deductions:,,,,,0.00
2006 HomeSense Skate Canada International,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
3 Tessa VIRTUE / Scott MOIR CAN  88.29,46.50,,,41.79,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 SlLi4  4.00  0.60 2 1 1 0 2,2 2 1,,1,- - -,4.60
2 CuLi3+RoLi4  6.00  0.50 2 1 1 1 1,1 1 1,,1,- - -,6.50
3 CiSt3  7.20  1.40 1 1 2 0 2,2 1 2,,1,- - -,8.60
4 Sp3  4.00  0.20 1 0 0 0 1,1 1 1,,0,- - -,4.20
