2006 HomeSense Skate Canada International,,,,
ICE DANCING COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
1 Marie-France DUBREUIL / Patrice LAUZON CAN  38.83  19.16,,,19.67,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 1S1  1.40  0.62 1 2 2 1 2 2 2 2,,1,- - -,2.02
2 1S2  1.90  0.40 0 2 1 0 2 1 1 1,,0,- - -,2.30
3 1S3  2.30  0.50 0 1 1 0 1 1 1 2,,1,- - -,2.80
4 1S4  1.40  0.38 1 1 2 0 1 1 2 1,,1,- - -,1.78
5 2S1  1.60  0.50 0 1 1 -1 2 1 2 1,,1,- - -,2.10
6 2S2  2.20  0.56 0 1 1 0 2 2 1 1,,0,- - -,2.76
7 2S3  2.60  0.70 0 1 1 0 0 1 1 1,,1,- - -,3.30
8 2S4  1.60  0.50 1 1 1 1 1 1 1 1,,1,- - -,2.10
15.00,,,,19.16
Program Components Factor,,,,
Skating Skills  0.75 7.25 8.25 8.00 7.75 8.00 8.00 8.00 8.00,,7.75,- - -,7.95
Timing  0.75 5.75 7.75 7.75 6.50 7.75 7.50 8.00 7.75,,7.25,- - -,7.60
Performance / Execution  0.50 7.50 8.25 8.00 7.75 7.75 7.75 8.00 8.00,,8.00,- - -,7.95
Interpretation  0.50 7.50 8.25 8.25 7.50 8.00 8.00 8.25 8.00,,7.75,- - -,8.05
Judges Total Program Component Score (factored),,,,19.67
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
2 Federica FAIELLA / Massimo SCALI ITA  33.19  16.54,,,16.65,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 1S1  1.40  0.30 1 1 1 1 1 1 1 0,,1,- - -,1.70
2 1S2  1.90  0.40 0 1 1 0 1 1 0 1,,1,- - -,2.30
3 1S3  2.30 -0.10 -1 0 0 -1 0 0 -1 0,,0,- - -,2.20
4 1S4  1.40  0.12 0 1 1 0 1 1 0 0,,0,- - -,1.52
5 2S1  1.60  0.20 0 1 1 0 1 1 0 0,,0,- - -,1.80
6 2S2  2.20  0.56 0 1 1 0 1 1 1 0,,1,- - -,2.76
7 2S3  2.60 -0.14 -1 0 0 -1 0 0 -1 0,,0,- - -,2.46
8 2S4  1.60  0.20 0 0 0 0 1 1 1 -1,,1,- - -,1.80
15.00,,,,16.54
Program Components Factor,,,,
Skating Skills  0.75 6.50 6.50 7.00 6.50 7.50 7.00 6.50 6.25,,6.75,- - -,6.65
Timing  0.75 5.50 6.50 6.75 6.25 7.00 6.75 6.25 5.75,,6.75,- - -,6.50
Performance / Execution  0.50 7.00 6.75 7.00 6.75 7.25 6.75 6.50 6.00,,7.00,- - -,6.75
Interpretation  0.50 6.75 6.75 7.25 6.50 7.25 7.00 7.00 6.00,,6.75,- - -,6.80
Judges Total Program Component Score (factored),,,,16.65
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
3 Tessa VIRTUE / Scott MOIR CAN  29.51  14.30,,,15.21,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 1S1  1.40  0.06 1 0 1 0 1 0 0 1,,0,- - -,1.46
2 1S2  1.90  0.00 1 0 0 0 1 0 0 1,,0,- - -,1.90
3 1S3  2.30  0.10 1 0 0 0 0 0 0 1,,1,- - -,2.40
4 1S4  1.40 -0.06 1 0 1 0 0 -1 -1 0,,0,- - -,1.34
5 2S1  1.60 -0.30 0 -1 0 -1 1 -1 -1 0,,0,- - -,1.30
6 2S2  2.20  0.00 1 0 1 0 0 0 0 0,,0,- - -,2.20
7 2S3  2.60  0.00 1 0 0 0 0 -1 0 0,,1,- - -,2.60
8 2S4  1.60 -0.50 -1 -1 -1 -2 -1 -1 0 -1,,-1,- - -,1.10
15.00,,,,14.30
Program Components Factor,,,,
