2006 HomeSense Skate Canada International,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
NOC Segment Element,,Program  Component,Deductions
Rank Name,,,
Code Score Score,,Score (factored),
"= +",,+,-
1 Marie-France DUBREUIL / Patrice LAUZON CAN  59.04  28.60,,30.44,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 NtMiTw3  2.80 -0.60 -1 -1 -2 -2 -1 -1 -2 0,,-1 - - -,2.20
2 NtMiSt4  4.30  0.60 2 1 1 1 1 1 1 2,,0 - - -,4.90
3 CuLi4  4.00  0.90 1 2 1 1 2 2 2 2,,2 - - -,4.90
4 Sp4  4.70  0.40 1 0 1 0 2 1 1 1,,2 - - -,5.10
5 DiSt3  6.20  0.80 0 1 0 0 1 1 1 1,,1 - - -,7.00
6 RoLi4  4.00  0.50 2 1 0 0 2 1 1 1,,1 - - -,4.50
26.00,,,28.60
Program Components Factor,,,
Skating Skills  0.80 7.75 7.75 7.50 8.00 8.50 8.00 8.00 8.25,,8.25 - - -,8.00
Linking Footwork / Movement  0.80 7.75 7.75 6.00 7.75 8.25 7.75 8.00 8.25,,8.00 - - -,7.85
Performance  0.60 7.50 8.00 8.00 7.75 8.50 7.75 7.75 8.25,,8.50 - - -,7.90
Choreography  0.60 8.00 7.75 7.25 8.50 8.25 7.75 8.25 8.50,,8.50 - - -,8.20
Interpretation / Timing  1.00 7.50 8.00 6.75 8.25 8.50 8.00 8.00 8.50,,8.25 - - -,8.10
Judges Total Program Component Score (factored),,,30.44
Deductions:,,,0.00
Total Total,,Total,Total
NOC Segment Element,,Program  Component,Deductions
Rank Name,,,
Code Score Score,,Score (factored),
"= +",,+,-
2 Tessa VIRTUE / Scott MOIR CAN  54.12  28.00,,26.12,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 CoSp4  4.70  0.00 0 0 1 0 0 1 0 0,,0 - - -,4.70
2 NtMiTw2  2.50  0.30 0 0 2 1 -1 1 2 -1,,1 - - -,2.80
3 NtMiSt3  3.80  0.60 1 1 1 1 0 2 0 2,,1 - - -,4.40
4 SlLi4  4.00  0.50 1 1 0 1 0 1 1 1,,1 - - -,4.50
5 DiSt3  6.20  0.80 2 0 1 0 0 1 1 1,,1 - - -,7.00
6 RoLi4  4.00  0.60 2 1 1 1 1 1 1 2,,1 - - -,4.60
25.20,,,28.00
Program Components Factor,,,
Skating Skills  0.80 7.50 6.75 7.00 7.00 6.50 7.25 6.50 7.00,,6.50 - - -,6.90
Linking Footwork / Movement  0.80 7.50 6.00 6.00 6.75 6.00 7.00 6.50 6.75,,6.25 - - -,6.65
Performance  0.60 8.00 6.50 7.50 6.50 6.25 7.25 6.75 7.00,,7.00 - - -,6.90
Choreography  0.60 8.00 6.25 8.00 6.75 6.25 7.25 6.75 7.00,,6.75 - - -,6.90
Interpretation / Timing  1.00 8.25 6.50 7.25 6.75 6.25 7.50 6.50 7.25,,7.00 - - -,7.00
Judges Total Program Component Score (factored),,,26.12
Deductions:,,,0.00
Total Total,,Total,Total
NOC Segment Element,,Program  Component,Deductions
Rank Name,,,
Code Score Score,,Score (factored),
"= +",,+,-
3 Meryl DAVIS / Charlie WHITE USA  52.30  28.40,,23.90,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 CoSp4  4.70  0.40 1 0 1 1 1 1 0 1,,2 - - -,5.10
2 NtMiTw2  2.50  0.60 1 1 1 2 0 1 2 1,,1 - - -,3.10
3 NtMiSt3  3.80  0.50 1 0 0 1 1 1 1 1,,2 - - -,4.30
4 SlLi4  4.00  0.50 1 1 0 1 0 1 1 0,,1 - - -,4.50
5 DiSt3  6.20  1.00 0 1 1 1 0 1 1 1,,1 - - -,7.20
6 RoLi4  4.00  0.20 0 0 0 1 0 1 1 0,,0 - - -,4.20
25.20,,,28.40
Program Components Factor,,,
Skating Skills  0.80 6.00 6.00 6.00 6.75 6.25 6.50 6.75 6.00,,6.50 - - -,6.35
Linking Footwork / Movement  0.80 5.25 5.75 4.75 7.00 6.00 6.25 6.50 5.75,,6.25 - - -,6.10
Performance  0.60 5.75 5.75 6.50 6.50 6.00 6.50 6.50 6.25,,7.00 - - -,6.30
Choreography  0.60 5.50 5.50 6.00 7.00 6.25 6.25 6.75 6.25,,7.00 - - -,6.35
Interpretation / Timing  1.00 5.75 5.75 5.75 6.50 6.00 6.50 6.50 6.50,,7.00 - - -,6.35
Judges Total Program Component Score (factored),,,23.90
Deductions:,,,0.00
2006 HomeSense Skate Canada International,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
4 Anastasia PLATONOVA / Andrei MAXIMISHIN RUS  49.60  26.80,,,22.80,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 CoSp4  4.70  0.10 0 0 0 0 2 0 0 1,,1,- - -,4.80
2 SlLi4  4.00  0.30 1 1 0 1 0 1 0 0,,0,- - -,4.30
3 NtMiTw4  3.30 -0.10 0 0 -2 -2 0 0 -1 0,,0,- - -,3.20
4 NtMiSt3  3.80  0.10 0 1 0 0 1 1 0 0,,0,- - -,3.90
5 DiSt3  6.20  0.00 1 0 0 0 0 0 0 0,,0,- - -,6.20
6 RoLi4  4.00  0.40 1 1 0 0 1 1 1 1,,0,- - -,4.40
26.00,,,,26.80
Program Components Factor,,,,
Skating Skills  0.80 6.00 6.50 5.25 6.00 6.50 6.00 5.75 6.25,,6.00,- - -,6.05
Linking Footwork / Movement  0.80 6.00 6.25 3.50 5.50 6.25 6.00 5.00 6.00,,5.75,- - -,5.85
Performance  0.60 6.25 6.50 4.50 5.75 6.50 6.25 5.75 6.25,,5.75,- - -,6.05
Choreography  0.60 6.00 6.25 4.50 5.75 6.25 6.00 5.50 6.50,,6.00,- - -,6.00
Interpretation / Timing  1.00 5.75 6.50 4.00 5.00 6.50 6.25 5.75 6.50,,6.00,- - -,6.05
Judges Total Program Component Score (factored),,,,22.80
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
5 Federica FAIELLA / Massimo SCALI ITA  49.15  23.60,,,26.55,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 DiSt2  5.40 -0.80 1 -2 1 -1 0 -2 0 -2,,1,- - -,4.60
2 CuLi4  4.00  0.30 1 1 2 0 1 0 1 0,,1,- - -,4.30
3 CoSp3  4.00  0.10 1 0 1 0 1 1 0 -1,,0,- - -,4.10
4 RoLi4  4.00  0.40 1 1 0 0 1 1 1 0,,1,- - -,4.40
5 NtMiTw2  2.50 -0.20 0 0 -2 -2 -1 0 -1 -1,,0,- - -,2.30
6 NtMiSt3  3.80  0.10 1 1 1 0 1 0 0 0,,0,- - -,3.90
23.70,,,,23.60
Program Components Factor,,,,
Skating Skills  0.80 6.50 7.25 6.75 7.00 7.00 7.25 7.50 6.75,,6.75,- - -,7.00
Linking Footwork / Movement  0.80 6.25 7.00 6.50 7.25 7.25 7.25 7.25 6.50,,6.50,- - -,6.90
Performance  0.60 6.50 7.50 7.25 6.75 7.25 7.25 7.00 6.50,,6.75,- - -,6.85
Choreography  0.60 6.50 7.25 8.50 7.50 7.50 7.50 7.25 7.00,,7.00,- - -,7.20
Interpretation / Timing  1.00 6.75 7.25 7.25 6.75 7.25 7.50 7.25 6.75,,7.00,- - -,7.00
Judges Total Program Component Score (factored),,,,26.55
Deductions: Falls: -1.00,,,,-1.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
6 Kimberly NAVARRO / Brent BOMMENTRE USA  47.78  26.00,,,21.78,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 NtMiTw4  3.30  0.00 0 -1 0 0 0 1 0 0,,0,- - -,3.30
2 NtMiSt3  3.80  0.30 0 0 1 1 1 1 1 1,,0,- - -,4.10
3 Sp3  4.00  0.30 1 0 1 1 0 0 1 0,,1,- - -,4.30
4 CuLi4  4.00  0.50 1 1 0 1 0 1 1 0,,2,- - -,4.50
5 DiSt2  5.40  0.00 0 -1 0 0 0 0 1 0,,0,- - -,5.40
6 RoLi4  4.00  0.40 2 0 1 1 0 1 1 1,,0,- - -,4.40
24.50,,,,26.00
Program Components Factor,,,,
Skating Skills  0.80 5.75 5.50 5.75 6.75 6.25 5.50 6.50 6.00,,5.50,- - -,5.85
Linking Footwork / Movement  0.80 5.50 5.00 4.25 6.50 5.75 5.25 6.25 5.50,,5.25,- - -,5.55
Performance  0.60 6.00 5.50 5.50 6.75 6.00 5.50 6.75 5.75,,5.50,- - -,5.90
Choreography  0.60 5.50 5.25 4.50 6.75 5.75 5.25 6.50 5.75,,5.50,- - -,5.70
Interpretation / Timing  1.00 5.75 5.25 4.25 6.75 6.00 5.50 6.50 5.50,,5.25,- - -,5.70
Judges Total Program Component Score (factored),,,,21.78
Deductions:,,,,0.00
2006 HomeSense Skate Canada International,,,,
