ISU Four Continents Figure Skating Championships,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
1 Denis TEN KAZ  26  97.61  52.86,,,44.75,0.00,
"# Executed Base GOE The Judges Panel",,,,Ref Scores,
Elements Value (in random order),,,,of Panel,
1 4T  10.30  1.14 2 1 1 0 1 2 0,,,2 1,11.44,
2 3A  8.50  2.00 2 2 2 2 3 2 2,,,2 2,10.50,
3 CCSp4  3.20  1.00 1 2 2 2 2 2 3,,,2 2,4.20,
4 3Lz+3T  11.11 x  1.40 2 2 2 2 2 2 2,,,2 2,12.51,
Info,,,Info,,Info
5 FSSp4  3.00  0.71 1 2 1 2 2 1 1,,,1 2,3.71,
6 CCoSp3p4  3.50  1.00 1 2 2 2 2 2 2,,,2 2,4.50,
7 StSq4  3.90  2.10 3 3 3 3 3 3 3,,,3 3,6.00,
43.51,,,,52.86,
Program Components Factor,,,,,
Skating Skills  1.00 9.25 9.00 8.75 8.50 8.50 9.00 8.75,,,8.25 9.50,8.82,
Transition / Linking Footwork  1.00 8.75 9.00 8.50 8.75 8.25 8.75 8.50,,,8.00 8.25,8.54,
Performance / Execution  1.00 9.25 9.00 9.25 8.75 9.25 9.50 9.00,,,8.25 9.50,9.14,
Choreography / Composition  1.00 9.00 9.25 9.25 9.00 9.00 9.25 8.75,,,8.00 9.00,9.04,
Interpretation  1.00 9.25 9.50 9.25 9.00 9.25 9.25 9.00,,,8.00 9.50,9.21,
Judges Total Program Component Score (factored),,,,44.75,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
2 Shoma UNO JPN  22  88.90  49.72,,,39.18,0.00,
"# Executed Base GOE The Judges Panel",,,,Ref Scores,
Elements Value (in random order),,,,of Panel,
1 4T  10.30  0.29 0 1 0 1 2 0 -1,,,0 0,10.59,
2 3A  8.50  2.00 2 3 2 2 2 2 3,,,1 1,10.50,
3 CSSp4  3.00  0.64 1 1 1 2 2 1 2,,,1 1,3.64,
4 3F+3T  10.34 x  0.30 0 1 0 1 1 1 0,,,0 0,10.64,
5 FCSp4  3.20  0.79 1 2 1 2 2 1 2,,,2 1,3.99,
6 StSq4  3.90  1.60 2 3 3 3 3 2 2,,,1 1,5.50,
7 CCoSp3p4  3.50  1.36 3 3 3 3 2 3 3,,,2 2,4.86,
42.74,,,,49.72,
Program Components Factor,,,,,
Skating Skills  1.00 7.75 8.50 7.75 9.25 8.25 7.50 8.50,,,7.75 8.25,8.11,
Transition / Linking Footwork  1.00 7.00 7.75 7.00 9.00 7.75 7.25 7.75,,,7.50 7.25,7.46,
Performance / Execution  1.00 8.00 8.25 7.50 9.50 8.25 7.50 8.00,,,7.75 7.50,7.89,
Choreography / Composition  1.00 7.75 8.00 7.75 9.50 8.00 7.75 8.25,,,7.50 7.50,7.86,
Interpretation  1.00 7.75 8.00 7.50 9.50 8.25 8.00 8.00,,,7.50 7.50,7.86,
Judges Total Program Component Score (factored),,,,39.18,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
3 Han YAN CHN  24  87.34  47.44,,,39.90,0.00,
"# Executed Base GOE The Judges Panel",,,,Ref Scores,
Elements Value (in random order),,,,of Panel,
1 3A  8.50  2.43 2 2 3 3 2 2 2,,,3 3,10.93,
