ISU GP 2016 Skate Canada International,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Meagan DUHAMEL / Eric RADFORD CAN  6  139.91,,72.35,68.56,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 InJfo4 J5",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3Tw3  6.20  1.20 1 3 2 2 2,,-3 2,2 1,7.40,
2 3Lz  6.00 -0.70 -1 -1 -1 -2 -2,,-1 0,0 -1,5.30,
3 4STh  8.20 -3.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,5.20,
4 5RLi4  7.50  1.50 2 3 2 2 2,,3 2,2 1,9.00,
5 3T+2T+2T  6.90 -0.80 0 -1 -2 -1 -1,,-2 -1,-1 -1,6.10,
6 BoDs4  4.50  1.40 1 2 2 2 2,,2 2,2 2,5.90,
7 FCCoSp4  3.50  0.79 1 2 1 2 2,,2 1,2 1,4.29,
8 3FTh  5.50  0.70 1 2 1 1 1,,1 1,0 1,6.20,
9 5ALi4  7.50  1.40 1 2 2 2 3,,2 2,2 2,8.90,
10 PCoSp4  4.50  0.79 1 2 1 1 2,,1 2,2 2,5.29,
11 ChSq1  2.00  1.20 1 2 2 2 2,,1 2,2 1,3.20,
12 3Li4  4.50  1.07 1 3 2 2 3,,2 2,3 1,5.57,
66.80,,,,72.35,
Program Components Factor,,,,,
Skating Skills  1.60  8.50  8.75  8.50  8.50  8.75,,8.50  8.75,8.75  9.00,8.64,
Transitions  1.60  8.25  8.50  8.50  8.25  8.50,,8.50  8.00,8.75  8.75,8.46,
Performance  1.60  8.75  8.75  8.75  8.50  8.50,,8.25  8.25,9.00  8.75,8.61,
Composition  1.60  8.50  8.50  8.75  7.75  8.75,,8.50  8.75,8.75  8.75,8.64,
Interpretation of the Music  1.60  9.00  8.25  8.75  7.50  8.50,,8.00  8.50,9.00  8.50,8.50,
Judges Total Program Component Score (factored),,,,68.56,
Deductions Falls: -1.00,,,,-1.00,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Xiaoyu YU / Hao ZHANG CHN  7  132.65,,67.40,65.25,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3Tw4  6.60  2.10 3 3 3 3 3,,3 3,3 3,8.70,
2 3T+2T  5.60  0.20 1 0 0 0 0,,1 1,0 -1,5.80,
3 2A  3.30 -0.21 0 0 -1 -1 0,,-1 -1,0 0,3.09,
4 ChSq1  2.00  1.10 2 2 1 2 1,,2 1,2 1,3.10,
5 3LoTh  5.00  2.00 2 3 3 3 3,,3 3,3 2,7.00,
6 BoDs4  4.50  1.40 2 3 2 2 2,,2 2,2 0,5.90,
7 5RLi4  7.50  1.40 2 3 2 2 2,,3 1,2 1,8.90,
8 3Li4  4.50  1.00 2 2 2 2 3,,2 2,2 1,5.50,
9 3STh  4.50  1.40 2 2 2 2 2,,2 2,2 2,5.90,
10 FCCoSp2  2.50 -0.30 -1 0 -1 -1 -1,,-1 -1,-1 -1,2.20,
11 5ALi4  7.50  0.60 1 1 2 2 0,,0 1,1 0,8.10,
12 PCoSp1  3.00  0.21 2 1 0 1 -1,,0 0,1 0,3.21,
56.50,,,,67.40,
Program Components Factor,,,,,
Skating Skills  1.60  8.75  8.50  8.00  8.00  8.00,,8.00  8.25,8.75  8.75,8.32,
Transitions  1.60  8.50  8.50  8.00  6.75  7.50,,7.25  7.50,8.75  8.25,7.93,
