ISU GP 2016 Skate Canada International,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Meagan DUHAMEL / Eric RADFORD CAN  2  78.39  43.90,,34.49,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 InfJo6 J7",,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3Tw3  6.20  1.30 2 2 2 1 2 2 2,,1 2,7.50,
2 3Lz  6.00 -0.10 1 0 0 0 -1 -1 0,,0 0,5.90,
3 3ATh  7.70 -0.43 1 -1 0 0 -1 -1 1,,-1 -1,7.27,
4 5ALi4  7.50  1.30 2 1 3 2 1 2 3,,1 2,8.80,
5 FCCoSp4  3.50  0.93 1 1 2 2 2 2 2,,2 2,4.43,
6 StSq4  3.90  1.20 1 2 2 2 0 1 2,,2 2,5.10,
7 BiDs4  3.50  1.40 2 1 3 2 2 2 2,,2 2,4.90,
38.30,,,43.90,
Program Components Factor,,,,
Skating Skills  0.80  8.25  8.50  8.75  8.75  8.75  8.50  8.50,,8.75  8.50,8.61,
Transitions  0.80  8.25  8.25  8.50  8.25  9.00  8.25  8.50,,8.50  7.75,8.36,
Performance  0.80  8.50  8.50  9.00  8.75  9.00  8.75  8.75,,8.75  8.75,8.75,
Composition  0.80  8.25  8.75  8.75  8.75  9.25  8.50  8.75,,9.00  8.75,8.75,
Interpretation of the Music  0.80  8.25  8.75  9.00  8.50  8.75  8.75  8.50,,9.00  8.25,8.64,
Judges Total Program Component Score (factored),,,34.49,
Deductions,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Xiaoyu YU / Hao ZHANG CHN  3  69.43  39.83,,29.60,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3T  4.30  0.30 1 0 0 1 0 1 1,,0 0,4.60,
2 3Tw4  6.60  1.50 2 3 3 2 2 2 2,,2 2,8.10,
3 3LoTh  5.00  1.40 2 1 2 2 2 2 2,,2 2,6.40,
4 FCCoSp4  3.50 -0.17 0 -1 -1 -1 -1 -1 0,,0 0,3.33,
5 5RLi4  7.50  1.00 2 1 1 2 1 2 2,,1 1,8.50,
6 StSq4  3.90  0.60 1 0 1 1 0 1 1,,1 1,4.50,
7 BiDs4  3.50  0.90 1 0 1 2 1 2 2,,1 1,4.40,
34.30,,,39.83,
Program Components Factor,,,,
Skating Skills  0.80  7.50  7.25  7.50  8.00  7.50  8.00  7.75,,8.00  7.00,7.64,
Transitions  0.80  7.25  6.50  6.75  7.50  7.00  7.75  7.50,,7.75  6.50,7.18,
Performance  0.80  7.00  7.25  7.00  7.50  7.50  8.25  7.50,,7.75  6.00,7.36,
Composition  0.80  7.50  7.00  7.25  7.75  7.50  8.25  7.50,,8.00  7.25,7.54,
Interpretation of the Music  0.80  7.25  6.75  6.75  7.50  7.25  8.00  7.50,,8.00  5.75,7.29,
Judges Total Program Component Score (factored),,,29.60,
Deductions,,,0.00,
ISU GP 2016 Skate Canada International,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
3 Liubov ILYUSHECHKINA / Dylan MOSCOVITCH CAN  4  67.53  36.40,,31.13,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 InfJo6 J7",,J8 J9 Ref,,Info
Elements Value,,,Panel,
