SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Total Total,Total,Total,,,
NOC Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,
Code Score Score,Score (factored),,,,
"= +",+,,-,,
1 Mao ASADA JPN  123.17  64.57,59.60,,1.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 3A+2T  9.50  0.80 1 1 2 1 0 0 1 1 1,- - -,,10.30,,
2 3A  8.20  1.40 2 0 1 2 1 1 Info 1 2 1,- - -,,9.60,,Info
3 3F+2Lo+2Lo  8.50  0.40 1 1 1 1 0 -2 0 0 1,- - -,,8.90,,
4 FSSp3  2.60  0.30 1 1 1 1 1 0 0 0 1,- - -,,2.90,,
5 SpSq4  3.40  1.60 2 1 1 2 1 2 0 2 1,- - -,,5.00,,
6 3S  4.95 x  0.60 1 0 0 0 0 1 1 1 1,- - -,,5.55,,
7 3F< <  1.87 x -1.00 -3 -3 -3 -3 -3 -3 -3 -3 -3,- - -,,0.87,,
8 3T  4.40 x  1.00 0 1 1 1 1 2 0 2 1,- - -,,5.40,,
9 2A  3.85 x  0.40 0 0 0 0 1 1 0 1 0,- - -,,4.25,,
10 FCoSp4  3.00  0.60 1 1 1 2 1 1 1 2 1,- - -,,3.60,,
11 SlSt3  3.30  1.00 2 1 2 2 2 2 2 2 1,- - -,,4.30,,
12 CCoSp4  3.50  0.40 1 0 1 2 1 1 1 0 1,- - -,,3.90,,
57.07,,,64.57,,
Program Components Factor,,,,,
Skating Skills  1.60 8.25 7.50 7.75 7.75 7.75 8.25 7.00 7.75 8.25,- - -,,7.80,,
Transition / Linking Footwork  1.60 8.00 6.25 7.25 7.50 7.75 6.25 6.25 7.00 7.00,- - -,,6.95,,
Performance / Execution  1.60 8.00 7.25 7.50 7.50 7.50 7.75 7.00 8.00 8.00,- - -,,7.60,,
Choreography / Composition  1.60 8.25 7.25 7.75 7.50 7.75 7.50 7.00 7.50 7.50,- - -,,7.50,,
Interpretation  1.60 8.00 7.00 7.25 7.50 7.50 7.50 7.25 7.25 7.50,- - -,,7.40,,
Judges Total Program Component Score (factored),,,59.60,,
Deductions: Falls: -1.00,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Total Total,Total,Total,,,
NOC Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,
Code Score Score,Score (factored),,,,
"= +",+,,-,,
2 Yu-Na KIM KOR  120.41  60.69,60.72,,1.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 3F+3T  9.50  1.40 1 1 2 2 2 1 2 1 2,- - -,,10.90,,
2 2A  3.50  1.80 1 2 1 2 1 2 2 2 2,- - -,,5.30,,
3 3Lz+2T+2Lo  8.80  1.00 1 1 1 1 1 1 0 1 1,- - -,,9.80,,
4 FSSp4  3.00  0.50 1 1 1 2 1 0 1 1 1,- - -,,3.50,,
5 2A+3T  8.25 x  1.60 2 2 2 1 2 2 1 0 1,- - -,,9.85,,
6 1Lz  0.66 x  0.00 0 0 0 0 0 0 0 -1 0,- - -,,0.66,,
7 SpSq4  3.40  1.60 2 2 2 2 1 2 0 1 1,- - -,,5.00,,
8 3S< <  1.43 x -1.00 -3 -3 -3 -3 -3 -3 -3 -3 -3,- - -,,0.43,,
9 FCoSp3  2.50  0.40 1 1 0 1 1 0 1 0 0,- - -,,2.90,,
10 SlSt3  3.30  0.50 1 1 1 1 1 1 1 1 2,- - -,,3.80,,
11 2A  3.85 x  1.00 1 1 0 1 1 1 0 1 1,- - -,,4.85,,
12 CCoSp3  3.00  0.70 2 2 2 2 1 1 1 1 1,- - -,,3.70,,
51.19,,,60.69,,
Program Components Factor,,,,,
Skating Skills  1.60 8.50 7.75 8.00 8.00 7.75 8.00 7.00 7.75 8.25,- - -,,7.85,,
Transition / Linking Footwork  1.60 8.00 7.50 7.25 7.50 7.50 7.50 6.50 7.00 7.50,- - -,,7.40,,
Performance / Execution  1.60 8.25 7.75 7.50 7.50 7.50 7.75 6.75 7.50 8.00,- - -,,7.60,,
Choreography / Composition  1.60 8.25 7.50 7.75 7.75 7.50 8.25 7.25 7.25 8.00,- - -,,7.65,,
Interpretation  1.60 8.25 7.75 7.50 7.50 7.75 7.25 6.75 7.00 8.50,- - -,,7.45,,
Judges Total Program Component Score (factored),,,60.72,,
Deductions: Falls: -1.00,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,
SENIOR LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total Total Total,Total,,,
NOC Segment Element Program  Component,Deductions,,,
Rank Name,,,,
Code Score Score Score (factored),,,,
"= + +",,-,,
3 Joannie ROCHETTE CAN  115.88  57.48  58.40,,0.00,,
"# Executed Base GOE The Judges Panel",,Scores,,
Elements Value (in random order),of Panel,,,
1 3Lz  6.00 -1.80 -2 -1 -2 -1 -2 -2 -2 -2 -2 - - -,,4.20,,
2 3F  5.50  0.60 1 0 1 1 0 2 Info 1 0 0 - - -,,6.10,,Info
3 3Lo  5.00  1.40 1 1 1 1 0 2 2 2 1 - - -,,6.40,,
4 FSSp4  3.00  0.30 1 0 1 1 1 0 1 0 1 - - -,,3.30,,
5 CUSp4  2.90  0.10 0 0 1 1 0 -2 0 1 0 - - -,,3.00,,
6 2Lz  2.09 x  0.00 0 0 0 0 0 0 0 0 0 - - -,,2.09,,
7 3T+3S+SEQ  7.48 x  0.80 1 0 1 1 -2 1 1 1 0 - - -,,8.28,,
8 SlSt3  3.30  0.60 1 1 1 1 1 2 2 1 0 - - -,,3.90,,
9 SpSq4  3.40  1.00 1 1 1 2 1 1 1 1 1 - - -,,4.40,,
10 2A+2A+SEQ  6.16 x  0.80 1 1 0 1 0 1 0 1 0 - - -,,6.96,,
11 3S  4.95 x  0.80 1 0 0 0 1 1 1 1 0 - - -,,5.75,,
12 CCoSp3  3.00  0.10 0 0 1 1 0 -1 0 1 1 - - -,,3.10,,
52.78,,57.48,,
Program Components Factor,,,,
Skating Skills  1.60 7.50 7.25 7.50 7.25 7.25 7.75 6.50 7.50 7.00 - - -,,7.35,,
Transition / Linking Footwork  1.60 7.25 6.50 7.00 6.75 7.00 7.75 7.25 7.75 6.25 - - -,,7.20,,
Performance / Execution  1.60 7.50 7.00 7.25 6.75 7.25 7.50 7.00 7.75 6.50 - - -,,7.25,,
Choreography / Composition  1.60 7.50 7.00 7.50 7.00 7.25 8.00 7.50 8.00 6.75 - - -,,7.45,,
Interpretation  1.60 7.50 7.00 7.25 7.00 7.00 7.50 7.25 8.25 7.00 - - -,,7.25,,
Judges Total Program Component Score (factored),,58.40,,
Deductions:,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Total Total Total,Total,,,
NOC Segment Element Program  Component,Deductions,,,
Rank Name,,,,
Code Score Score Score (factored),,,,
"= + +",,-,,
4 Carolina KOSTNER ITA  112.13  55.45  57.68,,1.00,,
"# Executed Base GOE The Judges Panel",,Scores,,
Elements Value (in random order),of Panel,,,
1 3F+2T  6.80  1.00 0 1 1 1 1 1 1 2 1 - - -,,7.80,,
2 3Lz+2T+2Lo  8.80  1.00 1 1 1 1 1 0 1 1 1 - - -,,9.80,,
3 3F  5.50 -0.20 0 0 -1 0 0 1 -1 -1 0 - - -,,5.30,,
4 3Lo  5.00 -3.00 -3 -3 -3 -3 -3 -3 -3 -3 -3 - - -,,2.00,,
5 CCoSp3  3.00 -0.12 0 -1 1 1 0 -2 -1 0 -1 - - -,,2.88,,
6 2A+3T  8.25 x  0.00 0 -1 0 1 0 1 0 -1 0 - - -,,8.25,,
7 3S  4.95 x -2.00 -2 -2 -2 -2 -2 -2 -2 -2 -2 - - -,,2.95,,
8 CSSp2  2.30  0.10 0 0 0 1 1 0 0 0 0 - - -,,2.40,,
9 SlSt3  3.30  0.70 1 2 1 2 1 2 1 0 1 - - -,,4.00,,
10 SpSq4  3.40  1.00 1 1 2 1 1 1 0 1 2 - - -,,4.40,,
11 2A  3.85 x  0.00 0 0 0 0 0 0 0 1 0 - - -,,3.85,,
12 FSSp1  2.00 -0.18 0 -2 -1 0 0 0 -1 -3 0 - - -,,1.82,,
57.15,,55.45,,
Program Components Factor,,,,
Skating Skills  1.60 7.50 7.50 7.50 7.50 7.50 8.00 6.50 7.75 7.75 - - -,,7.55,,
Transition / Linking Footwork  1.60 6.75 7.00 6.75 7.00 7.25 7.50 5.00 6.75 7.00 - - -,,6.95,,
Performance / Execution  1.60 7.00 7.50 7.25 7.25 7.50 7.25 6.00 7.00 7.50 - - -,,7.20,,
Choreography / Composition  1.60 7.00 7.25 7.50 7.25 7.25 7.75 5.75 7.00 7.25 - - -,,7.15,,
Interpretation  1.60 7.00 7.25 7.00 7.25 7.50 7.50 6.00 7.00 7.25 - - -,,7.20,,
Judges Total Program Component Score (factored),,57.68,,
Deductions: Falls: -1.00,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,
SENIOR LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total Total Total,Total,,,
NOC Segment Element Program  Component,Deductions,,,
Rank Name,,,,
Code Score Score Score (factored),,,,
