SBS ISU Grand Prix and Junior Grand Prix Final,,,,,,
SENIOR MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Total,Total,Total,Total,,,
NOC Segment,Element,Program  Component,Deductions,,,
Rank Name,,,,,,
Code Score,Score,Score (factored),,,,
"=",+,+,,-,,
1 Jeremy ABBOTT USA  159.46,82.56,76.90,,0.00,,
"# Executed Base GOE The Judges Panel",,,,Scores,,
Elements Value (in random order),,,of Panel,,,
1 3Lz  6.00  0.80 0 1 1 1 0,0 0 1 1,- - -,,6.80,,
2 3F  5.50  1.20 2 1 1 1 1,In1fo 2 2 1,- - -,,6.70,,Info
3 FSSp4  3.00  0.10 1 -1 1 0 1,0 1 0 0,- - -,,3.10,,
4 3A  8.20  1.20 1 2 2 1 2,1 2 1 1,- - -,,9.40,,
5 3S  4.50  0.60 1 2 1 0 1,0 1 1 0,- - -,,5.10,,
6 CSSp4  3.00  0.30 0 1 1 0 1,0 1 1 1,- - -,,3.30,,
7 3A+2T  10.45 x  1.00 1 1 1 1 1,1 1 1 1,- - -,,11.45,,
8 CiSt3  3.30  0.70 2 0 1 2 1,1 2 1 2,- - -,,4.00,,
9 3Lz+3T+2T  12.43 x  0.80 0 0 1 1 1,1 0 1 1,- - -,,13.23,,
10 3Lo  5.50 x  0.60 1 2 0 0 1,0 1 1 1,- - -,,6.10,,
11 SlSt3  3.30  0.30 1 0 0 2 1,1 1 0 1,- - -,,3.60,,
12 2A+2T  5.28 x  0.80 0 1 0 1 0,1 0 1 2,- - -,,6.08,,
13 CCoSp3  3.00  0.70 1 2 2 1 2,1 1 2 1,- - -,,3.70,,
73.46,,,,82.56,,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.50 7.75 8.00 7.75,7.50 7.75 7.75 7.75,- - -,,7.70,,
Transition / Linking Footwork  2.00 7.75 7.25 7.50 8.25 8.00,7.00 7.50 7.50 7.50,- - -,,7.50,,
Performance / Execution  2.00 7.75 8.25 7.50 8.00 8.50,7.50 8.25 7.75 7.75,- - -,,7.75,,
Choreography / Composition  2.00 8.25 8.00 7.50 8.50 8.25,7.50 8.00 7.50 7.50,- - -,,7.75,,
Interpretation  2.00 8.25 7.75 7.25 8.25 8.00,7.25 8.50 7.50 8.00,- - -,,7.75,,
Judges Total Program Component Score (factored),,,,76.90,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump","x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Total,Total,Total,Total,,,
NOC Segment,Element,Program  Component,Deductions,,,
Rank Name,,,,,,
Code Score,Score,Score (factored),,,,
"=",+,+,,-,,
2 Johnny WEIR USA  143.00,71.30,71.70,,0.00,,
"# Executed Base GOE The Judges Panel",,,,Scores,,
Elements Value (in random order),,,of Panel,,,
1 3A+2T  9.50  1.00 1 1 1 1 2,1 1 1 1,- - -,,10.50,,
2 3A  8.20  1.00 1 1 1 1 2,1 1 2 0,- - -,,9.20,,
3 2A  3.50  1.00 1 1 1 0 2,1 1 1 1,- - -,,4.50,,
4 3S  4.50  0.00 0 2 0 0 1,0 1 0 0,- - -,,4.50,,
5 CiSt3  3.30  0.50 1 1 0 1 1,1 1 1 1,- - -,,3.80,,
6 FCSSp4  3.00  0.10 0 0 0 0 0,0 2 1 2,- - -,,3.10,,
7 2Lo  1.65 x -0.06 0 0 0 -1 0,-1 0 0 0,- - -,,1.59,,
8 3Lz  6.60 x -1.00 0 -1 -1 -1 -1,-1 -1 -1 -2,- - -,,5.60,,
9 3Lz+2T+2T  9.46 x  1.00 0 1 1 1 0,1 1 1 1,- - -,,10.46,,
10 3F  6.05 x  0.80 1 -1 1 1 0,1 0 1 0,- - -,,6.85,,
11 FSSp4  3.00  0.40 1 1 1 0 1,0 1 1 1,- - -,,3.40,,
12 SlSt3  3.30  0.60 1 1 1 2 1,1 1 1 2,- - -,,3.90,,
13 CCoSp4  3.50  0.40 1 1 1 0 2,0 0 1 1,- - -,,3.90,,
65.56,,,,71.30,,
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.25 7.50 7.25 7.50,7.50 7.00 7.50 7.50,- - -,,7.45,,
Transition / Linking Footwork  2.00 5.75 6.75 7.00 5.50 6.75,7.00 5.50 7.25 6.50,- - -,,6.60,,
Performance / Execution  2.00 7.50 7.25 7.25 7.25 7.50,7.50 6.75 7.50 7.50,- - -,,7.40,,
Choreography / Composition  2.00 6.75 7.25 7.50 6.50 7.25,7.25 6.50 7.25 7.00,- - -,,7.10,,
Interpretation  2.00 7.00 7.50 7.25 6.75 7.25,7.25 6.50 7.50 7.75,- - -,,7.30,,
Judges Total Program Component Score (factored),,,,71.70,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump","x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Total,Total Total,Total,,,
NOC Segment,Element Program  Component,Deductions,,,
Rank Name,,,,,
Code Score,Score Score (factored),,,,
"=",+ +,,-,,
3 Takahiko KOZUKA JPN  140.73,69.43  73.30,,2.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 4T< <  4.00 -2.40 -2 -2 -2 -3 -3,-3 -3 -2 -3 - - -,,1.60,,
2 3A+3T  12.20  1.60 1 2 1 2 2,In1fo 1 2 2 - - -,,13.80,,Info
3 3F  5.50  1.40 1 2 1 2 2,2 2 1 1 - - -,,6.90,,
4 FSSp4  3.00  0.50 1 1 1 0 2,1 2 1 1 - - -,,3.50,,
5 SlSt2  2.30  0.50 1 1 1 1 1,1 1 1 1 - - -,,2.80,,
6 FCCoSp4  3.50  0.60 1 1 2 1 2,2 1 1 1 - - -,,4.10,,
7 3S+2T  6.38 x  1.00 1 1 1 1 1,1 2 1 2 - - -,,7.38,,
8 CiSt2  2.30  0.50 1 0 1 1 0,1 1 1 1 - - -,,2.80,,
9 3Lz+2T+2Lo  9.68 x  0.00 0 0 0 0 0,0 0 0 1 - - -,,9.68,,
10 3Lo< <  1.65 x -1.00 -3 -3 -3 -3 -3,-3 -3 -2 -3 - - -,,0.65,,
11 3A  9.02 x -4.20 -3 -3 -3 -3 -3,-3 -3 -3 -3 - - -,,4.82,,
12 3Lz  6.60 x  0.60 1 1 1 0 0,1 0 0 0 - - -,,7.20,,
13 CCoSp4  3.50  0.70 1 2 2 1 2,2 2 1 1 - - -,,4.20,,
69.63,,,69.43,,
Program Components Factor,,,,,
Skating Skills  2.00 8.25 7.25 7.50 8.25 8.00,8.00 7.50 7.25 8.00 - - -,,7.80,,
Transition / Linking Footwork  2.00 7.25 6.50 7.00 7.25 7.00,7.25 6.75 7.00 7.50 - - -,,7.15,,
Performance / Execution  2.00 7.75 6.75 7.00 7.00 6.75,7.50 6.25 7.25 7.25 - - -,,7.20,,
Choreography / Composition  2.00 7.25 6.75 7.25 7.50 7.50,7.25 7.00 7.25 7.75 - - -,,7.30,,
Interpretation  2.00 7.50 6.00 7.25 7.25 6.75,7.25 6.75 7.00 7.25 - - -,,7.20,,
Judges Total Program Component Score (factored),,,73.30,,
Deductions: Falls: -2.00,,,-2.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump","x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Total,Total Total,Total,,,
NOC Segment,Element Program  Component,Deductions,,,
Rank Name,,,,,
Code Score,Score Score (factored),,,,
"=",+ +,,-,,
4 Tomas VERNER CZE  137.31,63.21  74.10,,0.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 4T  9.80 -1.60 -2 -1 -1 2 -2,-2 -1 -1 0 - - -,,8.20,,
2 3Lz+3T  10.00  0.80 0 1 1 1 1,0 0 1 1 - - -,,10.80,,
3 1A  0.80  0.00 0 -1 0 1 0,0 0 0 0 - - -,,0.80,,
4 3S  4.50  0.60 1 0 1 0 1,1 1 1 0 - - -,,5.10,,
5 SlSt3  3.30  0.70 0 2 2 2 0,1 1 1 1 - - -,,4.00,,
6 FSSp4  3.00  0.50 0 1 1 1 0,2 2 1 1 - - -,,3.50,,
7 1A  0.88 x  0.00 0 0 0 0 0,0 0 0 0 - - -,,0.88,,
8 2Lo  1.65 x -0.60 -2 -2 -2 -2 -2,-1 -2 -2 -2 - - -,,1.05,,
9 3Lz+3T  11.00 x  1.00 0 1 1 1 0,1 1 1 1 - - -,,12.00,,
10 3F+2T !  7.48 x -0.80 -1 -1 0 -1 0,0 -2 -1 -1 - - -,,6.68,,
11 CSSp4  3.00  0.00 0 1 0 -1 0,0 0 0 0 - - -,,3.00,,
12 CiSt3  3.30  0.20 0 1 1 1 -1,0 0 0 0 - - -,,3.50,,
13 CCoSp3  3.00  0.70 1 2 2 1 1,1 2 2 1 - - -,,3.70,,
61.71,,,63.21,,
Program Components Factor,,,,,
Skating Skills  2.00 7.00 7.75 7.50 8.25 6.75,7.50 6.75 7.50 7.50 - - -,,7.55,,
Transition / Linking Footwork  2.00 5.75 7.50 7.25 7.75 5.50,7.00 5.00 7.00 6.50 - - -,,7.05,,
Performance / Execution  2.00 6.75 7.50 7.50 8.00 6.25,7.75 6.25 7.75 6.75 - - -,,7.45,,
Choreography / Composition  2.00 6.50 8.00 7.50 8.00 6.25,7.50 6.00 7.50 7.25 - - -,,7.55,,
Interpretation  2.00 7.00 7.75 7.50 7.75 6.50,7.50 6.50 7.50 7.00 - - -,,7.45,,
Judges Total Program Component Score (factored),,,74.10,,
Deductions:,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump","x  Credit for highlight distribution, base value multiplied by 1.1",,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Total,Total,Total,Total,,
