SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Total Total,Total,Total,,,
NOC Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,
Code Score Score,Score (factored),,,,
"= +",+,,-,,
1 Qing PANG / Jian TONG CHN  125.25  64.93,60.32,,0.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 2A+2A+SEQ  5.60  0.40 0 1 0 1 1 1 0 0 0,- - -,,6.00,,
2 3T  4.00  0.20 0 1 0 0 0 1 Info 0 0 -1,- - -,,4.20,,Info
3 4Li4  4.00  0.80 1 2 1 2 2 2 1 1 2,- - -,,4.80,,
4 SlSt3  3.30  0.50 0 1 1 1 1 1 1 1 1,- - -,,3.80,,
5 FCCoSp4  3.50 -0.24 -1 -1 0 -1 -1 0 -2 -1 -1,- - -,,3.26,,
6 3LzTw1  5.50 x  1.40 1 2 1 2 2 2 2 2 2,- - -,,6.90,,
7 3STh  4.95 x  1.26 2 2 1 1 3 2 2 2 2,- - -,,6.21,,
8 3LoTh  5.50 x  1.12 1 2 1 1 2 1 2 2 2,- - -,,6.62,,
9 FiDs4  3.50  0.84 1 1 1 2 1 1 2 1 1,- - -,,4.34,,
10 PCoSp4  4.50  0.20 1 1 0 0 1 0 1 0 1,- - -,,4.70,,
11 5TLi3  6.05 x  0.30 0 1 0 1 0 1 -1 1 0,- - -,,6.35,,
12 5ALi4  7.15 x  0.60 1 1 0 1 1 2 0 0 1,- - -,,7.75,,
57.55,,,64.93,,
Program Components Factor,,,,,
Skating Skills  1.60 7.50 8.00 7.00 7.50 7.75 7.75 7.75 7.50 7.50,- - -,,7.60,,
Transition / Linking Footwork  1.60 6.75 7.75 6.75 7.00 7.25 7.50 7.25 7.25 7.25,- - -,,7.25,,
Performance / Execution  1.60 7.25 8.25 7.00 7.50 7.75 7.75 7.75 7.50 8.00,- - -,,7.70,,
Choreography / Composition  1.60 7.00 8.00 7.00 7.25 7.75 7.75 7.50 7.50 7.75,- - -,,7.55,,
Interpretation  1.60 7.00 8.50 7.00 7.25 7.75 7.75 7.50 7.75 7.75,- - -,,7.60,,
Judges Total Program Component Score (factored),,,60.32,,
Deductions:,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Total Total,Total,Total,,,
NOC Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,
Code Score Score,Score (factored),,,,
"= +",+,,-,,
2 Dan ZHANG / Hao ZHANG CHN  119.88  62.16,58.72,,1.00,,
"# Executed Base GOE The Judges Panel",,,Scores,,
Elements Value (in random order),,of Panel,,,
1 2A+3T  7.50 -0.20 0 0 -1 0 0 1 0 0 -1,- - -,,7.30,,
2 3STh  4.50  1.26 2 2 1 2 2 2 2 1 2,- - -,,5.76,,
3 3LzTw1  5.00  1.40 2 2 1 2 2 2 2 2 2,- - -,,6.40,,
4 5TLi4  6.00  0.60 1 1 1 1 2 2 2 1 1,- - -,,6.60,,
5 FiDs4  3.50  0.70 1 1 1 2 2 1 1 1 0,- - -,,4.20,,
6 FCCoSp4  3.50  0.50 2 1 1 1 1 1 1 0 1,- - -,,4.00,,
7 3LoTh  5.50 x -2.00 -3 -3 -3 -3 -2 -3 -3 -3 -3,- - -,,3.50,,
8 3S  4.95 x  0.20 0 0 0 0 0 1 0 0 1,- - -,,5.15,,
9 5ALi4  7.15 x  0.80 1 0 0 1 1 2 1 1 1,- - -,,7.95,,
10 3Li4  4.40 x  0.10 0 0 -1 1 2 1 0 1 -1,- - -,,4.50,,
11 SlSt2  2.30  0.00 1 0 0 0 1 0 0 0 0,- - -,,2.30,,
12 PCoSp4  4.50  0.00 0 0 0 0 1 1 -1 0 0,- - -,,4.50,,
58.80,,,62.16,,
Program Components Factor,,,,,
Skating Skills  1.60 7.50 7.75 7.25 7.75 8.00 8.00 7.50 7.75 7.50,- - -,,7.65,,
Transition / Linking Footwork  1.60 7.25 7.00 6.75 7.50 7.50 7.75 7.00 7.50 6.75,- - -,,7.15,,
Performance / Execution  1.60 7.25 7.00 7.00 7.50 7.75 7.75 7.25 7.75 7.25,- - -,,7.35,,
Choreography / Composition  1.60 7.50 7.25 7.00 7.50 7.75 7.75 7.25 7.75 7.25,- - -,,7.40,,
Interpretation  1.60 7.50 7.25 7.00 7.25 7.75 7.75 7.00 7.25 7.00,- - -,,7.15,,
Judges Total Program Component Score (factored),,,58.72,,
Deductions: Falls: -1.00,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,
SENIOR PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total Total Total,Total,,,
NOC Segment Element Program  Component,Deductions,,,
Rank Name,,,,
Code Score Score Score (factored),,,,
"= + +",,-,,
3 Aliona SAVCHENKO / Robin SZOLKOWY GER  114.95  55.35  61.60,,2.00,,
"# Executed Base GOE The Judges Panel",,Scores,,
Elements Value (in random order),of Panel,,,
1 3T+2T+SEQ  4.24 -2.00 -2 -2 -2 -2 -1 -2 -2 -2 -2 - - -,,2.24,,
2 3LzTw2  5.50  0.70 0 0 1 1 -1 1 Info 1 1 1 - - -,,6.20,,Info
3 3S< <  1.30 -0.84 -2 -3 -2 -3 -2 -2 -3 -2 -3 - - -,,0.46,,
4 FCCoSp4  3.50  0.00 0 0 1 0 0 0 0 0 0 - - -,,3.50,,
5 BoDs4  4.50  0.98 1 2 1 1 1 1 2 2 1 - - -,,5.48,,
6 CiSt3  3.30  0.50 0 1 1 1 1 0 1 1 1 - - -,,3.80,,
7 3FTh  6.05 x -2.00 -3 -3 -3 -3 -2 -3 -3 -3 -3 - - -,,4.05,,
8 5ALi4  7.15 x  1.00 1 1 0 1 1 1 1 1 1 - - -,,8.15,,
9 5TLi4  6.60 x  0.50 0 1 1 1 0 1 1 2 0 - - -,,7.10,,
10 PCoSp4  4.50  0.30 1 1 1 1 1 1 0 0 0 - - -,,4.80,,
11 3Li4  4.40 x  0.50 1 1 1 1 2 1 1 1 1 - - -,,4.90,,
12 3STh  4.95 x -0.28 0 -1 -1 0 0 0 -1 0 1 - - -,,4.67,,
55.99,,55.35,,
Program Components Factor,,,,
Skating Skills  1.60 7.75 7.75 8.00 7.75 7.75 7.75 8.00 8.00 7.75 - - -,,7.85,,
Transition / Linking Footwork  1.60 7.50 8.00 7.75 7.50 7.25 7.50 7.50 7.75 7.25 - - -,,7.60,,
Performance / Execution  1.60 7.25 7.00 8.00 7.50 7.50 7.75 7.75 7.50 7.50 - - -,,7.60,,
Choreography / Composition  1.60 7.50 7.50 8.00 7.50 7.50 7.50 8.00 7.75 7.75 - - -,,7.70,,
Interpretation  1.60 7.25 7.25 8.00 7.75 7.50 7.75 7.75 8.00 7.50 - - -,,7.75,,
Judges Total Program Component Score (factored),,61.60,,
Deductions: Time violation: -1.00 Falls: -1.00,,-2.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Total Total Total,Total,,,
NOC Segment Element Program  Component,Deductions,,,
Rank Name,,,,
Code Score Score Score (factored),,,,
"= + +",,-,,
4 Yuko KAWAGUCHI / Alexander SMIRNOV RUS  112.03  56.51  55.52,,0.00,,
"# Executed Base GOE The Judges Panel",,Scores,,
Elements Value (in random order),of Panel,,,
1 3T+2T+SEQ  4.24  0.00 1 1 0 0 0 0 0 0 -1 - - -,,4.24,,
2 3LzTw1  5.00 -0.98 -1 -2 -2 -1 -2 -1 -2 1 -1 - - -,,4.02,,
3 4STh  8.00 -1.60 -1 -2 -2 -1 -1 -1 -1 -2 -2 - - -,,6.40,,
4 5ALi4  6.50  1.00 1 2 0 2 1 1 0 1 1 - - -,,7.50,,
5 3Li4  4.00  0.50 1 1 1 1 1 1 1 1 1 - - -,,4.50,,
6 FiDs4  3.50  0.00 1 0 -1 1 1 0 0 0 0 - - -,,3.50,,
7 2A  3.85 x -1.60 -2 -2 -2 -2 -2 -2 -2 -2 -2 - - -,,2.25,,
8 3LoTh  5.50 x  0.42 1 1 0 1 0 0 0 1 1 - - -,,5.92,,
9 5SLi4  6.60 x  0.20 1 0 0 1 0 1 0 1 0 - - -,,6.80,,
10 FCCoSp4  3.50  0.40 1 0 0 1 0 1 1 1 1 - - -,,3.90,,
11 SlSt3  3.30 -0.42 0 0 -1 1 -1 0 -1 -1 -1 - - -,,2.88,,
12 PCoSp4  4.50  0.10 1 1 0 1 1 0 0 0 0 - - -,,4.60,,
58.49,,56.51,,
Program Components Factor,,,,
Skating Skills  1.60 7.50 6.50 6.50 7.50 6.75 7.00 7.50 7.00 7.00 - - -,,7.00,,
Transition / Linking Footwork  1.60 7.25 6.25 6.25 7.25 6.00 6.50 7.00 5.00 6.75 - - -,,6.55,,
Performance / Execution  1.60 7.25 6.75 6.75 7.50 6.25 6.75 7.25 6.75 7.25 - - -,,6.95,,
Choreography / Composition  1.60 7.50 7.00 6.50 7.75 6.50 6.75 7.50 7.00 7.50 - - -,,7.15,,
Interpretation  1.60 7.25 7.25 6.75 7.50 6.50 6.75 7.25 7.00 7.00 - - -,,7.05,,
Judges Total Program Component Score (factored),,55.52,,
Deductions:,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,
SENIOR PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total Total Total,Total,,,
