"",,PACIFIC COLISEUM FIGURE SKATING,,,
"",,PACIFIC COLISEUM PATINAGE ARTISTIQUE,,,
"",,ICE DANCE,,,
"",,DANSE SUR GLACE,,,
"",,ORIGINAL DANCE,,,
"",,DANSE ORIGINALE,,,
"",,JUDGES DETAILS PER SKATER / NOTATION DÉTAILLÉE DES JUGES,,,
"",,SUN 21 FEB 2010 / DIM 21 FÉV 2010,,,
"",,Total Total,Total,Total,
Rank,Name,NOC Starting Segment Element Program  Component,,Deductions,
"",,Code Number Score Score Score (factored),,,
1,VIRTUE Tessa / MOIR Scott,CAN 22 68.41 Info32.90,35.51,0.00,Info
"# Executed",,Base GOE The Judges Panel,,Scores,
Elements,,Value (in random order),,of Panel,
1 CiSt3,,7.20 2.40 1 2 3 2 2 2 3 2 3,,9.60,
2 SqTw4,,6.50 1.30 1 2 3 3 2 2 2 3 3,,7.80,
3 CuLi4,,5.00 1.30 1 3 2 3 2 2 3 3 2,,6.30,
4 NtMiSt3,,7.00 2.20 2 2 2 3 2 2 2 3 2,,9.20,
5 Li+TRANS,,0.00 0.00 - - - - - - - - -,,0.00,
"",,25.70,,32.90,
Program Components,,Factor,,,
Skating Skills,,0.80 8.75 9.25 9.50 8.50 8.50 9.25 9.25 9.25 9.50,,9.30,
Transitions / Linking Footwork / Movement,,0.80 8.50 9.00 9.50 8.50 8.25 9.25 8.75 9.25 9.25,,9.10,
Performance / Execution,,0.60 9.00 9.25 9.75 9.00 8.50 9.50 9.50 9.75 9.50,,9.50,
Composition / Choreography,,0.60 8.75 9.25 9.75 8.75 8.50 9.75 9.25 9.25 9.50,,9.40,
Interpretation / Timing,,1.00 9.00 9.50 9.75 9.00 8.50 9.50 9.25 9.50 9.50,,9.45,
Judges Total Program Component Score (factored),,,,35.51,
Deductions:,,,,0.00,
"",,Total Total,Total,Total,
Rank,Name,NOC Starting Segment Element Program  Component,,Deductions,
"",,Code Number Score Score Score (factored),,,
2,DAVIS Meryl / WHITE Charlie,USA 19 67.08 32.60,34.48,0.00,
"# Executed",,Base GOE The Judges Panel,,Scores,
Elements,,Value (in random order),,of Panel,
1 NtMiSt3,,7.00 2.00 3 2 2 2 2 2 2 2 2,,9.00,
2 CuLi4,,5.00 1.00 3 2 2 2 1 2 2 2 2,,6.00,
3 CiSt4,,8.00 1.80 2 1 2 2 0 2 1 1 2,,9.80,
4 SqTw4,,6.50 1.30 2 1 3 3 2 3 2 2 3,,7.80,
5 Li+TRANS,,0.00 0.00 - - - - - - - - -,,0.00,
"",,26.50,,32.60,
Program Components,,Factor,,,
Skating Skills,,0.80 9.00 8.75 9.00 9.00 9.00 9.25 9.00 8.25 8.50,,8.95,
Transitions / Linking Footwork / Movement,,0.80 9.00 8.75 9.00 8.50 8.50 9.25 9.00 8.00 8.50,,8.85,
Performance / Execution,,0.60 9.25 9.25 9.25 9.00 9.00 9.25 9.50 8.25 8.50,,9.20,
Composition / Choreography,,0.60 9.25 9.00 9.25 9.25 8.75 9.25 9.50 8.25 8.50,,9.20,
Interpretation / Timing,,1.00 9.50 9.00 9.25 9.00 9.25 9.50 9.25 8.50 8.50,,9.20,
Judges Total Program Component Score (factored),,,,34.48,
Deductions:,,,,0.00,
FSX030201_77B 1.0,,Report Created / Rapport créé  SUN 21 FEB 2010 19:50 / DIM 21 FÉV 2010 19:50,,Page 1/12,
