"",,PACIFIC COLISEUM FIGURE SKATING,,,
"",,PACIFIC COLISEUM PATINAGE ARTISTIQUE,,,
"",,MEN,,,
"",,HOMMES,,,
"",,SHORT PROGRAM,,,
"",,PROGRAMME COURT,,,
"",,JUDGES DETAILS PER SKATER / NOTATION DÉTAILLÉE DES JUGES,,,
"",,TUE 16 FEB 2010 / MAR 16 FÉV 2010,,,
"",,Total Total,Total,Total,
Rank,Name,NOC Starting Segment Element Program  Component,,Deductions,
"",,Code Number Score Score Score (factored),,,
1,PLUSHENKO Evgeni,RUS 10 In9f0o.85 51.10,39.75,0.00,Info
"# Executed",,Base GOE The Judges Panel,,Scores,
Elements,,Value (in random order),,of Panel,
1 4T+3T,,13.80 1.00 1 1 1 1 1 1 1 0 1,,14.80,
2 3A,,8.20 1.80 2 2 2 1 1 3 2 1 2,,10.00,
3 3Lz,,6.00 1.20 1 2 1 0 1 2 1 1 2,,7.20,
4 CCoSp4,,3.50 0.80 1 2 2 2 2 2 2 1 1,,4.30,
5 CiSt3,,3.30 0.70 2 1 1 2 2 2 1 1 3,,4.00,
6 FSSp4,,3.00 0.40 0 1 1 1 1 1 1 0 2,,3.40,
7 SlSt3,,3.30 0.60 1 2 1 2 1 2 1 0 1,,3.90,
8 CSSp4,,3.00 0.50 0 1 1 1 1 1 2 1 1,,3.50,
"",,44.10,,51.10,
Program Components,,Factor,,,
Skating Skills,,1.00 8.50 8.00 7.75 8.50 8.00 8.75 8.25 7.00 9.25,,8.20,
Transitions / Linking Footwork,,1.00 7.50 7.50 5.00 8.00 7.50 7.75 5.00 6.00 8.75,,6.80,
Performance / Execution,,1.00 8.50 8.50 9.25 8.75 7.75 8.75 8.75 7.50 8.75,,8.65,
Choreography / Composition,,1.00 8.25 7.75 7.75 8.50 7.75 8.00 6.00 7.00 9.00,,7.85,
Interpretation,,1.00 8.50 8.00 8.00 8.75 8.00 8.75 8.00 7.50 9.25,,8.25,
Judges Total Program Component Score (factored),,,,39.75,
Deductions:,,,,0.00,
"",,Total Total,Total,Total,
Rank,Name,NOC Starting Segment Element Program  Component,,Deductions,
"",,Code Number Score Score Score (factored),,,
2,LYSACEK Evan,USA 28 90.30 48.30,42.00,0.00,
"# Executed",,Base GOE The Judges Panel,,Scores,
Elements,,Value (in random order),,of Panel,
1 3A,,8.20 1.20 1 1 1 1 1 2 1 2 2,,9.40,
2 3Lz+3T,,10.00 1.00 1 1 1 0 0 2 2 2 1,,11.00,
3 3F,,5.50 1.20 1 0 0 1 -2 2 2 1 2,,6.70,
4 CiSt4,,3.90 2.20 1 2 2 2 2 3 2 3 3,,6.10,
5 CSSp3,,2.60 0.60 0 1 1 1 1 2 1 2 2,,3.20,
6 FSSp4,,3.00 0.70 1 1 2 2 0 2 2 2 1,,3.70,
7 SlSt3,,3.30 0.70 0 1 2 2 0 2 2 3 2,,4.00,
8 CCoSp4,,3.50 0.70 2 1 2 2 1 3 1 2 1,,4.20,
"",,40.00,,48.30,
Program Components,,Factor,,,
Skating Skills,,1.00 8.25 8.50 8.00 8.50 8.00 8.75 7.75 9.00 7.50,,8.20,
Transitions / Linking Footwork,,1.00 8.00 8.50 8.00 8.50 6.75 7.75 7.75 8.75 7.75,,7.95,
Performance / Execution,,1.00 8.25 8.75 8.25 8.75 8.50 9.25 8.50 9.00 8.50,,8.60,
