10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Jenni VAHAMAA,FIN,0,77.85,34.33,45.52,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3F,,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
2,1Lz,!,0.6,False,-0.08,0,0,-1,-1,-1,-3,0,-1,-1,-1,,0.52
3,2S,,1.3,False,-0.12,0,0,0,-1,0,0,0,0,-1,-1,,1.18
4,FCSp3,,2.8,False,0.6,1,1,2,2,1,1,1,1,1,1,,3.4
5,2A+2T,,4.8,False,0.8,0,1,1,1,1,0,0,1,0,1,,5.6
6,3T,,4.4,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.4
7,SpSq3,,3.1,False,0.6,1,1,1,1,2,0,1,2,2,1,,3.7
8,2S,,1.43,True,0.0,0,1,0,0,0,0,0,0,0,0,,1.43
9,FSSp4,,3.0,False,0.3,1,1,1,1,1,0,0,1,0,0,,3.3
10,2F+2T,,3.3,True,0.1,0,1,1,0,1,0,0,0,0,0,,3.4
11,SlSt3,,3.3,False,0.2,1,1,0,0,1,0,0,1,1,0,,3.5
12,CCoSp4,,3.5,False,0.9,2,2,2,2,2,0,1,2,1,2,,4.4
,,,37.03,,,,,,,,,,,,,,34.33
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.25,5.25,7.0,6.25,6.75,4.75,6.75,5.75,5.0,5.0,,5.8
,Transition / Linking Footwork  ,,,,1.6,5.25,5.0,6.75,5.75,6.0,4.25,5.5,5.5,4.75,4.75,,5.3
,Performance / Execution  ,,,,1.6,5.5,5.75,6.0,6.0,6.25,4.0,5.5,5.75,5.25,5.0,,5.65
,Choreography / Composition  ,,,,1.6,5.75,5.5,7.0,5.75,6.5,4.0,6.0,6.0,5.25,4.75,,5.7
,Interpretation  ,,,,1.6,5.5,5.75,6.75,6.25,6.25,4.25,6.25,6.25,5.5,4.75,,6.0
,,,,,,,,,,,,,,,,,45.52
Deduction,Falls,-2.0
