ISU GP LEXUS Cup of China 2013,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Adelina SOTNIKOVA RUS  9,66.03  35.86,,30.17,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz+3Lo< <  9.60 -1.60 -3 -2 -2,-2 -3 -2 -1,,-3 -2,8.00,
2 3F  5.30  0.80 1 1 1,2 2 1 1,,1 1,6.10,
3 CCoSp4  3.50  1.00 2 2 2,2 2 1 2,,2 2,4.50,
4 2A  3.63 x  0.79 1 2 1,2 1 2 2,,1 2,4.42,
Info,,,Info,,Info
5 LSp4  2.70  0.57 1 1 2,1 1 1 1,,2 1,3.27,
6 StSq4  3.90  1.40 2 2 2,2 3 2 2,,1 2,5.30,
7 FCSp4  3.20  1.07 3 2 3,2 2 2 2,,1 2,4.27,
31.83,,,,35.86,
Program Components Factor,,,,,
Skating Skills  0.80 8.00 7.25 8.25,7.50 7.50 7.50 7.25,,7.75 7.75,7.61,
Transition / Linking Footwork  0.80 7.25 7.00 7.75,7.00 6.75 7.25 7.00,,7.25 7.50,7.18,
Performance / Execution  0.80 8.25 7.75 8.25,7.50 7.50 7.50 7.25,,7.50 7.75,7.68,
Choreography / Composition  0.80 8.25 7.25 8.00,7.25 7.00 7.75 7.00,,7.75 7.50,7.50,
Interpretation  0.80 8.25 7.25 8.25,7.50 7.75 7.75 7.25,,7.50 8.25,7.75,
Judges Total Program Component Score (factored),,,,30.17,
Deductions:,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Carolina KOSTNER ITA  10,62.75  30.45,,33.30,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T< <  7.00 -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,4.90,
2 3Lo  5.10  0.90 1 1 2,0 1 2 1,,1 2,6.00,
3 CCoSp4  3.50  0.79 2 2 2,1 1 2 2,,1 1,4.29,
4 2A  3.63 x  0.14 0 1 1,0 0 0 0,,-1 1,3.77,
5 FCSp3  2.80  0.29 1 1 1,0 0 1 1,,0 -1,3.09,
6 StSq4  3.90  1.60 2 3 2,3 2 3 2,,2 2,5.50,
7 LSp3  2.40  0.50 1 1 1,1 1 1 2,,-1 1,2.90,
28.33,,,,30.45,
Program Components Factor,,,,,
Skating Skills  0.80 8.75 9.00 8.25,8.00 9.25 8.25 8.50,,8.00 8.00,8.39,
Transition / Linking Footwork  0.80 8.00 8.50 7.50,7.25 8.75 7.50 8.00,,8.00 8.00,7.93,
Performance / Execution  0.80 8.50 8.50 8.00,7.75 9.25 7.75 8.50,,8.00 8.25,8.21,
Choreography / Composition  0.80 8.75 9.00 8.25,8.00 9.00 7.75 8.50,,8.25 8.50,8.46,
Interpretation  0.80 8.75 9.25 8.00,7.75 9.75 8.50 8.75,,8.25 9.00,8.64,
Judges Total Program Component Score (factored),,,,33.30,
Deductions: Falls: -1.00,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Anna POGORILAYA RUS  2,60.24  34.86,,25.38,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
