11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Cathy REED / Chris REED,JPN,0,40.88,22.79,19.09,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,NtMiTw3,,2.8,False,-0.5,0,-1,-1,-3,-1,-1,-2,0,-2,0,-1,,2.3
2,NtMiSt3,,3.8,False,0.0,1,1,-1,0,1,0,-1,0,-1,1,0,,3.8
3,CoSp4,,4.7,False,0.17,0,0,0,0,0,1,0,1,1,0,1,,4.87
4,CuLi4,,4.0,False,0.25,0,0,1,0,0,1,0,1,0,1,2,,4.25
5,DiSt2,,5.4,False,-2.0,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,,3.4
6,RoLi4,,4.0,False,0.17,1,0,1,0,0,1,0,1,0,0,1,,4.17
,,,24.7,,,,,,,,,,,,,,,22.79
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,5.5,5.5,5.5,5.0,5.25,5.75,5.0,5.25,5.25,5.5,5.0,,5.29
,Linking Footwork / Movement ,,,,0.8,5.25,4.75,5.25,4.5,4.75,5.5,4.75,5.25,4.5,5.5,4.25,,4.88
,Performance ,,,,0.6,5.0,5.25,5.0,4.75,5.25,5.5,4.25,5.25,4.5,5.75,4.75,,5.0
,Choreography ,,,,0.6,5.25,5.25,5.25,4.75,4.75,5.75,4.5,5.5,4.75,5.5,4.5,,5.0
,Interpretation / Timing ,,,,1.0,5.25,5.0,5.0,4.5,4.75,5.5,4.25,5.75,4.75,5.75,4.5,,4.96
,,,,,,,,,,,,,,,,,,19.09
Deduction,Falls,-1.0
