ISU GP HomeSense Skate Canada Int. 2008,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Yannick PONSERO FRA,,78.05  44.70,,,33.35,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T+2T  11.10  0.80 1 0 1 2,,1 1 0 1,,1,1 - -,11.90,
2 3A  8.20  1.60 1 2 2 2,,1 2 2 In1fo,,1,1 - -,9.80,Info
3 3Lz  6.00  0.00 0 0 0 0,,0 1 -1 0,,0,0 - -,6.00,
4 CCSp4  3.20  0.10 0 0 0 0,,0 0 0 1,,0,1 - -,3.30,
5 SlSt3  3.30  0.70 1 2 1 2,,1 1 2 1,,1,1 - -,4.00,
6 FSSp4  3.00  0.50 1 1 1 1,,0 0 1 0,,0,1 - -,3.50,
7 CiSt2  2.30  0.30 0 0 1 1,,1 0 2 1,,2,0 - -,2.60,
8 CCoSp4  3.50  0.10 1 0 0 1,,0 0 -1 0,,-1,0 - -,3.60,
40.60,,,,,,44.70,
Program Components Factor,,,,,,,
Skating Skills  1.00 6.75 6.25 7.00 6.50,,6.25 7.00 6.75 7.00,,7.25,6.75 - -,6.75,
Transition / Linking Footwork  1.00 6.25 6.00 6.25 6.50,,5.75 6.50 6.00 6.00,,5.00,6.50 - -,6.20,
Performance / Execution  1.00 6.50 7.75 6.75 6.75,,6.50 6.75 7.00 6.75,,7.25,6.75 - -,6.80,
Choreography / Composition  1.00 6.75 7.00 7.00 7.00,,6.50 7.00 6.50 6.50,,6.50,6.50 - -,6.75,
Interpretation  1.00 6.50 7.50 7.00 7.25,,6.25 7.00 7.00 6.50,,6.50,6.50 - -,6.85,
Judges Total Program Component Score (factored),,,,,,33.35,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Patrick CHAN CAN,,77.47  41.42,,,36.05,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  8.20 -0.64 -1 1 0 -1,,-1 -1 1 -2,,0,-1 - -,7.56,
2 3F+3T  9.50  1.40 1 2 1 1,,1 1 2 2,,2,1 - -,10.90,
3 3Lz  6.00  1.00 1 1 1 2,,2 1 1 1,,2,1 - -,7.00,
4 CiSt3  3.30  0.70 1 1 1 2,,2 1 2 2,,3,1 - -,4.00,
5 CSSp3  2.60  0.40 0 1 0 1,,0 0 1 1,,1,1 - -,3.00,
6 FSSp4  3.00  0.00 0 0 0 0,,1 0 0 0,,1,0 - -,3.00,
7 SlSt3  3.30  0.16 -1 1 0 2,,1 -2 1 1,,2,-1 - -,3.46,
8 CCoSp2  2.50  0.00 0 0 0 0,,0 0 0 0,,0,1 - -,2.50,
38.40,,,,,,41.42,
Program Components Factor,,,,,,,
Skating Skills  1.00 7.00 8.25 7.50 7.00,,8.50 6.75 8.50 7.25,,8.50,7.00 - -,7.40,
Transition / Linking Footwork  1.00 6.50 8.00 7.00 7.00,,8.25 7.00 8.25 6.50,,7.50,6.50 - -,7.00,
Performance / Execution  1.00 7.00 7.50 7.50 7.50,,8.25 6.50 8.00 7.00,,8.25,6.75 - -,7.30,
Choreography / Composition  1.00 7.00 7.25 7.50 7.25,,8.50 6.50 8.25 6.75,,8.50,7.00 - -,7.20,
Interpretation  1.00 6.75 7.25 7.25 7.50,,8.50 6.75 8.00 7.00,,8.25,6.75 - -,7.15,
Judges Total Program Component Score (factored),,,,,,36.05,
Deductions:,,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
ISU GP HomeSense Skate Canada Int. 2008,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
Code,,Score Score,,Score (factored),,
