ISU GP HomeSense Skate Canada Int. 2008,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
1 Jessica DUBE / Bryce DAVISON CAN,,116.40  60.16  56.24,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3LzTw1  5.00 -1.26 -2 -1 -2 0,,-2 -2 -2 -1 -1 -2 - -,,3.74,,
2 2A+2A+SEQ  5.60  1.20 1 2 1 1,,1 1 Info 1 1 1 2 - -,,6.80,,Info
3 5ALi4  6.50  1.00 2 1 1 1,,1 1 1 1 1 1 - -,,7.50,,
4 3LzTh  5.50  0.14 1 1 0 0,,0 0 1 1 2 0 - -,,5.64,,
5 3S  4.50  0.00 1 0 0 0,,0 0 0 0 1 1 - -,,4.50,,
6 FCCoSp3  3.00  0.10 1 0 1 0,,0 0 1 1 -1 -1 - -,,3.10,,
7 5SLi4  6.60 x  0.50 1 1 1 1,,1 1 0 1 1 1 - -,,7.10,,
8 3LoTh  5.50 x -0.84 -1 -1 -1 0,,-1 -2 -2 -2 -1 -1 - -,,4.66,,
9 3Li4  4.40 x  0.40 1 0 1 0,,1 2 1 1 1 1 - -,,4.80,,
10 SlSt3  3.30  0.40 1 0 1 1,,1 0 1 0 0 1 - -,,3.70,,
11 BiDs3  3.20  0.42 1 0 1 0,,1 1 0 0 0 1 - -,,3.62,,
12 PCoSp4  4.50  0.50 1 0 1 1,,1 1 2 2 0 1 - -,,5.00,,
57.60,,,,60.16,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 7.00 7.50 6.75,,7.00 7.50 7.00 7.25 7.00 7.25 - -,,7.15,,
Transition / Linking Footwork  1.60 7.00 6.50 7.00 6.50,,6.75 7.00 7.00 7.00 6.50 7.00 - -,,6.85,,
Performance / Execution  1.60 7.50 6.75 7.50 6.75,,6.75 7.25 7.50 7.50 7.25 7.25 - -,,7.10,,
Choreography / Composition  1.60 7.25 6.50 7.25 6.75,,6.75 7.50 7.25 7.25 7.25 7.25 - -,,7.05,,
Interpretation  1.60 7.50 6.25 7.00 6.50,,7.00 7.25 7.25 7.25 6.75 7.25 - -,,7.00,,
Judges Total Program Component Score (factored),,,,56.24,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
2 Yuko KAWAGUCHI / Alexander SMIRNOV RUS,,111.95  54.99  56.96,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 2T+3T+SEQ  4.24 -1.60 0 -2 -2 -1,,-1 -2 -1 0 -1 -2 - -,,2.64,,
2 3LzTw2  5.50 -0.14 1 0 -1 0,,0 -1 0 1 -1 1 - -,,5.36,,
3 3STh  4.50  0.28 1 0 0 1,,1 1 0 1 1 0 - -,,4.78,,
4 5ALi4  6.50  1.00 1 1 -1 1,,1 1 1 1 2 2 - -,,7.50,,
5 3Li4  4.00  0.50 0 0 1 1,,1 2 0 1 0 2 - -,,4.50,,
6 FiDs3  3.20  0.00 1 -2 0 0,,2 1 -1 0 0 0 - -,,3.20,,
7 3LoTh  5.50 x  0.00 0 0 -1 0,,0 0 0 0 -1 0 - -,,5.50,,
8 2A  3.85 x -0.64 -1 -1 -1 -1,,0 -1 -1 -1 -1 0 - -,,3.21,,
9 5SLi4  6.60 x  0.30 0 0 0 0,,1 1 1 1 0 1 - -,,6.90,,
10 FCCoSp3  3.00  0.10 0 0 -1 0,,1 0 0 0 1 1 - -,,3.10,,
11 SlSt3  3.30  0.30 1 0 0 2,,1 0 1 1 0 1 - -,,3.60,,
12 PCoSp4  4.50  0.20 0 0 0 0,,1 0 1 1 0 1 - -,,4.70,,
54.69,,,,54.99,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.00 6.75 6.75 7.25,,7.50 7.25 6.75 7.25 7.25 7.50 - -,,7.10,,
Transition / Linking Footwork  1.60 6.75 6.50 6.75 6.75,,7.25 7.00 7.00 7.00 7.00 7.00 - -,,6.90,,
Performance / Execution  1.60 7.00 7.00 6.75 7.25,,7.25 7.50 7.25 7.00 7.25 7.25 - -,,7.20,,
Choreography / Composition  1.60 7.25 6.75 7.50 7.00,,7.50 7.25 6.75 7.25 7.00 7.50 - -,,7.20,,
Interpretation  1.60 7.25 6.75 7.00 7.00,,7.50 7.50 7.25 7.00 7.25 7.25 - -,,7.20,,
Judges Total Program Component Score (factored),,,,56.96,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP HomeSense Skate Canada Int. 2008,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
3 Keauna MCLAUGHLIN / Rockne BRUBAKER USA,,100.85  47.49,53.36,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3LzTw3  6.00  0.70 1 0 1 1,,1 1 1 1 1,1 - -,,6.70,,
2 1S+COMBO  0.40 -0.30 -3 -3 -3 -3,,-3 -2Info -3 -3 -3,-3 - -,,0.10,,Info
3 3Li4  4.00  0.40 1 1 1 1,,0 1 1 1 1,0 - -,,4.40,,
4 2T  1.30 -0.68 -2 -2 -3 -2,,-2 -2 -3 -2 -3,-2 - -,,0.62,,
5 3STh  4.50  1.26 1 2 2 1,,1 2 2 2 2,2 - -,,5.76,,
6 CCoSp4  3.50 -0.18 1 0 0 -1,,-1 0 -1 0 -1,-1 - -,,3.32,,
7 BoDs2  3.50  0.00 0 0 -1 0,,0 1 0 0 0,0 - -,,3.50,,
8 5TLi4  6.60 x  0.00 0 0 -1 0,,0 0 0 0 0,0 - -,,6.60,,
9 PSp* *  0.00  0.00 - - - -,,- - - - -,- - -,,0.00,,
10 SlSt2  2.30  0.30 0 0 1 0,,1 1 0 0 1,1 - -,,2.60,,
11 3LoTh  5.50 x  0.84 1 1 1 1,,1 2 1 1 2,2 - -,,6.34,,
12 5ALi4  7.15 x  0.40 1 0 0 0,,1 1 1 0 1,0 - -,,7.55,,
44.75,,,,,47.49,,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.00 6.00 7.25 6.75,,6.75 7.75 6.75 6.50 7.25,7.25 - -,,6.95,,
Transition / Linking Footwork  1.60 6.50 5.75 6.00 6.25,,6.25 7.25 7.00 6.25 6.75,6.75 - -,,6.45,,
Performance / Execution  1.60 6.25 6.25 6.75 6.50,,6.25 7.50 6.50 6.50 6.50,7.00 - -,,6.60,,
Choreography / Composition  1.60 6.75 6.50 6.75 6.50,,6.50 7.50 7.00 6.50 6.75,7.00 - -,,6.75,,
Interpretation  1.60 6.50 6.00 6.50 6.50,,6.50 7.50 6.75 6.50 6.50,6.75 - -,,6.60,,
Judges Total Program Component Score (factored),,,,,53.36,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
4 Mylene BRODEUR / John MATTATALL CAN,,98.38  54.38,44.00,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 5ALi4  6.50  1.00 0 1 1 1,,1 1 1 1 1,1 - -,,7.50,,
2 3T  4.00  0.40 1 0 0 1,,1 0 0 0 0,1 - -,,4.40,,
3 2FTw4  4.50  0.00 0 0 0 0,,0 0 1 0 0,0 - -,,4.50,,
4 3LoTh  5.00 -1.40 -2 -2 -2 -2,,-2 -2 -2 -2 -2,-2 - -,,3.60,,
5 FCCoSp4  3.50 -0.06 -1 0 -2 0,,0 0 -1 -1 -1,0 - -,,3.44,,
6 PCoSp4  4.50 -0.06 0 0 -1 0,,0 -1 0 0 0,0 - -,,4.44,,
7 3Li3  3.85 x  0.00 0 0 -1 0,,1 0 0 0 0,0 - -,,3.85,,
8 2A+2T  5.28 x  0.00 0 0 0 0,,0 1 0 0 0,0 - -,,5.28,,
9 SlSt2  2.30 -0.24 -1 -1 0 -1,,-1 -2 -1 -1 -1,1 - -,,2.06,,
10 3STh  4.95 x  0.70 1 1 1 1,,0 1 1 0 1,1 - -,,5.65,,
11 5SLi4  6.60 x  0.00 0 0 -1 0,,1 0 0 0 0,0 - -,,6.60,,
12 BiDs3  3.20 -0.14 0 0 1 -1,,0 0 -1 -1 0,0 - -,,3.06,,
54.18,,,,,54.38,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.25 5.50 6.00 6.00,,6.25 6.25 5.75 5.50 5.50,5.75 - -,,5.95,,
Transition / Linking Footwork  1.60 5.75 4.25 4.50 5.00,,5.75 5.75 5.00 5.00 5.00,5.00 - -,,5.05,,
Performance / Execution  1.60 6.25 4.50 5.75 5.75,,6.00 6.00 5.50 5.50 5.75,5.50 - -,,5.70,,
Choreography / Composition  1.60 6.00 4.75 5.50 5.50,,6.00 5.50 5.50 5.50 5.25,5.50 - -,,5.50,,
Interpretation  1.60 6.25 4.50 5.00 5.50,,5.75 5.75 5.25 5.25 5.50,5.00 - -,,5.30,,
Judges Total Program Component Score (factored),,,,,44.00,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP HomeSense Skate Canada Int. 2008,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
