ISU GP HomeSense Skate Canada Int. 2008,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Joannie ROCHETTE CAN,,124.15  63.99,60.16,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+2T+2Lo  8.80  0.60 1 0 2 1,,1 1 1 0 0,1 - -,,9.40,,
2 3F  5.50  1.60 2 1 1 1,,2 2 Info 2 2 2,2 - -,,7.10,,Info
3 3Lo  5.00  1.20 1 0 1 2,,1 1 1 1 2,1 - -,,6.20,,
4 FSSp4  3.00  0.40 1 1 1 1,,1 1 1 1 0,0 - -,,3.40,,
5 USp4  2.40 -0.06 0 0 1 0,,-1 2 -1 0 -1,0 - -,,2.34,,
6 3Lz  6.60 x  1.60 1 1 2 2,,2 2 1 1 2,2 - -,,8.20,,
7 3T+3S+SEQ  7.48 x -1.00 0 -1 -1 -1,,0 0 0 -1 -1,-1 - -,,6.48,,
8 SlSt3  3.30  0.70 1 1 2 2,,2 2 1 2 1,1 - -,,4.00,,
9 SpSq4  3.40  1.00 2 1 2 1,,1 2 1 1 0,1 - -,,4.40,,
10 2A+1A+SEQ  3.78 x  0.00 0 0 0 1,,1 0 0 0 0,0 - -,,3.78,,
11 3S  4.95 x  0.80 1 1 1 1,,0 0 0 0 1,1 - -,,5.75,,
12 CCoSp3  3.00 -0.06 0 -1 0 0,,0 -1 -1 1 0,0 - -,,2.94,,
57.21,,,,,63.99,,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.50 7.25 7.75 7.50,,8.00 7.50 7.75 7.75 7.00,7.50 - -,,7.55,,
Transition / Linking Footwork  1.60 7.25 7.00 7.75 7.00,,8.25 7.00 7.50 7.50 6.75,7.00 - -,,7.20,,
Performance / Execution  1.60 7.50 7.50 8.50 7.25,,8.00 7.75 8.00 8.25 7.25,7.75 - -,,7.75,,
Choreography / Composition  1.60 7.50 7.25 8.50 7.00,,8.25 8.00 7.50 8.00 6.75,7.50 - -,,7.45,,
Interpretation  1.60 7.50 7.75 8.50 7.25,,8.25 8.00 7.50 8.25 7.00,7.50 - -,,7.65,,
Judges Total Program Component Score (factored),,,,,60.16,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Alissa CZISNY USA,,108.26  56.18,52.08,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+2T  7.30  0.00 0 0 0 0,,1 0 0 1 -1,0 - -,,7.30,,
2 3F  5.50  0.00 0 0 0 0,,-1 -1 0 0 0,0 - -,,5.50,,
3 3Lo  5.00  0.60 -1 1 0 1,,1 1 0 0 1,1 - -,,5.60,,
4 FSSp3  2.60  0.70 1 1 2 2,,2 1 1 2 1,1 - -,,3.30,,
5 2A  3.50 -0.80 -1 -1 -1 -1,,-1 -1 -1 -1 -1,-1 - -,,2.70,,
6 3Lz  6.60 x -2.00 -2 -2 -2 -2,,-2 -2 -2 -2 -2,-2 - -,,4.60,,
7 3T+2T  5.83 x -0.20 0 0 0 0,,0 0 0 0 -1,-1 - -,,5.63,,
8 SpSq4  3.40  2.00 2 2 3 2,,2 0 2 2 2,2 - -,,5.40,,
9 2A  3.85 x  0.00 0 0 0 0,,0 0 0 0 0,0 - -,,3.85,,
10 CiSt3  3.30  0.50 1 1 1 1,,2 0 1 1 2,1 - -,,3.80,,
11 CCoSp4  3.50  1.10 3 2 3 2,,3 2 2 3 2,2 - -,,4.60,,
12 LSp4  2.70  1.20 2 2 2 2,,3 2 3 2 3,3 - -,,3.90,,
53.08,,,,,56.18,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 6.75 7.00 6.25,,7.25 6.00 7.25 6.25 6.75,6.50 - -,,6.65,,
