MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Tomas VERNER,CZE,,76.56  41.14,,,35.42,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50,1.00 1 -1 1 1,,1 1 1 1,,1,1 1 2,10.50
2 3A  7.50,1.00 2 1 1 1,,1 1 1 1,,1,0 1 2,8.50
3 3Lz  6.00,1.00 1 1 1 1,,1 1 1 1,,1,0 2 1,7.00
4 CSSp4  3.00,0.36 0 2 1 -1,,0 0 1 1,,0,1 0 1,3.36
5 SlSt3  3.10,0.57 1 1 1 0,,2 1 1 1,,1,2 1 1,3.67
6 FSSp3  2.30,0.14 1 0 0 0,,1 0 1 1,,0,0 0 0,2.44
7 CiSt2  2.30,0.50 2 0 1 1,,1 1 1 2,,1,1 1 1,2.80
8 CCoSp3  3.00,-0.13 -1 -1 0 -1,,0 0 1 -1,,0,0 -1 -1,2.87
36.70,,,,,,,41.14
Program Components,Factor,,,,,,
Skating Skills,1.00 7.00 7.50 7.00 7.00,,7.25 6.75 7.50 7.00,,7.25,7.00 7.75 7.25,7.25
Transition / Linking Footwork,1.00 7.00 6.75 6.75 6.75,,6.75 6.50 7.00 6.75,,6.50,6.50 7.25 7.25,6.82
Performance / Execution,1.00 7.50 7.50 7.00 7.00,,7.00 7.00 7.25 7.00,,7.00,7.00 8.00 7.75,7.21
Choreography / Composition,1.00 7.50 7.50 6.50 7.25,,6.75 7.00 7.25 7.00,,6.50,6.75 7.75 7.25,7.00
Interpretation,1.00 7.50 7.25 6.75 7.50,,7.00 7.00 7.50 7.25,,6.75,6.75 7.75 7.50,7.14
Judges Total Program Component Score (factored),,,,,,,35.42
Deductions:,,,,,,,0.00
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Brian JOUBERT,FRA,,75.18  37.82,,,37.36,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 4T+COMBO  9.00,-3.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 -3 -3,6.00
2 3A  7.50,0.71 1 0 1 0,,1 1 1 1,,1,0 0 1,8.21
3 FSSp4  3.00,0.50 1 2 1 1,,1 1 1 1,,1,1 1 1,3.50
4 3F  5.50,1.14 1 1 1 1,,2 2 1 1,,1,0 1 2,6.64
5 CiSt2  2.30,0.50 2 1 0 1,,2 1 1 2,,1,0 0 2,2.80
6 CCoSp4  3.50,0.50 1 1 1 0,,1 0 1 1,,1,1 1 1,4.00
7 SlSt3  3.10,0.43 1 1 0 1,,2 1 1 2,,0,1 0 1,3.53
8 CSSp4  3.00,0.14 0 0 0 0,,1 0 1 1,,0,0 -1 0,3.14
36.90,,,,,,,37.82
Program Components,Factor,,,,,,
Skating Skills,1.00 7.25 7.50 7.00 7.50,,7.75 7.00 8.00 7.50,,8.00,7.50 7.25 7.25,7.54
Transition / Linking Footwork,1.00 7.00 7.00 6.75 7.25,,7.50 6.75 7.25 7.25,,7.25,7.00 7.25 7.25,7.18
Performance / Execution,1.00 7.50 8.00 7.25 7.50,,8.00 7.25 7.75 7.75,,7.25,7.25 7.25 7.50,7.54
Choreography / Composition,1.00 7.50 8.00 7.00 7.50,,7.50 7.00 7.75 7.50,,7.50,7.25 7.50 7.25,7.46
Interpretation,1.00 7.25 8.25 7.00 7.75,,7.75 7.25 8.00 8.00,,7.75,7.50 7.00 7.50,7.64
Judges Total Program Component Score (factored),,,,,,,37.36
Deductions:,,,,,,,0.00
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Sergei DAVYDOV,BLR,,70.14  37.47,,,32.67,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3A  7.50,0.29 1 0 0 0,,1 1 1 0,,0,0 1 0,7.79
