PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Aliona SAVCHENKO / Robin SZOLKOWY,GER,,134.01  69.38,,,64.63,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3FTh  5.50  1.40,2 2 2,2,2 2 1 3,,1,2 2 2,6.90
2 3T+3T+SEQ  6.40  1.29,2 1 1,1,1 1 1 2,,0,1 3 2,7.69
3 3LzTw1  4.50  0.40,0 0 0,0,1 1 0 1,,1,-1 1 1,4.90
4 5TLi4  6.00  0.34,1 1 1,0,2 2 0 1,,1,0 2 1,6.34
5 SpSq3  3.10  0.86,2 2 1,1,1 0 2 3,,2,0 2 3,3.96
6 5ALi4  6.50  1.43,1 1 2,1,2 1 1 2,,1,1 2 3,7.93
7 3STh  4.95 x  1.49,2 1 2,2,2 2 1 3,,2,1 3 3,6.44
8 2A  3.63 x  0.29,0 0 0,0,1 0 0 1,,0,0 0 1,3.92
9 FCCoSp4  3.50  0.43,1 1 0,1,2 1 1 0,,0,1 2 2,3.93
10 SlSt3  3.10  0.50,1 1 0,1,1 0 1 2,,1,1 2 2,3.60
11 3Li4  4.00  0.26,0 1 1,0,1 1 0 2,,1,1 1 1,4.26
12 BoDs3  4.00  0.30,-1 1 0,0,1 0 0 1,,0,0 2 1,4.30
13 PCoSp4  4.50  0.71,1 1 1,1,2 1 0 2,,2,1 2 2,5.21
59.68,,,,,,,69.38
Program Components Factor,,,,,,,
Skating Skills  1.60,8.00 8.00 7.75,8.00,8.25 8.00 7.25 8.50,,8.25,8.00 8.25 8.25,8.11
Transition / Linking Footwork  1.60,8.00 7.75 7.50,7.25,8.00 7.75 7.00 8.50,,7.75,7.50 8.25 8.00,7.82
Performance / Execution  1.60,8.50 8.00 8.00,7.75,8.50 7.75 7.50 8.75,,8.25,8.00 8.50 8.50,8.21
Choreography / Composition  1.60,8.50 8.00 7.75,7.75,8.00 8.00 7.25 8.50,,8.25,7.75 8.25 8.25,8.11
Interpretation  1.60,8.00 8.00 7.50,8.00,8.50 7.75 7.50 9.00,,8.00,8.00 8.50 8.75,8.14
Judges Total Program Component Score (factored),,,,,,,64.63
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Maria PETROVA / Alexei TIKHONOV,RUS,,117.39  58.12,,,59.27,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3LzTw1  4.50  0.30,-1 1 0,0,0 0 1 1,,1,-1 1 1,4.80
2 3T  4.00 -2.00,-2 -2 -2,-2,-2 -2 -2 -2,,-1,-2 -2 -2,2.00
3 2A+2A+SEQ  5.28 -0.60,-2 -1 -1,0,-1 -1 0 -1,,0,0 -1 -1,4.68
4 3LoTh  5.00  1.30,2 2 1,2,2 2 2 2,,1,1 2 2,6.30
5 5ALi4  6.50  1.00,1 1 1,1,1 1 1 1,,0,2 2 1,7.50
6 5SLi4  6.00  0.30,2 1 0,1,1 1 2 2,,1,1 2 0,6.30
7 FiDs4  3.50  0.50,1 1 1,1,0 0 1 2,,0,1 0 1,4.00
8 3STh  4.95 x  0.60,2 0 0,1,1 1 2 2,,1,0 2 0,5.55
9 3Li4  4.00  0.34,2 1 2,0,1 1 1 1,,1,1 2 1,4.34
10 SpSq3  3.10  0.21,1 1 0,0,0 0 0 0,,1,0 1 1,3.31
11 FCCoSp1  2.00 -0.26,-1 -1 -1,0,-1 -1 -1 -1,,-1,-1 -1 0,1.74
12 SlSt3  3.10  0.00,1 0 0,0,0 0 0 0,,0,0 0 0,3.10
13 PCoSp4  4.50  0.00,0 0 0,0,0 0 0 0,,0,0 0 0,4.50
56.43,,,,,,,58.12
Program Components Factor,,,,,,,
Skating Skills  1.60,7.25 7.75 7.00,7.50,7.50 8.00 7.50 8.00,,8.00,7.50 7.50 7.50,7.64
