ISU GP Hilton HHonors Skate America 2011,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Alissa CZISNY USA  9,64.20  33.03,,,31.17,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+2T  7.30  0.50 1 1 1,1 0 1 0,,,0 1,7.80,
2 3F e  5.30 -1.00 -2 -1 -1,-1 -2 -2 -1,,,-2 -1,4.30,
3 2A  3.30  0.21 1 1 0,0 0 1 0,,,0 2,3.51,
4 FCSp4  3.20  0.86 2 2 2,1 1 2 2,,,1 2,4.06,
Info,Info,,,,,Info
5 CiSt3  3.30  1.00 2 2 2,1 2 2 2,,,2 2,4.30,
6 CCoSp4  3.50  1.36 2 3 3,2 3 3 3,,,3 2,4.86,
7 LSp4  2.70  1.50 3 3 3,2 3 3 3,,,3 3,4.20,
28.60,,,,,33.03,
Program Components Factor,,,,,,
Skating Skills  0.80 7.50 7.25 8.00,7.75 7.75 8.00 8.00,,,7.75 7.75,7.79,
Transition / Linking Footwork  0.80 7.25 7.25 7.75,7.50 7.50 8.00 7.25,,,7.50 7.50,7.46,
Performance / Execution  0.80 7.75 7.50 8.25,8.00 7.75 8.00 8.25,,,8.00 8.00,7.96,
Choreography / Composition  0.80 7.50 7.25 8.25,7.75 7.50 8.00 8.00,,,8.00 8.00,7.82,
Interpretation  0.80 7.50 7.50 8.50,8.00 7.75 8.00 8.25,,,8.00 8.00,7.93,
Judges Total Program Component Score (factored),,,,,31.17,
Deductions:,,,,,0.00,
e  Jump take off with wrong edge,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Carolina KOSTNER ITA  10,60.23  30.66,,,29.57,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T  8.20  1.10 2 1 2,1 0 2 1,,,2 2,9.30,
2 3Lo  5.10 -0.40 -1 -1 -1,0 -1 0 -1,,,0 0,4.70,
3 FCSp4  3.20  0.21 0 0 0,1 0 1 0,,,1 1,3.41,
4 2A  3.30  0.36 0 1 0,1 0 2 0,,,1 2,3.66,
5 LSp3  2.40  0.21 0 0 1,0 0 1 0,,,1 1,2.61,
6 CiSt3  3.30  0.04 -1 -1 0,0 1 0 0,,,1 1,3.34,
7 CCoSp4  3.50  0.14 0 0 0,1 0 1 -1,,,1 0,3.64,
29.00,,,,,30.66,
Program Components Factor,,,,,,
Skating Skills  0.80 7.50 7.50 8.00,7.75 7.25 7.50 7.25,,,7.25 7.50,7.46,
Transition / Linking Footwork  0.80 7.50 7.00 7.75,7.25 7.00 7.25 7.00,,,7.25 7.25,7.21,
Performance / Execution  0.80 7.25 7.50 7.50,7.50 7.00 7.25 6.75,,,7.50 7.50,7.36,
Choreography / Composition  0.80 7.75 7.50 8.00,7.50 7.25 7.50 7.00,,,7.25 7.50,7.46,
Interpretation  0.80 7.75 7.25 7.75,7.50 7.50 7.50 7.00,,,7.25 7.50,7.46,
Judges Total Program Component Score (factored),,,,,29.57,
Deductions:,,,,,0.00,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
3 Caroline ZHANG USA  2,55.05  29.36,,,25.69,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3F+2T  6.60  0.70 1 1 1,1 1 1 1,,,0 1,7.30,
