ISU Grand Prix of Figure Skating Final,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Kaitlyn WEAVER / Andrew POJE CAN  6,109.91  53.63,,,56.28,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 STw4  6.60  1.03 2 2 2,2 2 1 1,,,2 1,7.63,
2 CiSt3  7.10  2.67 2 3 2,3 3 2 2,,,3 2,9.77,
3 SlLi4  4.50  0.77 0 2 2,2 -1 1 1,,,1 2,5.27,
4 CoSp4  5.60  1.11 2 3 2,2 2 1 1,,,2 2,6.71,
"",Info,,,,,Info
5 RoLi4  4.50  1.80 3 3 3,3 3 2 3,,,3 3,6.30,
6 DiSt3  7.10  2.99 3 3 1,3 3 1 3,,,3 3,10.09,
7 CuLi3  4.00  1.46 3 3 2,2 2 2 2,,,3 3,5.46,
8 ChLi1  0.60  1.80 3 3 3,3 3 2 3,,,3 3,2.40,
40.00,,,,,53.63,
Program Components Factor,,,,,,
Skating Skills  1.20 9.75 9.50 9.25,9.50 9.50 9.00 8.75,,,9.50 9.50,9.39,
Linking Footwork / Movement  1.20 9.50 9.50 8.75,9.25 9.00 9.00 8.75,,,9.50 9.25,9.18,
Performance  1.20 9.00 9.75 9.25,9.50 9.50 9.00 9.50,,,9.75 9.25,9.39,
Choreography  1.20 10.00 9.50 9.00,9.50 9.00 9.25 9.50,,,9.75 9.50,9.43,
Interpretation / Timing  1.20 10.00 9.75 9.00,9.75 9.75 8.75 9.50,,,9.25 9.50,9.50,
Judges Total Program Component Score (factored),,,,,56.28,
Deductions:,,,,,0.00,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Anna CAPPELLINI / Luca LANOTTE ITA  4,106.23  52.28,,,54.95,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 STw4  6.60  1.37 3 2 2,3 2 2 2,,,2 3,7.97,
2 SlLi4  4.50  1.37 3 2 3,2 2 3 2,,,2 2,5.87,
3 CiSt3  7.10  2.20 2 2 3,3 2 2 2,,,1 1,9.30,
4 CuLi4  4.50  1.29 2 2 2,3 3 2 2,,,2 1,5.79,
5 CoSp4  5.60  1.11 2 3 1,2 2 2 2,,,2 1,6.71,
6 DiSt3  7.10  2.04 2 2 1,3 2 3 2,,,1 0,9.14,
7 RoLi4  4.50  1.03 1 2 2,1 3 2 2,,,2 0,5.53,
8 ChTw1  0.60  1.37 3 3 1,3 3 2 2,,,2 1,1.97,
40.50,,,,,52.28,
Program Components Factor,,,,,,
Skating Skills  1.20 9.00 9.25 8.75,9.00 9.50 9.00 9.25,,,8.50 8.25,8.96,
Linking Footwork / Movement  1.20 9.25 9.25 8.50,9.25 9.25 9.00 9.25,,,8.50 8.50,9.00,
Performance  1.20 9.50 9.75 9.25,9.75 9.50 9.25 9.00,,,8.75 8.50,9.29,
Choreography  1.20 9.00 9.50 9.00,9.75 9.50 9.25 9.50,,,9.00 8.25,9.25,
Interpretation / Timing  1.20 9.25 10.00 9.50,9.25 9.50 9.25 9.25,,,9.00 8.75,9.29,
Judges Total Program Component Score (factored),,,,,54.95,
Deductions: Extended lifts: -1.00,,,,,-1.00,
ISU Grand Prix of Figure Skating Final,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
