ISU GP 2016 Progressive Skate America,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Mariah BELL USA  8  130.67,,66.22,64.45,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 Info J4 J5",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 3Lz+3T  10.30  1.10 2 2 1 1 0,,2 1,2 2,11.40,
2 3Lo  5.10  0.60 1 1 1 0 0,,1 2,1 1,5.70,
3 2A+2T  4.60  0.50 0 1 2 1 1,,1 1,1 1,5.10,
4 StSq3  3.30  0.79 1 2 2 1 2,,2 1,2 1,4.09,
5 3F+1Lo<+2S <  7.70 x -0.20 0 0 0 -1 0,,-1 0,-1 0,7.50,
6 FCCoSp4  3.50  0.86 2 2 1 1 2,,2 2,2 1,4.36,
7 3Lz !  6.60 x  0.10 0 1 1 0 -1,,-1 1,0 0,6.70,
8 LSp3  2.40  0.93 0 2 1 2 2,,2 2,2 2,3.33,
9 2A  3.63 x  0.71 1 2 1 1 1,,2 2,2 1,4.34,
10 ChSq1  2.00  1.20 2 2 3 1 2,,2 1,2 1,3.20,
11 3F  5.83 x  1.10 1 2 1 1 2,,1 2,2 2,6.93,
12 CCoSp2  2.50  1.07 2 2 3 2 3,,2 2,2 2,3.57,
57.46,,,,66.22,
Program Components Factor,,,,,
Skating Skills  1.60  7.75  8.00  7.50  8.00  8.00,,8.00  7.75,8.00  8.25,7.93,
Transitions  1.60  7.75  7.75  7.75  7.50  7.50,,8.00  8.00,7.75  7.75,7.75,
Performance  1.60  8.50  8.75  8.75  7.75  8.00,,8.50  8.25,8.25  8.00,8.32,
Composition  1.60  8.25  8.50  8.00  7.50  7.75,,8.00  8.25,8.25  8.00,8.07,
Interpretation of the Music  1.60  8.50  8.50  8.50  8.00  8.00,,8.25  8.25,8.00  8.00,8.21,
Judges Total Program Component Score (factored),,,,64.45,
Deductions,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Ashley WAGNER USA  10  126.94,,56.88,70.06,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 2A  3.30  0.93 2 2 2 1 1,,2 2,2 2,4.23,
2 3F+3T< <  8.30 -0.40 0 1 -1 -1 0,,-1 -1,0 -1,7.90,
3 2A  3.30  0.71 1 2 1 1 1,,2 2,2 1,4.01,
4 FSSp4  3.00  1.00 1 2 2 2 2,,2 2,2 2,4.00,
5 StSq3  3.30  1.36 2 3 3 2 3,,3 2,3 3,4.66,
6 3Lo  5.61 x  1.20 1 1 2 1 2,,2 2,2 2,6.81,
7 3F< <  4.07 x -0.10 0 1 0 0 0,,0 -1,0 -1,3.97,
8 3Lo+1T  6.05 x -1.00 0 -1 -2 -2 0,,-2 -2,-1 -2,5.05,
9 3Lze+2T e  6.05 x -0.90 -2 -1 -1 -1 -1,,-2 -1,-1 -2,5.15,
10 ChSq1  2.00  1.60 2 3 3 1 3,,2 2,2 2,3.60,
11 CCoSp3  3.00  1.00 2 2 2 2 3,,2 2,2 2,4.00,
12 FCCoSp3  3.00  0.50 1 1 1 1 2,,0 2,1 0,3.50,
50.98,,,,56.88,
Program Components Factor,,,,,
Skating Skills  1.60  9.00  8.75  8.50  8.75  8.25,,9.25  8.75,8.75  8.50,8.71,
