9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Alena LEONOVA,RUS,10,52.34,26.9,26.44,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T,,6.8,False,1.0,1,1,0,0,1,2,1,1,1,,7.8
2,3Lz,!,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
3,FSSp2,,2.3,False,0.4,1,1,1,1,1,2,0,0,1,,2.7
4,SpSq1,,1.8,False,0.5,1,1,1,0,1,1,1,1,1,,2.3
5,2A,,3.5,False,0.0,0,0,0,-1,0,0,-1,0,0,,3.5
6,LSp2,,1.9,False,0.1,1,0,0,0,1,0,0,0,1,,2.0
7,SlSt1,,1.8,False,0.5,1,1,1,0,0,1,1,1,1,,2.3
8,CCoSp3,,3.0,False,0.3,1,1,0,0,-1,1,0,0,1,,3.3
,,,27.1,,,,,,,,,,,,,26.9
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,6.75,7.0,6.5,5.75,6.75,6.75,6.75,7.0,,6.8
,Transition / Linking Footwork  ,,,,0.8,6.25,6.25,6.5,6.5,5.25,6.0,6.5,6.25,6.5,,6.35
,Performance / Execution  ,,,,0.8,6.25,6.5,7.0,6.75,5.75,7.25,6.5,6.25,6.5,,6.55
,Choreography / Composition  ,,,,0.8,6.75,6.5,6.75,6.75,5.5,6.75,6.75,6.5,6.5,,6.65
,Interpretation  ,,,,0.8,6.5,6.5,7.0,6.75,5.5,7.0,7.0,6.5,6.5,,6.7
,,,,,,,,,,,,,,,,26.44
Deduction,Falls,-1.0
