ISU GP Skate Canada International 2011,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Tessa VIRTUE / Scott MOIR CAN  7,106.73  50.90,,,55.83,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 DiSt3  6.50  2.17 2 2 3,2 2 3 2,,,2 -,8.67,
2 CuLi4  4.00  1.17 3 3 3,1 2 2 2,,,2 -,5.17,
3 STw4  6.00  1.08 3 2 2,2 2 2 2,,,3 -,7.08,
4 CoSp4  5.00  0.92 1 2 3,2 1 2 2,,,2 -,5.92,
"",Info,,,,,Info
5 CiSt3  6.50  2.00 2 1 3,2 2 2 2,,,2 -,8.50,
6 RoLi4  4.00  1.33 3 3 3,2 2 3 2,,,3 -,5.33,
7 SlLi4+RoLi4  8.00  2.23 2 3 3,2 3 3 3,,,2 -,10.23,
8 Li+TRANS  0.00  0.00 - - -,- - - -,,,- -,0.00,
40.00,,,,,50.90,
Program Components Factor,,,,,,
Skating Skills  1.25 8.75 9.25 9.50,8.75 9.25 9.00 8.75,,,9.50 -,9.08,
Linking Footwork / Movement  1.75 9.00 9.25 9.50,8.75 8.75 9.25 9.25,,,9.25 -,9.13,
Performance  1.00 9.25 9.50 9.75,9.25 9.50 9.75 9.25,,,9.75 -,9.50,
Choreography  1.00 9.00 9.50 10.00,9.50 9.00 9.75 9.50,,,9.50 -,9.46,
Interpretation / Timing  1.00 9.25 9.50 9.75,9.50 9.25 9.75 9.50,,,10.00 -,9.54,
Judges Total Program Component Score (factored),,,,,55.83,
Deductions:,,,,,0.00,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Anna CAPPELLINI / Luca LANOTTE ITA  5,92.95  46.01,,,46.94,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 STw4  6.00  0.92 2 2 2,1 2 2 2,,,1 -,6.92,
2 CiSt3  6.50  1.67 1 2 2,1 2 2 2,,,1 -,8.17,
3 CuLi4  4.00  0.83 2 1 2,1 1 2 2,,,3 -,4.83,
4 DiSt2  5.00  1.33 1 1 1,1 2 2 2,,,1 -,6.33,
5 RoLi4  4.00  1.00 1 2 2,-1 3 3 1,,,3 -,5.00,
6 CoSp4  5.00  0.67 2 1 1,0 2 2 1,,,1 -,5.67,
7 SlLi3  3.50  0.92 2 1 2,0 2 3 1,,,3 -,4.42,
8 RoLi4  4.00  0.67 1 1 2,1 2 3 1,,,1 -,4.67,
9 Li+TRANS  0.00  0.00 - - -,- - - -,,,- -,0.00,
38.00,,,,,46.01,
Program Components Factor,,,,,,
Skating Skills  1.25 7.50 7.75 8.00,7.50 7.75 7.25 8.00,,,7.75 -,7.71,
Linking Footwork / Movement  1.75 7.50 7.25 7.75,7.00 8.25 7.00 7.00,,,7.50 -,7.33,
Performance  1.00 8.00 8.50 8.25,7.25 8.50 7.75 8.25,,,8.25 -,8.17,
Choreography  1.00 8.00 8.25 7.75,7.00 8.25 8.50 8.00,,,8.50 -,8.13,
Interpretation / Timing  1.00 7.75 8.25 8.25,7.25 8.50 8.00 8.50,,,8.25 -,8.17,
Judges Total Program Component Score (factored),,,,,46.94,
Deductions:,,,,,0.00,
ISU GP Skate Canada International 2011,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
