ISU World Figure Skating Championships 2008,,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
1 Isabelle DELOBEL / Olivier SCHOENFELDER FRA  67.25  35.30,,,31.95,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 NtMiTw4  3.30  0.71 2 1 2 2 0 3 2 2,,1,1 1 1,4.01,
2 NtMiSt4  4.30  0.93 Info 2 1 2 2 1 2 2 2,,1,2 Info2 2,5.23,Info
3 SlLi4  4.00  1.07 3 2 2 2 1 2 1 2,,1,2 2 3,5.07,
4 Sp4  4.70  1.07 3 2 2 2 2 3 1 2,,1,2 2 2,5.77,
5 CiSt4  8.00  1.86 2 1 2 2 1 2 2 2,,1,2 2 3,9.86,
6 RoLi4  4.00  1.36 3 3 2 2 2 3 2 3,,2,2 3 3,5.36,
28.30,,,,35.30,
Program Components Factor,,,,,
Skating Skills  0.80 8.50 7.50 8.50 8.50 8.00 8.50 8.25 8.50,,7.75,8.75 8.50 9.00,8.43,
Linking Footwork / Movement  0.80 8.25 7.50 8.25 8.50 7.75 8.25 7.75 8.25,,7.75,8.25 8.25 9.25,8.21,
Performance  0.60 9.00 7.25 8.75 8.50 8.00 8.50 8.25 8.25,,8.00,8.50 8.25 9.00,8.43,
Choreography  0.60 8.75 7.50 8.75 8.50 8.00 8.75 8.00 8.25,,8.00,9.00 8.50 9.00,8.54,
Interpretation / Timing  1.00 8.75 7.25 8.75 9.00 8.00 8.50 8.25 8.50,,7.75,8.25 8.50 9.00,8.46,
Judges Total Program Component Score (factored),,,,31.95,
Deductions:,,,,0.00,
"*  Invalid element",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
2 Jana KHOKHLOVA / Sergei NOVITSKI RUS  65.99  35.67,,,30.32,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 CoSp4  4.70  1.29 3 3 2 1 2 3 2 2,,2,2 3 3,5.99,
2 SlLi4  4.00  1.29 3 3 2 2 2 3 2 2,,2,3 3 2,5.29,
3 NtMiTw4  3.30  0.86 2 1 1 2 0 2 2 2,,1,2 1 2,4.16,
4 NtMiSt4  4.30  1.00 2 2 2 2 1 2 1 2,,1,2 2 2,5.30,
5 CiSt4  8.00  1.86 2 2 2 2 1 2 2 2,,1,1 2 2,9.86,
6 RoLi4  4.00  1.07 3 2 2 1 2 3 2 2,,2,2 2 2,5.07,
28.30,,,,35.67,
Program Components Factor,,,,,
Skating Skills  0.80 8.25 7.50 8.00 7.75 7.75 8.25 7.75 7.50,,7.75,8.00 7.75 8.25,7.89,
Linking Footwork / Movement  0.80 8.00 7.50 7.75 7.50 7.75 8.25 7.50 7.25,,7.75,8.00 7.75 8.00,7.79,
Performance  0.60 8.75 7.50 8.25 8.00 8.00 8.50 7.75 7.75,,8.00,8.00 8.25 8.25,8.11,
Choreography  0.60 8.75 7.50 8.50 7.75 8.25 8.50 7.75 7.25,,8.00,8.00 8.25 8.00,8.00,
Interpretation / Timing  1.00 8.50 7.50 8.25 8.00 8.00 8.25 7.75 7.50,,8.00,8.25 8.50 8.25,8.11,
Judges Total Program Component Score (factored),,,,30.32,
Deductions:,,,,0.00,
"*  Invalid element",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
3 Tessa VIRTUE / Scott MOIR CAN  64.81  34.58,,,30.23,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 CoSp4  4.70  1.29 2 3 2 3 2 3 3 3,,2,3 2 1,5.99,
2 CuLi4  4.00  1.14 3 3 2 2 1 2 2 2,,2,3 2 1,5.14,
3 CiSt4  8.00  1.71 1 2 2 2 0 2 2 2,,1,2 2 0,9.71,
4 NtMiTw3  2.80  0.71 1 2 1 1 1 2 2 2,,1,1 1 2,3.51,
5 NtMiSt4  4.30  0.86 1 2 2 2 1 2 2 2,,1,2 2 1,5.16,
