ISU World Figure Skating Championships 2008,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Yu-Na KIM KOR,,123.38  64.82,,58.56,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+3T  9.50  1.86 1 2 2,2,1 2 2 2,2,2 3 0,,11.36,
2 2A  3.50  0.57 1 0 1,0,0 1 0 2Info,1,1 2 1,,4.07,Info
3 FSSp4  3.00  0.50 1 1 0,1,1 1 1 2,2,1 1 0,,3.50,
4 3Lz+2T+2Lo  8.80  0.71 1 1 1,0,0 0 1 1,0,1 2 -1,,9.51,
5 SpSq4  3.40  1.00 1 1 1,0,1 1 1 1,1,1 2 1,,4.40,
6 2A+3T  8.25 x  0.43 0 0 0,1,0 0 1 0,1,0 2 -1,,8.68,
7 FCCoSp4  3.50  0.64 1 1 0,0,1 1 2 2,2,2 2 0,,4.14,
8 1Lz  0.66 x  0.03 0 1 -1,0,-1 0 0 0,0,0 1 0,,0.69,
9 3S  4.95 x -0.86 -1 -1 -1,-1,-1 0 0 -1,-1,-1 0 -1,,4.09,
10 CoSp3  2.50  0.14 0 0 0,0,0 0 0 1,1,1 1 0,,2.64,
11 SlSt3  3.10  0.29 1 1 0,0,0 1 1 1,0,1 1 1,,3.39,
12 2A  3.85 x  0.71 1 1 1,0,0 2 1 1,0,1 1 0,,4.56,
13 CCoSp4  3.50  0.29 0 0 1,0,0 1 1 1,1,1 1 0,,3.79,
58.51,,,,,,64.82,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.50 7.75 7.25,7.25,7.25 7.25 8.50 7.25,8.00,7.25 8.00 7.50,,7.57,
Transition / Linking Footwork  1.60 6.75 7.50 6.00,7.00,6.75 6.25 7.00 7.00,7.25,6.75 8.00 7.00,,7.00,
Performance / Execution  1.60 7.25 7.50 6.50,7.25,6.75 7.50 8.25 7.25,8.25,7.00 8.25 7.50,,7.46,
Choreography / Composition  1.60 7.25 7.25 6.75,6.75,7.00 7.25 8.00 7.00,7.75,7.00 7.75 7.00,,7.25,
Interpretation  1.60 7.25 7.25 6.50,7.00,6.75 7.50 8.25 7.00,7.75,7.25 8.00 7.25,,7.32,
Judges Total Program Component Score (factored),,,,,,58.56,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Mao ASADA JPN,,121.46  61.89,,60.57,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 A  0.00  0.00 - - -,-,- - - -,-,- - -,,0.00,
2 3F+3T  9.50  1.43 1 1 2,1,2 -1 1 2,1,2 2 1,,10.93,
3 CoSp4  3.00  0.57 1 0 1,0,2 1 1 2,2,1 2 1,,3.57,
4 3Lz e  6.00 -1.29 -1 -1 -2,-1,-1 -2 -2 1,-1,-1 -2 -2,,4.71,
5 FSSp3  2.30  0.50 1 1 1,1,1 1 1 2,2,0 1 1,,2.80,
6 SpSq1  1.80  0.50 2 1 1,0,1 1 1 2,1,1 1 0,,2.30,
7 3Lo  5.50 x  1.14 2 1 1,2,1 1 1 2,1,1 1 1,,6.64,
8 3F+3Lo<  7.70 x -1.00 -1 -1 -1,-1,-1 -2 -1 0,-1,-1 -2 -1,,6.70,
9 2A+2Lo+2Lo  7.15 x  0.71 1 1 0,1,1 0 1 1,1,0 0 -1,,7.86,
10 CCoSp3  3.00  0.36 1 1 0,0,1 0 1 2,0,1 1 1,,3.36,
11 SlSt3  3.10  0.93 2 2 1,1,2 2 2 2,2,2 2 2,,4.03,
12 2A  3.85 x  1.14 2 2 1,1,1 1 1 2,1,0 1 1,,4.99,
13 FCCoSp4  3.50  0.50 1 1 1,0,1 1 1 2,2,1 1 1,,4.00,
56.40,,,,,,61.89,
Program Components Factor,,,,,,,
