ISU World Figure Skating Championships 2008,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY GER,,130.86  68.77,,63.09,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3FTh  5.50  1.56 1 3 3,3,3 2 2 3,1,2 3 2,,7.06,
2 3T+3T+SEQ  6.40 -1.29 -2 -2 -1,-1,1 -1 -1 -I1nfo,-2,-2 -2 -1,,5.11,Info
3 3LzTw2  5.50  1.10 2 2 2,2,2 0 -1 2,1,0 2 2,,6.60,
4 5TLi4  6.00  0.36 1 1 1,2,2 1 0 0,-1,1 0 1,,6.36,
5 3S  4.50 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,-3,-3 -3 -3,,1.50,
6 FCCoSp4  3.50  0.29 1 0 0,1,1 1 0 0,1,0 1 2,,3.79,
7 PCoSp4  4.50  0.50 1 1 2,0,1 1 1 1,0,1 1 1,,5.00,
8 SpSq4  3.40  1.57 0 1 2,1,1 2 2 2,1,1 2 2,,4.97,
9 5ALi4  6.50  2.00 2 2 3,2,2 2 2 2,1,2 2 2,,8.50,
10 BoDs4  4.50  0.90 1 1 1,1,1 1 2 2,1,1 1 2,,5.40,
11 SlSt3  3.10  0.64 1 1 1,1,1 2 1 2,0,1 2 2,,3.74,
12 3Li4  4.00  0.79 1 1 3,1,2 2 1 2,1,2 2 2,,4.79,
13 3STh  4.95 x  1.00 1 2 2,2,1 1 2 1,1,1 2 2,,5.95,
62.35,,,,,,68.77,
Program Components Factor,,,,,,,
Skating Skills  1.60 8.25 8.00 8.75,7.75,8.00 7.50 7.75 8.25,7.50,7.50 8.00 8.00,,7.96,
Transition / Linking Footwork  1.60 8.00 7.75 8.75,7.50,7.75 7.50 7.50 7.75,7.25,7.50 8.00 8.00,,7.75,
Performance / Execution  1.60 7.75 8.00 8.50,8.00,8.00 7.50 7.50 7.75,7.75,7.50 8.00 7.75,,7.79,
Choreography / Composition  1.60 8.00 7.75 8.75,8.00,8.00 7.50 7.75 8.00,7.75,7.50 8.00 8.25,,7.93,
Interpretation  1.60 8.25 8.00 8.75,8.25,8.00 7.25 8.00 8.00,7.50,7.50 7.75 8.25,,8.00,
Judges Total Program Component Score (factored),,,,,,63.09,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Jessica DUBE / Bryce DAVISON CAN,,124.12  66.92,,57.20,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2FTw2  3.50  0.64 0 0 3,1,2 2 1 2,1,1 1 1,,4.14,
2 2A+2A+SEQ  5.60  1.29 1 1 2,2,1 2 1 2,1,1 2 1,,6.89,
3 5ALi4  6.50  1.29 1 1 3,1,2 1 1 2,1,2 3 1,,7.79,
4 3LoTh  5.00  0.60 0 1 1,2,1 1 1 1,0,1 1 1,,5.60,
5 BiDs4  3.50  0.30 0 1 0,0,1 0 0 1,0,1 1 2,,3.80,
6 3S  4.50  1.00 0 1 2,1,1 1 1 1,1,0 1 1,,5.50,
7 5SLi4  6.00  0.57 1 1 2,1,1 1 1 2,1,2 2 1,,6.57,
8 FCCoSp4  3.50  0.36 1 1 0,2,1 0 0 2,1,1 2 1,,3.86,
9 3LzTh  6.05 x -0.50 -1 -1 0,0,0 0 -1 -1,-1,-1 -1 -1,,5.55,
10 SpSq4  3.40  0.57 1 0 0,1,1 1 0 2,0,1 1 1,,3.97,
11 SlSt3  3.10  0.43 0 1 1,1,1 1 1 2,0,0 2 1,,3.53,
12 3Li4  4.00  0.79 1 1 2,2,2 2 1 2,1,1 2 2,,4.79,
13 PCoSp4  4.50  0.43 0 1 1,1,1 2 0 2,0,1 1 1,,4.93,
59.15,,,,,,66.92,
