8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Vanessa CRONE / Paul POIRIER,CAN,8,60.41,30.92,29.49,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,RoLi4,,4.0,False,1.0,2,2,2,2,2,3,2,2,,5.0
2,GW1Se3,,5.0,False,0.67,2,1,2,1,0,2,1,1,,5.67
3,GW2Se2,,6.0,False,0.5,1,1,2,1,1,1,1,1,,6.5
4,NtMiSt3,,6.5,False,1.67,2,2,2,1,1,2,1,2,,8.17
5,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
6,STw3,,5.0,False,0.58,1,1,2,1,0,2,1,1,,5.58
,,,26.5,,,,,,,,,,,,30.92
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.75,7.25,7.5,7.0,6.75,7.5,7.5,7.0,,7.29
,Linking Footwork / Movement  ,,,,0.7,7.5,7.25,7.25,7.25,6.5,7.75,7.25,7.0,,7.25
,Performance  ,,,,0.7,7.75,7.5,7.0,7.5,7.0,7.75,7.5,7.25,,7.42
,Choreography  ,,,,0.8,7.5,7.5,7.5,7.5,6.5,7.75,7.5,7.25,,7.46
,Interpretation / Timing  ,,,,1.0,7.5,7.75,7.25,7.25,7.0,8.0,7.25,7.5,,7.42
,,,,,,,,,,,,,,,29.49
