ISU GP Cup of Russia,,,,,,
ICE DANCE COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Oksana DOMNINA / Maxim SHABALIN,RUS  38.77  20.00,,,18.77,0.00,
"# Executed Base",GOE The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  2.30,0.90 1 2 2 1 1 2 2 2,,1,2 - -,3.20,
2 1S2  1.80,0.8In0fo 1 2 2 1 1 2 2 1,,2 Info,1 - -,2.60,Info
3 2S1  2.90,0.88 0 2 1 1 1 2 2 1,,0,1 - -,3.78,
4 2S2  2.30,0.50 0 2 2 1 0 1 1 1,,1,0 - -,2.80,
5 3S1  3.40,0.70 1 1 1 1 0 1 1 1,,1,0 - -,4.10,
6 3S2  2.80,0.72 0 2 2 1 0 0 1 1,,1,1 - -,3.52,
15.50,,,,,20.00,
Program Components,Factor,,,,,
Skating Skills,0.75 7.25 8.00 7.50 7.75 7.75 7.50 7.75 7.75,,7.75,7.25 - -,7.55,
Timing,0.75 7.25 7.75 7.25 7.50 7.50 7.00 7.50 7.50,,7.50,7.25 - -,7.35,
Performance / Execution,0.50 7.25 8.00 7.50 7.75 7.50 7.25 7.75 7.75,,7.75,7.25 - -,7.50,
Interpretation,0.50 7.50 7.75 7.75 7.75 7.50 7.75 7.75 7.75,,7.50,7.50 - -,7.70,
Judges Total Program Component Score (factored),,,,,18.77,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  36.19  18.40,,,17.79,0.00,
"# Executed Base",GOE The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  2.30,0.60 1 2 1 1 1 2 1 1,,1,1 - -,2.90,
2 1S2  1.80,0.50 0 1 2 1 1 1 1 0,,2,1 - -,2.30,
3 2S1  2.90,0.60 1 2 1 1 0 1 1 1,,0,0 - -,3.50,
4 2S2  2.30,0.50 1 1 2 1 0 1 1 1,,1,0 - -,2.80,
5 3S1  3.40,0.42 0 1 1 1 1 0 0 1,,0,1 - -,3.82,
6 3S2  2.80,0.28 0 1 1 0 0 1 0 0,,1,0 - -,3.08,
15.50,,,,,18.40,
Program Components,Factor,,,,,
Skating Skills,0.75 6.75 7.50 7.25 7.50 7.25 7.25 7.00 7.25,,7.50,7.00 - -,7.20,
Timing,0.75 6.50 7.25 7.00 7.00 7.00 6.75 7.00 7.00,,7.25,6.75 - -,6.90,
Performance / Execution,0.50 6.75 7.25 7.50 7.25 7.00 6.75 7.25 7.25,,7.50,6.75 - -,7.05,
Interpretation,0.50 7.00 7.50 7.50 7.50 6.75 7.50 7.25 7.25,,7.25,7.00 - -,7.35,
Judges Total Program Component Score (factored),,,,,17.79,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
3 Meryl DAVIS / Charlie WHITE,USA  35.77  18.16,,,17.61,0.00,
"# Executed Base",GOE The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  2.30,0.60 1 0 1 1 1 2 2 1,,1,1 - -,2.90,
2 1S2  1.80,0.60 1 1 1 1 0 2 2 1,,1,0 - -,2.40,
3 2S1  2.90,0.36 0 0 1 1 1 2 1 1,,0,0 - -,3.26,
4 2S2  2.30,0.40 1 1 1 0 0 1 1 0,,1,0 - -,2.70,
5 3S1  3.40,0.28 0 0 1 0 1 1 1 0,,0,0 - -,3.68,
6 3S2  2.80,0.42 1 1 1 0 0 0 1 1,,0,0 - -,3.22,
15.50,,,,,18.16,
Program Components,Factor,,,,,
