ISU GP Cup of Russia,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Carolina KOSTNER ITA,,113.70  56.22,58.48,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3F+3T  9.50  1.80 2 2 2 2,,1 2 2 0 1,- - -,,11.30,,
2 3Lz+2T+2Lo  8.80 -0.40 0 -2 -1 -2,,-1 0 Info 1 0 -1,- - -,,8.40,,Info
3 3F  5.50  1.00 1 2 1 2,,1 2 0 0 0,- - -,,6.50,,
4 3Lo  5.00 -2.00 -2 -2 -2 -2,,-2 -2 -2 -2 -2,- - -,,3.00,,
5 CCoSp4  3.50  0.40 1 0 0 1,,1 1 1 1 0,- - -,,3.90,,
6 2A+3T< <  5.28 x -2.50 -3 -2 -3 -3,,-3 -3 -3 -3 -3,- - -,,2.78,,
7 3S  4.95 x  0.00 0 0 0 -1,,0 -1 0 0 0,- - -,,4.95,,
8 CSSp3  2.60 -0.06 0 0 -1 0,,0 -1 1 0 0,- - -,,2.54,,
9 SlSt3  3.30  0.70 2 2 2 1,,1 1 1 1 1,- - -,,4.00,,
10 SpSq3  3.10  0.50 1 1 1 1,,1 1 1 0 0,- - -,,3.60,,
11 2A  3.85 x -1.60 -2 -2 -2 -2,,-2 -2 -2 -2 -2,- - -,,2.25,,
12 FSSp4  3.00  0.00 0 0 0 0,,0 0 0 0 -1,- - -,,3.00,,
58.38,,,,,56.22,,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.50 8.00 7.75 7.25,,7.50 7.75 7.50 7.00 7.25,- - -,,7.60,,
Transition / Linking Footwork  1.60 6.25 7.50 7.25 5.00,,6.75 7.50 7.00 6.25 7.00,- - -,,6.95,,
Performance / Execution  1.60 6.50 7.75 7.50 6.75,,7.00 7.50 7.25 6.00 7.00,- - -,,7.15,,
Choreography / Composition  1.60 7.00 8.00 7.50 6.50,,7.50 7.50 7.00 6.25 7.25,- - -,,7.30,,
Interpretation  1.60 7.25 7.75 7.75 7.00,,7.75 7.50 7.50 6.50 7.00,- - -,,7.55,,
Judges Total Program Component Score (factored),,,,,58.48,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Rachael FLATT USA,,110.14  60.86,49.28,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 2A  3.50  0.00 0 0 0 1,,0 0 0 0 0,- - -,,3.50,,
2 3F+3T  9.50 -0.40 -1 1 -1 0,,-1 1 0 -1 0,- - -,,9.10,,
3 3Lz  6.00  0.00 0 0 0 0,,0 0 0 0 0,- - -,,6.00,,
4 FCSp4  3.20  0.00 0 0 0 0,,1 0 0 0 0,- - -,,3.20,,
5 SpSq4  3.40  1.00 1 1 1 1,,1 1 1 1 0,- - -,,4.40,,
6 3F+2Lo  7.70 x  0.00 0 0 0 1,,0 1 0 0 0,- - -,,7.70,,
7 CCSp4  3.20 -0.12 0 -1 -1 0,,0 -1 0 0 -1,- - -,,3.08,,
8 3S  4.95 x  0.00 1 -1 0 1,,0 0 0 0 0,- - -,,4.95,,
9 2A  3.85 x  0.20 1 -1 1 0,,0 0 0 0 1,- - -,,4.05,,
10 3Lz+2T+2Lo  9.68 x -0.80 -1 -2 -1 -1,,0 -1 0 -1 0,- - -,,8.88,,
11 SlSt2  2.30  0.10 1 1 0 1,,0 0 0 0 0,- - -,,2.40,,
12 CCoSp4  3.50  0.10 0 1 0 1,,0 1 0 0 1,- - -,,3.60,,
60.78,,,,,60.86,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.25 6.00 6.25 6.50,,6.75 6.25 6.50 6.50 6.25,- - -,,6.35,,
