ISU GP Cup of Russia,,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Jana KHOKHLOVA / Sergei NOVITSKI,RUS,92.10  46.40,,,45.70,0.00,
"# Executed Base",GOE,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 STw4  4.70,0.70 1 1 2 2,2 2 1 1,,2,0 - -,5.40,
2 SlLi4  4.00,0.60 1 1 1 2,1 1 1 Info 2,,1,1 - -,4.60,Info
3 CiSt2  6.40,0.80 0 1 2 1,1 0 1 1,,1,0 - -,7.20,
4 SlLi4+RoLi4  6.40,1.10 1 2 1 3,2 2 2 3,,2,2 - -,7.50,
5 CoSp4  4.70,0.60 1 1 0 2,1 1 1 2,,1,1 - -,5.30,
6 RoLi4  4.00,0.70 1 2 1 1,0 2 1 2,,1,0 - -,4.70,
7 DiSt3  6.20,1.00 0 2 1 1,1 1 1 1,,1,0 - -,7.20,
8 CuLi4  4.00,0.50 1 1 1 2,1 1 1 1,,1,1 - -,4.50,
9 Li+TRANS  0.00,0.00 - - - -,- - - -,,-,- - -,0.00,
40.40,,,,,,46.40,
Program Components,Factor,,,,,,
Skating Skills,1.25 7.75 7.75 7.50 7.50,7.50 7.25 7.50 7.75,,7.50,7.25 - -,7.60,
Linking Footwork / Movement,1.75 7.50 8.00 7.50 7.25,7.25 7.25 7.25 7.75,,7.25,7.00 - -,7.40,
Performance,1.00 7.50 8.00 7.50 7.75,7.50 7.50 7.50 8.00,,7.75,7.25 - -,7.70,
Choreography,1.00 8.00 7.75 7.75 7.75,7.50 7.50 7.75 7.75,,7.75,7.50 - -,7.75,
Interpretation / Timing,1.00 7.75 7.75 7.50 8.00,7.50 7.25 7.75 8.00,,7.75,7.25 - -,7.80,
Judges Total Program Component Score (factored),,,,,,45.70,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Meryl DAVIS / Charlie WHITE,USA,91.16  47.20,,,43.96,0.00,
"# Executed Base",GOE,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 CoSp4  4.70,1.00 2 2 2 2,2 2 2 2,,2,1 - -,5.70,
2 CuLi4+RoLi4  6.40,1.00 2 1 3 2,3 2 2 2,,2,0 - -,7.40,
3 CiSt3  7.20,0.80 0 0 2 2,2 1 1 1,,1,0 - -,8.00,
4 CuLi4  4.00,0.60 1 1 1 2,2 2 1 1,,1,1 - -,4.60,
5 STw4  4.70,0.80 1 2 2 3,1 0 2 2,,1,1 - -,5.50,
6 SlLi4  4.00,0.60 1 2 0 2,1 1 1 1,,0,0 - -,4.60,
7 MiSt3  6.20,0.60 0 0 1 1,1 0 1 1,,1,0 - -,6.80,
8 RoLi4  4.00,0.60 1 1 1 2,2 1 1 2,,1,1 - -,4.60,
41.20,,,,,,47.20,
Program Components,Factor,,,,,,
Skating Skills,1.25 7.75 7.50 7.50 7.25,7.75 7.25 7.75 7.25,,7.50,7.00 - -,7.45,
Linking Footwork / Movement,1.75 7.50 7.25 7.50 7.25,7.75 7.00 7.75 7.00,,7.00,6.75 - -,7.20,
Performance,1.00 7.50 7.50 7.50 7.50,8.00 7.00 7.75 7.25,,7.25,7.00 - -,7.40,
Choreography,1.00 7.25 7.25 8.00 7.50,7.75 7.25 7.75 7.00,,7.25,7.00 - -,7.30,
Interpretation / Timing,1.00 7.50 7.25 7.50 7.50,8.00 7.00 7.75 7.25,,7.25,6.75 - -,7.35,
Judges Total Program Component Score (factored),,,,,,43.96,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
ISU GP Cup of Russia,,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Oksana DOMNINA / Maxim SHABALIN,RUS,87.25  41.50,,,45.75,0.00,
